orig_pred,contrast_pred,orig_premise,orig_hypothesis,gen_premise,gen_hypothesis,pred_orig_labels,pred_gen_premise_labels,pred_gen_hypothesis_labels,distance_premise,distance_hypothesis,perplexity_gen_hypothesis,perplexity_gen_premise,orig_contrast_probs,pred_edit_premise_probs,pred_edit_hypo_probs,diff_premise_probs,diff_hypothesis_probs
entailment,neutral,A man in a black shirt and brown pants is jumping in the air performing a karate kick towards a man in a red shirt and black hat.,Two males are involved in martial arts., The man  in the shirt and   white pants   is jumping in   a performing   action  looking towards  the man in   the shirt  and  white pants and the two  men in black look on, Two males  are martial arts students.,1,2,2,1.0344827586206897,0.625,66.06055450439453,111.10126495361328,0.017916930839419365,0.816929042339325,0.5465519428253174,0.7990121114999056,0.528635011985898
entailment,contradiction,A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.,A man is eating a marshmallow., A guy in glasses  is biting into a pink y chick while somebody else is puckering their lips out wanting a bite.,A man  is eating a cat.,1,0,0,0.13043478260869565,0.2857142857142857,142.3015899658203,211.04469299316406,0.04956556856632233,0.9989874958992004,0.9997326731681824,0.9494219273328781,0.95016710460186
entailment,neutral,A man wearing a red vest is walking past a black and green fence.,A man is wearing a vest.,A  person wearing  a vest is walking past s black and green fence., A black man is wearing a vest.,1,2,2,0.3333333333333333,0.2857142857142857,101.37991333007812,119.1314697265625,0.011997486464679241,0.9624606966972351,0.9968363046646118,0.9504632102325559,0.9848388181999326
entailment,neutral,A young girl with water wings leaps into a crowded pool,There are people in a pool., A girl  looks into   the water with her arms over her head,There are people  in a pool juggling,1,2,2,1.1818181818181819,0.2857142857142857,330.8414306640625,153.96841430664062,0.006417514756321907,0.9190228581428528,0.8042163848876953,0.9126053433865309,0.7977988701313734
entailment,neutral,A man sitting on steps with a child as a bystander walks by.,A man and a child sitting on steps saw a bystander.,"A  man and child are sitting  on steps with  another child, as a passerby passes by.",A man and a child sitting  on steps just saw a bystander.,1,1,2,0.7142857142857143,0.16666666666666666,54.90726852416992,97.00872802734375,0.06247565522789955,0.5098413825035095,0.7725248336791992,-0.41649389266967773,0.7100491784512997
entailment,neutral,The girl wearing a brown jacket whilst walking in snow.,The girl is walking outside.,The girl wearing a brown jacket looks at the snow.,The girl is  walking outside barefoot,1,2,2,0.2727272727272727,0.3333333333333333,275.1416931152344,49.76374053955078,0.02560173161327839,0.542506217956543,0.789044976234436,0.5169044863432646,0.7634432446211576
entailment,neutral,A young woman wearing a yellow shirt and off-white shorts is reading a book while sitting on a park bench.,A woman reading a book while sitting on a bench.,A young woman wearing a yellow shirt and off-white shorts  is reading  something while sitting on a bench.,A woman reading a romance book while sitting on a bench.,1,2,2,0.17391304347826086,0.09090909090909091,17.913028717041016,41.366554260253906,0.01285556796938181,0.8218792080879211,0.999567449092865,0.8090236401185393,0.9867118811234832
entailment,neutral,"An Asian woman in a purple shirt preparing a bowl of food for the younger Asian boy sitting near buy, while an Asian man eats a roll and prepares to take some food up with his chopsticks.",A woman is preparing food for a child.,"An  Asian woman in a purple  top preparing  a bowl  of food to buy, while an  Asian man eats a roll and prepares to take some food up with his chopsticks.", A grandmother is preparing food for a child.,1,2,2,0.3333333333333333,0.2222222222222222,75.83600616455078,93.42852020263672,0.006928774993866682,0.9905034303665161,0.9839005470275879,0.9835746553726494,0.9769717720337212
entailment,neutral,A woman and child are on a boat and the woman is looking out into the ocean through a scope.,A lady is looking through a scope at the ocean.,  Two men  are on   a  boat  and one  woman is looking  out into   the water through s scope.,A lady  is looking through a scope  at the ocean tide,1,2,2,0.6190476190476191,0.2727272727272727,52.81075668334961,100.42279815673828,0.07339514791965485,0.9852334856987,0.5534339547157288,0.9118383377790451,0.4800388067960739
entailment,neutral,An Indian woman stands in an outdoor marketplace.,A female is outdoors at a bazaar., An Indian  female stands in the street.,A  woman is outdoors  at night.,1,2,2,0.6666666666666666,0.625,360.1083679199219,203.57681274414062,0.01639493927359581,0.9916166663169861,0.9919267892837524,0.9752217270433903,0.9755318500101566
entailment,neutral,two teen boys in school clothes are walking with something in a garbage bag.,Two boys are walking together carrying a bag.,two teen boys in school clothes  looking at something in a bag.,Two boys are walking together carrying a toy,1,0,2,0.26666666666666666,0.2222222222222222,80.25859832763672,128.246826171875,0.02185790240764618,0.4993463456630707,0.9942955374717712,0.49814059934578836,0.9724376350641251
entailment,neutral,"Two children, both wearing tan coats, are embracing one another.",Two kids are hugging.," Two children,  in  fuzzy coats, stand next to one another.", Two kids are hugging sexy,1,2,2,0.6153846153846154,0.4,229.1654052734375,155.2669677734375,0.00655317772179842,0.8454253673553467,0.9945218563079834,0.8388721896335483,0.987968678586185
entailment,neutral,A group of consumers walking through a public market to purchase vegetables with the background of the busy store just behind them.,Shoppers purchasing vegetables at a busy public market.,A group  of consumers walking through a public market with vegetables with the background of the busy store just behind them.,Shoppers in a weekly market,1,2,2,0.13043478260869565,0.6666666666666666,103.94741821289062,149.14039611816406,0.01231206301599741,0.9518130421638489,0.9954403638839722,0.9395009791478515,0.9831283008679748
entailment,neutral,Several street vehicles pass by a traditional architecture style of Thailand.,Vehicles are going down a street in Thailand., Vehicles pass by rural areas in Thailand., People are  walking down a street in Thailand.,1,2,0,0.6666666666666666,0.4444444444444444,249.8953857421875,118.03495788574219,0.0766826868057251,0.5816341042518616,0.5218524932861328,0.5049514174461365,0.5216202504379908
entailment,neutral,A man wearing a shite short-sleeved shirt kisses a woman wearing a light pink jacket while standing on a public street.,A man is kissing a woman," A man wearing  a shite short-sleeve shirt is kissing , wearing  he jacket  while standing on the street.", A handsome man is kissing a woman,1,2,2,0.5,0.3333333333333333,40.313331604003906,98.14611053466797,0.012237253598868847,0.9941067695617676,0.9957379102706909,0.9818695159628987,0.9835006566718221
entailment,neutral,A young woman is wearing a paper crown at an outdoor event.,the woman is outdoors,A young woman is wearing a paper crown at an event., The woman is queen,1,2,2,0.07692307692307693,0.75,129.53321838378906,123.081787109375,0.0525314025580883,0.9416361451148987,0.9935577511787415,0.8891047425568104,0.9410263486206532
entailment,neutral,Two women look at a table with assorted items on it in some sort of market that others are currently browsing.,two women are looking,"Two  people sitting at a table with assorted items on it in some sort of market , others are browsing.",two  women are shopig,1,2,2,0.22727272727272727,0.5,206.83377075195312,154.01129150390625,0.026079747825860977,0.9288260340690613,0.7394571304321289,0.9027462862432003,0.7133773826062679
entailment,neutral,A fat woman wearing faint blue top is blowing soap bubble.,A fat woman is wearing a shirt.,A fat woman wearing faint  blue pants and top is blowing bubble.,"A fat woman is wearing  a blue shirt,",2,2,2,0.3333333333333333,0.375,247.2444305419922,281.2850341796875,0.5130087733268738,0.8475925922393799,0.6386343240737915,0.3345838189125061,0.12562555074691772
entailment,neutral,A man in a suit driving a horse-drawn buggy down a stone street.,The man is driving a buggy.,A man in  red is driving  a horse-drawn vehicle down a stone street., A man is driving a buggy to,1,2,2,0.3125,0.42857142857142855,79.0608901977539,104.72077941894531,0.01003395114094019,0.9550750851631165,0.7751526832580566,0.9450411340221763,0.7651187321171165
entailment,neutral,Expert snowboard is trying a new trick.,The person is snowboarding., Someone is trying a trick.,The person is snowboarding fast.,1,2,2,0.375,0.2,95.42540740966797,110.78913879394531,0.02605898305773735,0.8325953483581543,0.9890294075012207,0.806536365300417,0.9629704244434834
entailment,neutral,An Asian lady is holding a cup and sitting in front of a table covered in different foods.,There is a table next to a lady., An Asian lady is holding  a cup and sitting  in front of  stuffed animals covered in dried foods.,There is  a table next to a cafe.,1,2,2,0.3684210526315789,0.2222222222222222,69.37934875488281,126.07762908935547,0.013702170923352242,0.6235842704772949,0.9742606282234192,0.6098820995539427,0.960558457300067
entailment,neutral,An Asian young woman wearing a white shirt and black pants is holding a pink purse.,The woman is holding a purse., An Asian young woman wearing a  yellow shirt  and pants  walking past a purse.,The woman loves holding a purse.,1,1,2,0.5294117647058824,0.14285714285714285,36.14728927612305,162.69052124023438,0.0040296209044754505,0.45158398151397705,0.949504554271698,-0.544051468372345,0.9454749333672225
entailment,neutral,A woman wearing a red hat and red bandanna followed by a man in a red bandanna.,The people are wearing bandanas., Man wearing  a hat  being followed by  armed man in captivity.,The people are wearing shorts.,1,0,2,0.6666666666666666,0.16666666666666666,35.78722381591797,283.4649658203125,0.023220399394631386,0.8371670246124268,0.9878786206245422,0.8253093929961324,0.9646582212299109
entailment,neutral,A white man taking a photo in front of water.,A man is in front of water.,A white  person taking  a photo  in front of water.,A man is in  front of ocean water.,1,2,2,0.36363636363636365,0.25,115.2774887084961,111.0891342163086,0.02684846892952919,0.780746340751648,0.9969480633735657,0.7538978718221188,0.9700995944440365
entailment,neutral,A man in a blue jacket holding a handsaw sawing a pipe on top of a wood fence.,Someone is sawing.,A man in a blue jacket holding  up  a pipe on top of fenced fence., It is firefighting.,1,2,2,0.2631578947368421,0.75,101.16888427734375,234.4064483642578,0.03988170251250267,0.9782958626747131,0.8747461438179016,0.9384141601622105,0.8348644413053989
entailment,neutral,A man touching a hanging strand of lamps.,A man is reaching out to a strand of lamps.,A person touching a hanging strand of lamps., A man  is reaching in to a strand of lamps.,1,2,2,0.1111111111111111,0.2727272727272727,206.4733123779297,85.43931579589844,0.06938126683235168,0.9135922789573669,0.6653270125389099,0.8442110121250153,0.5959457457065582
entailment,neutral,Dog running with a purple toy in the snowy field.,A dog is running., Dog playing with  a toy in the field.,A dog is running backwards,1,2,2,0.45454545454545453,0.2,154.26390075683594,235.32522583007812,0.008651820942759514,0.9276770949363708,0.9141339659690857,0.9190252739936113,0.9054821450263262
entailment,neutral,Two bearded men sit side by side.,Two men are sitting down., Two bearded men talking side by side.,Two men are happily sitting down.,1,2,2,0.25,0.16666666666666666,53.418277740478516,79.99485778808594,0.016781030222773552,0.8601272702217102,0.9924293160438538,0.8433462399989367,0.9756482858210802
entailment,neutral,Two men in karate gear using fighting sticks.,two karate men sparring with sticks,Two men  sparring sparing with sticks.,two karate  masters sparring with sticks,1,2,2,0.5555555555555556,0.3333333333333333,293.31292724609375,525.6675415039062,0.16269420087337494,0.9589870572090149,0.9343520402908325,0.79629285633564,0.7716578394174576
neutral,entailment,Man and woman rowing on surfboards third rower in distance.,Couples rowing on surfboards., Couples rowing on surfboards with rower in distance., Humans rowing in surfboards,2,1,1,0.36363636363636365,0.8,310.11456298828125,82.54180145263672,0.3659249246120453,0.9879781007766724,0.9998233914375305,0.6220531761646271,0.6338984668254852
entailment,neutral,A person sweeping stairs in a park.,A person outside.,-1,A person is dirty,1,1,2,1.0,0.5,204.80313110351562,958.0177001953125,0.014911004342138767,0.5926580429077148,0.9636866450309753,-0.3918578624725342,0.9487756406888366
entailment,neutral,"Four young men stare up at a basketball hoop with no net, in an outdoor, urban basketball court.",Four young men looking up at a basketball hoop.,"Four young  people looking up at  a hoop with  rims in net, in  an outdoor, urban basketball court.",Four  young men star up at a basketball hoop.,1,2,2,0.42857142857142855,0.2,94.46727752685547,201.38291931152344,0.009497612714767456,0.9855190515518188,0.9491270780563354,0.9760214388370514,0.939629465341568
entailment,neutral,A solo cyclist is riding down a windy road.,A cyclist rides down a road,   A  rides down a.,A cyclist rides fast down a road,1,2,2,0.9,0.16666666666666666,55.26618576049805,346.7586364746094,0.02995317429304123,0.584962010383606,0.8663849234580994,0.5550088360905647,0.8364317491650581
entailment,neutral,A person standing next to an old dark building.,A person standing near a building., Standing next to Red.,A person  is near a museum.,1,2,2,0.7,0.42857142857142855,128.7030487060547,165.69825744628906,0.022460246458649635,0.7832629084587097,0.9968258142471313,0.7608026620000601,0.9743655677884817
entailment,neutral,"Two hockey players on opposing teams, one in a red and white jersey and one in a blue and black jersey, are standing on the rink.",Hockey players are standing on the ice rink.," Two players  from two teams, one in a red and  white jersey and one in a blue and  white jersey, are standing on the rink.",Hockey players are standing on the  ice rink clapping,1,2,2,0.27586206896551724,0.2222222222222222,32.73236846923828,48.34335708618164,0.148031085729599,0.7473534941673279,0.977635383605957,0.5993224084377289,0.829604297876358
entailment,neutral,A man is playing with his skateboard on a street.,A man is outside.,  A man   is playing with  an  egg on his head.,A  man is playing fast.,1,2,2,0.7272727272727273,0.6,81.64472198486328,123.90914916992188,0.016337409615516663,0.9156313538551331,0.994602382183075,0.8992939442396164,0.9782649725675583
contradiction,neutral,"A guy on Rollerblades, sliding across a rail.",The skateboarder rides the rail.,"A guy with shoulderblades, sliding across a rail.",The skate boarder rides  the rail quickly,0,2,0,0.2,0.6666666666666666,303.124267578125,82.5344009399414,0.0015292535535991192,0.5066384673118591,0.4812987148761749,0.50510921375826,-0.5162152945995331
entailment,neutral,The man white purple and white polka-dotted shirts is eating and looking to his right while the woman behind him has a confused look on her face.,A person is consuming food.," A man   wearing purple and   light polka  dot shirts  is looking  at something in his  mouth, while  a woman behind him has  his look on too.",He is consuming food indoors,1,1,2,0.7666666666666667,0.5,55.92540740966797,146.10902404785156,0.002656512428075075,0.9178265333175659,0.8166268467903137,-0.07944601774215698,0.8139703343622386
entailment,neutral,A woman is in the middle of hitting a tennis ball.,A woman is playing tennis.,A woman is in  the middle  of hitting a ball., A  woman  is playing tennis with a,1,2,2,0.25,0.8333333333333334,89.80191802978516,183.79034423828125,0.1843523383140564,0.9395569562911987,0.6583845615386963,0.7552046179771423,0.4740322232246399
neutral,entailment,There are two people walking in the sand.,Two people walk across the beach.,There are two  people walking across beach in  the sand.,-1,2,1,0,0.4444444444444444,1.0,92.8641357421875,110.59642791748047,0.10928977280855179,0.9907028675079346,0.9454571008682251,0.8814130946993828,0.9337281174957752
entailment,neutral,A man sitting and a woman laying in his lap kissing each other.,A man sitting and woman laying in his lap.,A  person sitting and  woman laying in  his lap kissing each other.,A man sitting  and woman  laying in his lap posing,1,2,2,0.2857142857142857,0.3,56.93317794799805,84.36809539794922,0.0934113934636116,0.5553697347640991,0.5005376935005188,0.4619583413004875,0.4071263000369072
entailment,neutral,An elderly woman with a tan nun uniform on and glasses is taking a picture with her camera.,A woman is in a tan nun uniform., An elderly  woman with  a  nun uniform on and glasses is taking a picture with her camera.,A woman  is in a tan nun uniform smiling,1,2,2,0.21052631578947367,0.2222222222222222,109.23562622070312,189.21432495117188,0.014453819952905178,0.9990653395652771,0.9731425046920776,0.9846115196123719,0.9586886847391725
entailment,neutral,Four women standing around a yellow table are looking at laptops.,A group of women looking at laptops together.,  People standing around   and looking at laptops.,A  group of women looking at  laptops online.,1,2,2,0.5,0.3333333333333333,170.30929565429688,100.95973205566406,0.04219365492463112,0.9980239868164062,0.9961538910865784,0.9558303318917751,0.9539602361619473
neutral,entailment,Artist on street corner selling his artwork.,Someone is selling paintings., Painter on canvas selling his artwork.,Someone is selling artwork.,2,1,1,0.5,0.2,108.99237823486328,362.2401123046875,0.014990120194852352,0.756065309047699,0.9861212372779846,0.7410751888528466,0.9711311170831323
contradiction,neutral,A boy dressed for summer in a green shirt and kahki shorts extends food to a reindeer in a petting zoo.,A boy alien dressed for summer in a green shirt and kahki shorts, An alien dressed for summer in  green shirt and kahki shorts feeding food to  four reindeer in  a petting zoo.,A boy  happily dressed for summer  in a green shirt and kahki shorts,0,2,2,0.36363636363636365,0.23076923076923078,42.52127456665039,82.5366439819336,0.00030299369245767593,0.9819270968437195,0.9982247948646545,0.9816241031512618,0.9979218011721969
entailment,neutral,A man in a brown shirt and blue shorts walking in Droney Park.,A man walking in Droney Park., A man in  a shirt and  pants in Droney Park.,A man walking in Droney Park with girlfriends,1,1,2,0.42857142857142855,0.2857142857142857,44.50281524658203,138.37513732910156,0.01318514347076416,0.4993114471435547,0.9985225796699524,-0.4870671033859253,0.9853374361991882
entailment,neutral,A young man blew up balloons to craft into animals for the seven excited children that looked on.,The children are watching the man blow up balloons,A young  man  blows up balloons  and craft  for animals for children to play on.,The  children are watching the man blow up balloons for his grandson,1,2,2,0.631578947368421,0.4444444444444444,223.79348754882812,270.5655517578125,0.024136727675795555,0.7968395352363586,0.9867511987686157,0.7727028075605631,0.9626144710928202
entailment,neutral,Three women sit together near woven walls.,Three women sit together.,Three  people sit  together On walls.,Three women talk together.,1,2,2,0.625,0.2,245.5011444091797,805.2705688476562,0.0068185413256287575,0.9978062510490417,0.9946986436843872,0.990987709723413,0.9878801023587584
neutral,entailment,"A young gymnast looks back at the audience, trying to catch a glimpse of her proud parents before starting her performance.",A gymnast scanning a crowd for familiar faces.,"A  gymnast looks back at  the audience, trying  to catch  a glimpse  of familiar faces before starting her performance.",A  gymnast watches a crowd for her faces.,2,1,2,0.34782608695652173,0.3333333333333333,65.82249450683594,89.08985137939453,0.166743665933609,0.9208052158355713,0.48567917943000793,0.7540615499019623,-0.3460754454135895
neutral,entailment,A fireman searching for something using a flashlight.,A fireman is in the dark., A fire man is searching for  smoke while using a flashlight., A fireman is not in the dark.,2,2,1,0.7777777777777778,0.2857142857142857,123.16873168945312,200.60508728027344,0.07157427817583084,0.5749565362930298,0.9124990105628967,-0.34785330295562744,0.8409247323870659
entailment,neutral,A male with a prosthetic leg diving for a volleyball.,The male has at least one prosthetic leg.,A  male  volleyball player stands guard watching another male play volleyball.,The male has  only one prosthetic leg.,1,1,2,0.9090909090909091,0.2222222222222222,94.96412658691406,105.57840728759766,0.003411419689655304,0.5725504159927368,0.8083156943321228,-0.42392975091934204,0.8049042746424675
entailment,neutral,A man sits at a table in a room.,A man sits.,A  person sits at a table in a room.,A man waits.,1,2,2,0.2,0.25,22.552091598510742,68.59980010986328,0.0038079586811363697,0.8645904660224915,0.7730283737182617,0.8607825073413551,0.7692204150371253
entailment,neutral,Violin soloists take the stage during the orchestra's opening show at the theater.,People are playing violin on stage., Four soloists take the stage during the orchestra's opening show at the theater.,People  are playing violin solos,1,2,1,0.13333333333333333,0.5714285714285714,135.23240661621094,75.03889465332031,0.12377870827913284,0.9910681843757629,0.7081210017204285,0.8672894760966301,-0.16592776775360107
entailment,neutral,Women in costume stand on a stage.,The women are on stage., Two  dance  dancers sitting at a stage.,The women perform on stage.,1,2,2,1.0,0.16666666666666666,60.18433380126953,244.92120361328125,0.011465523391962051,0.6707656383514404,0.948734700679779,0.6593001149594784,0.937269177287817
entailment,neutral,"A race car, numbered 104 is rounding a bend as two people watch and take pictures.",People are taking pictures., The car with  number 104  is rounding  the bend and the pictures.,People are  taking pictures. Idiot,1,2,2,0.7222222222222222,0.4,319.79058837890625,687.1517333984375,0.01742439530789852,0.9392442107200623,0.8103476762771606,0.9218198154121637,0.7929232809692621
entailment,neutral,Two young boys are playing in a fountain in a city plaza.,Kids are are standing in a fountain., People are standing in  a fountain in a city plaza.,Kids are are jousting in a fountain.,1,2,2,0.38461538461538464,0.125,58.82967758178711,150.2349395751953,0.13611134886741638,0.8649649024009705,0.9260015487670898,0.7288535535335541,0.7898901998996735
entailment,neutral,Two young ladies walking down the street together.,"There are two woman in this picture, and they are both outside.", Women  looking down picture taken together.," The two woman are married in this picture, and they are both outside.",1,2,2,0.6666666666666666,0.2857142857142857,63.06533432006836,157.18255615234375,0.0003941817849408835,0.6508036851882935,0.9975168704986572,0.6504095034033526,0.9971226887137163
entailment,neutral,"One young boy in a yellow long-sleeved shirt and jeans sitting down, with five adults in front of him, one operating a video camera.",An adult using a video camera.,One  young boy in a yellow long-sleeved shirt and jeans sitting down with two adults in front of him and one operating a camera.,An adult using a digital camera.,1,2,2,0.1724137931034483,0.14285714285714285,29.69463539123535,42.13854217529297,0.026726361364126205,0.5165312886238098,0.8100100159645081,0.4898049272596836,0.7832836546003819
entailment,neutral,A woman is leaning down while talking to her phone.,A woman is using a phone,A woman   looks at a phone.,A woman is using a Nokia,1,2,2,0.6363636363636364,0.16666666666666666,69.65188598632812,90.4972152709961,0.027203282341361046,0.5998325347900391,0.9965348243713379,0.572629252448678,0.9693315420299768
entailment,neutral,A skier goes down a hill with a mountain as a backdrop.,A skier going down a hill.," Someone going down  hill, with  the mountain as background.",A skier going down a hill fast,1,2,2,0.6923076923076923,0.14285714285714285,34.273193359375,179.36862182617188,0.009101471863687038,0.9901491403579712,0.9935547709465027,0.9810476684942842,0.9844532990828156
entailment,neutral,"Women of India performing with blue streamers, in beautiful blue costumes.",indian women perform together in gorgeous costumes,"Women  are performing with  colorful streamers, in beautiful Indian costumes.",indian women perform together in gorgeous saris,1,2,2,0.38461538461538464,0.14285714285714285,244.57762145996094,502.57537841796875,0.09206882864236832,0.780163049697876,0.6170967221260071,0.6880942210555077,0.5250278934836388
entailment,neutral,A gymnast is seen defying gravity as she performs an impressive move several feet above the parallel bars.,a gymanst performing,  Defecated  from gravity as   three barres   simultaneously move  200 feet above the bars., a male gymanst performing,1,1,2,0.6842105263157895,0.6666666666666666,232.87501525878906,819.7662353515625,0.037647150456905365,0.500791072845459,0.8489158749580383,-0.460605263710022,0.811268724501133
entailment,neutral,Players from two opposing teams wearing colorful cleats struggle to gain control over a ball on an AstroTurf field.,The players are playing a sport.,-1, The players are  playing a sport competition,1,2,2,1.0,0.42857142857142855,118.01200103759766,157.453125,0.04880106821656227,0.5879159569740295,0.8578569889068604,0.5391148887574673,0.8090559206902981
