orig_premise,orig_hypothesis,gold_label,gen_premise,gen_hypothesis,pred_orig_labels,pred_gen_premise_labels,pred_gen_hypothesis_labels,distance_premise,distance_hypothesis,perplexity_gen_hypothesis,perplexity_gen_premise,diff_premise_probs,diff_hypothesis_probs
People standing in front of a gray building with a sign that reads' Tickets Available Here'.,The people are standing outside.,neutral,People in front of a gray building with a sign that reads' Tickets Available Here'.,The people are standing in the rain.,1,1,2,0.05263157894736842,0.5,70.51654815673828,102.1778793334961,-0.022832810878753662,0.9621098451316357
A solo shot of a man riding a four wheeler in an atv event.,The man is entered in a event.,neutral,A solo shot of an athlete riding a four wheeler in an atv event.,The man is entered in a car.,1,1,0,0.13333333333333333,0.125,68.5960693359375,114.33594512939453,-0.312008798122406,0.990966978482902
Large brown dog walking in shallow water.,A brown dog is walking outside,neutral,Large dog walking in shallow water.,A brown dog is walking outside the house,1,2,0,0.125,0.3333333333333333,82.96485137939453,116.99278259277344,0.8145543932914734,0.6718032415956259
A man in a black shirt and brown pants is jumping in the air performing a karate kick towards a man in a red shirt and black hat.,Two males are involved in martial arts.,neutral,A person in a black shirt and brown pants is jumping in the air performing a karate kick towards a man in a red shirt and black hat.,Two males are involved in tae kwan doe.,1,1,1,0.034482758620689655,0.375,33.79216003417969,32.79953384399414,-0.019941985607147217,-0.4541029930114746
A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.,A man is eating a marshmallow.,contradiction,A guy in glasses is biting into a hot dog while somebody else is puckering their lips out wanting a bite.,A man is vomiting a marshmallow.,1,0,0,0.13043478260869565,0.14285714285714285,97.9695053100586,60.6647834777832,0.9457465261220932,0.9459707587957382
A man wearing a red vest is walking past a black and green fence.,A man is wearing a vest.,neutral,A man wearing red clothes is walking past a black and green fence.,A man is wearing a sweater.,1,2,2,0.13333333333333333,0.14285714285714285,37.665645599365234,42.54825973510742,0.9855617033317685,0.4469974981620908
A young girl with water wings leaps into a crowded pool,There are people in a pool.,neutral,A young girl with water wings leaps into a pool,There are people in a heated pool.,1,1,2,0.09090909090909091,0.14285714285714285,97.92369079589844,80.24593353271484,-0.009311854839324951,0.9601976256817579
A man sitting on steps with a child as a bystander walks by.,A man and a child sitting on steps saw a bystander.,neutral,A man is sitting on steps talking with a child as a bystander walks by.,A woman and a child sitting on steps saw a bystander.,1,1,0,0.14285714285714285,0.08333333333333333,36.504539489746094,39.73279571533203,-0.02106797695159912,0.9502736944705248
The girl wearing a brown jacket whilst walking in snow.,The girl is walking outside.,neutral,The girl wearing a brown jacket whilst walking.,The girl is walking outside in January.,1,2,2,0.18181818181818182,0.3333333333333333,105.9724349975586,109.62640380859375,0.746762229129672,0.9708687197417021
A young woman wearing a yellow shirt and off-white shorts is reading a book while sitting on a park bench.,A woman reading a book while sitting on a bench.,neutral,A young woman wearing a yellow shirt and off-white shorts is reading while sitting on a park bench.,A woman reading a book while sitting on a bench eating fruit.,1,2,2,0.08695652173913043,0.18181818181818182,21.667434692382812,19.158611297607422,0.5393403982743621,0.9802898978814483
"An Asian woman in a purple shirt preparing a bowl of food for the younger Asian boy sitting near buy, while an Asian man eats a roll and prepares to take some food up with his chopsticks.",A woman is preparing food for a child.,neutral,"An adult in a purple shirt preparing a bowl of food for the younger Asian boy sitting near buy, while an Asian man eats a roll and prepares to take some food up with his chopsticks.",A woman is preparing a drink for a child.,1,0,0,0.05128205128205128,0.2222222222222222,61.727046966552734,61.59115219116211,0.9121396022383124,0.7513383703771979
A woman and child are on a boat and the woman is looking out into the ocean through a scope.,A lady is looking through a scope at the ocean.,neutral,A parent and child are on a boat and the parent is looking out into the ocean through a scope.,A short lady is looking through a scope at the ocean.,1,0,2,0.09523809523809523,0.09090909090909091,30.439327239990234,30.72646713256836,0.9122873074375093,0.7508519142866135
An Indian woman stands in an outdoor marketplace.,A female is outdoors at a bazaar.,neutral,An Indian woman stands in a marketplace.,A female is at the airline gate.,1,1,0,0.2222222222222222,0.5,114.55423736572266,84.78655242919922,-0.005087494850158691,0.9931560473924037
two teen boys in school clothes are walking with something in a garbage bag.,Two boys are walking together carrying a bag.,neutral,two teens in school clothes are walking with something in a garbage bag.,Two boys are walking together carrying a suitcase.,1,2,2,0.13333333333333333,0.1111111111111111,74.08757019042969,71.62135314941406,0.7200154811143875,0.9629232436418533
"Two children, both wearing tan coats, are embracing one another.",Two kids are hugging.,neutral,Two children are both wearing tan coats. ,Two kids are hugging their dogs.,1,2,2,0.46153846153846156,0.4,51.64939498901367,426.4370422363281,0.9237266136333346,0.7127641392871737
A group of consumers walking through a public market to purchase vegetables with the background of the busy store just behind them.,Shoppers purchasing vegetables at a busy public market.,neutral,A group of consumers walking through a public market  with the background of the busy store just behind them.,Shoppers purchasing vegetables at a busy public market on Sunday.,1,2,2,0.13043478260869565,0.2222222222222222,67.87654113769531,118.48857116699219,0.9831259762868285,0.9864468490704894
Several street vehicles pass by a traditional architecture style of Thailand.,Vehicles are going down a street in Thailand.,neutral,Several street vehicles pass by a traditional architecture style.,Vehicles are going down a street in China.,1,2,0,0.16666666666666666,0.1111111111111111,209.43666076660156,187.34603881835938,0.9223423004150391,0.9782211549027124
A man wearing a shite short-sleeved shirt kisses a woman wearing a light pink jacket while standing on a public street.,A man is kissing a woman,neutral,A person wearing a shite short-sleeved shirt kisses a woman wearing a light pink jacket while standing on a public street.,A man is kissing a blonde woman,1,1,2,0.041666666666666664,0.16666666666666666,28.0432071685791,26.029415130615234,-0.39938628673553467,0.9863190623000264
A young woman is wearing a paper crown at an outdoor event.,the woman is outdoors,neutral,A young woman is wearing a paper crown at an event.,the man is outdoors,1,2,0,0.07692307692307693,0.25,114.95631408691406,123.08184814453125,0.8891047425568104,0.9312715763226151
Two women look at a table with assorted items on it in some sort of market that others are currently browsing.,two women are looking,neutral,A couple look at a table with assorted items on it in some sort of market that others are currently browsing.,two women are bathing.,1,2,0,0.09090909090909091,0.5,87.93843078613281,75.0815200805664,0.8890012763440609,0.9987067540641874
A fat woman wearing faint blue top is blowing soap bubble.,A fat woman is wearing a shirt.,neutral,A woman wearing faint blue top is blowing soap bubble.,A fat woman is wearing a shirt and shorts.,2,2,2,0.08333333333333333,0.25,118.22749328613281,176.5115966796875,0.46496760845184326,0.46205395460128784
A man in a suit driving a horse-drawn buggy down a stone street.,The man is driving a buggy.,neutral,A man in a suit driving down a stone street.,The man is driving to his house.,1,2,2,0.3125,0.42857142857142855,42.402462005615234,58.599063873291016,0.8986238380894065,0.9853995582088828
Expert snowboard is trying a new trick.,The person is snowboarding.,neutral,Expert athlete is trying a new trick.,The person is swimming in a pool.,1,2,0,0.125,0.8,73.68378448486328,100.15839385986328,0.8740142472088337,0.9991017858847044
An Asian lady is holding a cup and sitting in front of a table covered in different foods.,There is a table next to a lady.,neutral,An Asian customer is holding a cup and sitting in front of a table covered in different foods.,There is a table next to a man.,1,1,0,0.05263157894736842,0.1111111111111111,34.028018951416016,44.55630111694336,-0.22514158487319946,0.881945752655156
An Asian young woman wearing a white shirt and black pants is holding a pink purse.,The woman is holding a purse.,neutral,An Asian young woman wearing a white shirt and black pants is holding a pink bag.,The woman is holding a heavy purse.,1,2,2,0.058823529411764705,0.14285714285714285,27.539106369018555,24.51337242126465,0.8185188877396286,0.9900605189613998
A woman wearing a red hat and red bandanna followed by a man in a red bandanna.,The people are wearing bandanas.,neutral,A woman wearing a red hat followed by a man.,A husband and wife are wearing bandanas.,1,0,2,0.3888888888888889,0.6666666666666666,30.881895065307617,55.92596435546875,0.9643211932852864,0.971092602238059
A white man taking a photo in front of water.,A man is in front of water.,neutral,A white man taking a photo of swans.,A man is in front of water on a secluded beach.,1,1,2,0.2727272727272727,0.5,30.775171279907227,74.4112777709961,-0.009054124355316162,0.964201059192419
A man in a blue jacket holding a handsaw sawing a pipe on top of a wood fence.,Someone is sawing.,neutral,A man in a blue jacket holding a handsaw near a pipe on top of a wood fence.,Someone is sewing.,1,2,0,0.05263157894736842,0.25,81.81077575683594,82.67852783203125,0.6992638148367405,0.5933457071660087
A man touching a hanging strand of lamps.,A man is reaching out to a strand of lamps.,neutral,A shopkeeper touching a hanging strand of lamps.,A man is reaching out to see the price of a strand of lamps.,1,1,2,0.1111111111111111,0.36363636363636365,79.59931945800781,104.45865631103516,0.004210293292999268,0.9281710684299469
Dog running with a purple toy in the snowy field.,A dog is running.,neutral,An pet is running with a purple toy in the snowy field.,A dog is lying on the ground.,1,1,0,0.2727272727272727,0.8,74.69717407226562,148.17669677734375,0.0014563202857971191,0.9990804294793634
Two bearded men sit side by side.,Two men are sitting down.,neutral,Two bearded men are side by side.,Two clean shaven men are sitting down.,1,2,0,0.125,0.3333333333333333,37.65149688720703,48.28518295288086,0.6353184599429369,0.9994053624977823
Two men in karate gear using fighting sticks.,two karate men sparring with sticks,neutral,Two men in karate gear using weapons.,two karate men sparring with long sticks,1,2,2,0.2222222222222222,0.16666666666666666,166.92079162597656,189.1830291748047,0.4474194794893265,0.4121127277612686
A person sweeping stairs in a park.,A person outside.,neutral,A person sweeping stairs.,A person is inside.,1,0,0,0.375,0.5,146.0438232421875,272.84942626953125,0.3767804455710575,0.9935387921286747
"Four young men stare up at a basketball hoop with no net, in an outdoor, urban basketball court.",Four young men looking up at a basketball hoop.,neutral,"A group of young men stare up at a basketball hoop with no net, in an outdoor, urban basketball court.",Four men are looking up at a basketball hoop inside the school gym.,1,2,0,0.14285714285714285,0.6,43.41988754272461,38.23798370361328,0.9854754507541656,0.9985030069947243
A solo cyclist is riding down a windy road.,A cyclist rides down a road,neutral,A man is riding down a windy road.,A cyclist is at home,1,2,0,0.2,0.6666666666666666,58.05561065673828,31.09394645690918,0.8607904985547066,0.9983636484248564
A person standing next to an old dark building.,A person standing near a building.,neutral,A dark shape next to an old dark building.,A person standing near a new building.,1,1,0,0.2,0.14285714285714285,30.9373722076416,66.65399169921875,-0.3655538558959961,0.9986009200947592
"Two hockey players on opposing teams, one in a red and white jersey and one in a blue and black jersey, are standing on the rink.",Hockey players are standing on the ice rink.,neutral,"Two players on opposing teams, one in a red and white jersey and one in a blue and black jersey, are standing on the rink.",Hockey players are standing on the famous ice rink.,1,2,2,0.034482758620689655,0.1111111111111111,19.361400604248047,17.976194381713867,0.5767695605754852,0.8498363792896271
A man is playing with his skateboard on a street.,A man is outside.,neutral,A man is playing with his skateboard.,A man is inside.,1,2,0,0.2727272727272727,0.2,31.46004295349121,40.412174224853516,0.5634453147649765,0.9985975695599336
"A guy on Rollerblades, sliding across a rail.",The skateboarder rides the rail.,neutral,A guy sliding across a rail.,The skateboarder rides the ledge.,0,1,0,0.3,0.16666666666666666,86.6090087890625,80.7797622680664,0.3480905437027104,0.0013651251792907715
The man white purple and white polka-dotted shirts is eating and looking to his right while the woman behind him has a confused look on her face.,A person is consuming food.,neutral,The man white purple and white polka-dotted shirt is sitting at the dinner table and looking to his right while the woman behind him has a confused look on her face.,A person is consuming steak.,1,1,2,0.2,0.16666666666666666,54.57313919067383,33.63435363769531,-0.012396514415740967,0.9623934696428478
A woman is in the middle of hitting a tennis ball.,A woman is playing tennis.,neutral,A woman is in the middle of hitting a ball.,A woman is playing in a tennis tournament .,1,2,2,0.08333333333333333,0.5,29.141681671142578,29.722562789916992,0.7552046179771423,0.8135350942611694
A man sitting and a woman laying in his lap kissing each other.,A man sitting and woman laying in his lap.,neutral,A man sitting and a woman laying together kissing each other.,A man sitting and woman laying beside him.,1,2,1,0.21428571428571427,0.3,33.23353958129883,40.34392547607422,0.782747320830822,-0.08681201934814453
An elderly woman with a tan nun uniform on and glasses is taking a picture with her camera.,A woman is in a tan nun uniform.,neutral,An elderly woman with a uniform on and glasses is taking a picture with her camera.,A man is in a tan nun uniform.,1,2,0,0.10526315789473684,0.1111111111111111,53.31478500366211,70.83026123046875,0.8995143258944154,0.9976645415881649
Four women standing around a yellow table are looking at laptops.,A group of women looking at laptops together.,neutral,Four women standing around a yellow table are looking at electronics.,A group of women are looking at dell laptops together.,1,2,2,0.08333333333333333,0.2222222222222222,81.7696304321289,78.42842864990234,0.9248081408441067,0.9571195803582668
A boy dressed for summer in a green shirt and kahki shorts extends food to a reindeer in a petting zoo.,A boy alien dressed for summer in a green shirt and kahki shorts,neutral,A boy dressed for summer in a shirt and kahki shorts extends food to a reindeer in a petting zoo.,A boy alien dressed for summer in a green shirt and kahki pants,0,0,0,0.045454545454545456,0.07692307692307693,38.4119758605957,47.0815315246582,4.839897155761719e-05,-0.00023186206817626953
A man in a brown shirt and blue shorts walking in Droney Park.,A man walking in Droney Park.,neutral,A man in a brown shirt and blue shorts in Droney Park.,A young man walking in Droney Park.,1,2,2,0.07142857142857142,0.14285714285714285,26.971981048583984,39.739261627197266,0.5810296535491943,0.9227283000946045
A young man blew up balloons to craft into animals for the seven excited children that looked on.,The children are watching the man blow up balloons,neutral,A young man blew up balloons to craft into animals for the seven excited children at a birthday party.,The young man blew a balloon into an elephant for a girl.,1,2,2,0.21052631578947367,1.3333333333333333,89.12401580810547,86.08372497558594,0.7575590554624796,0.7690609637647867
Three women sit together near woven walls.,Three women sit together.,neutral,Three women are together near woven walls.,Three women sit together laughing.,1,2,2,0.125,0.2,350.2579040527344,387.37933349609375,0.6513940608128905,0.9886251604184508
A male with a prosthetic leg diving for a volleyball.,The male has at least one prosthetic leg.,neutral,A male athlete diving for a volleyball.,The male has prosthetic leg in a volleyball.,1,1,1,0.36363636363636365,0.5555555555555556,57.4670524597168,52.89101028442383,-0.15829914808273315,-0.050276339054107666
A man sits at a table in a room.,A man sits.,neutral,A man is at a table in a room.,A man is standing while he is waiting for a table.,1,1,0,0.1,2.25,21.233367919921875,41.1114616394043,-0.04438525438308716,0.9990697974935756
Violin soloists take the stage during the orchestra's opening show at the theater.,People are playing violin on stage.,neutral,Musicians take the stage during the orchestra's opening show at the theater.,People are playing flute on stage.,1,2,0,0.13333333333333333,0.14285714285714285,61.871559143066406,39.654415130615234,0.8701314851641655,0.9937312405090779
Women in costume stand on a stage.,The women are on stage.,neutral,Artists in costumes stand on a stage.,The men and children are on stage.,1,2,0,0.25,0.5,59.09347915649414,59.654388427734375,0.8804116509854794,0.9694864806224359
"A race car, numbered 104 is rounding a bend as two people watch and take pictures.",People are taking pictures.,neutral,"A race car, numbered 104 is rounding a bend as two people watch and take out their cellphones.",A horse and buggy has two people chasing it for photographs.,1,0,0,0.16666666666666666,2.2,131.7425079345703,134.41683959960938,0.8795397900976241,0.997815313283354
Two young boys are playing in a fountain in a city plaza.,Kids are are standing in a fountain.,neutral,Two people are standing in a fountain in a city plaza.,Kids are are standing in a musical fountain.,1,0,2,0.23076923076923078,0.125,85.32515716552734,71.47322082519531,0.8465496692806482,0.7962004840373993
Two young ladies walking down the street together.,"There are two woman in this picture, and they are both outside.",neutral,Two young ladies walking down a narrow opening together.,"There are three woman in this picture, and they are all outside.",1,1,1,0.3333333333333333,0.14285714285714285,32.55657958984375,53.75113296508789,-0.0004735589027404785,-0.012960195541381836
"One young boy in a yellow long-sleeved shirt and jeans sitting down, with five adults in front of him, one operating a video camera.",An adult using a video camera.,neutral,"One young boy in a yellow long-sleeved shirt and jeans sitting down, with five people in front of him, one operating a video camera.",A man using a video camera.,1,0,1,0.034482758620689655,0.2857142857142857,27.617338180541992,29.297388076782227,0.6977397855371237,-0.056116580963134766
A woman is leaning down while talking to her phone.,A woman is using a phone,neutral,A woman is leaning down while talking to someone.,A woman is using an iPhone XR,1,0,2,0.18181818181818182,0.5,58.0159797668457,60.19584274291992,0.5386690485756844,0.9689147863537073
A skier goes down a hill with a mountain as a backdrop.,A skier going down a hill.,neutral,An athlete goes down a hill with a mountain as a backdrop.,A skier going down a famous hill.,1,0,2,0.15384615384615385,0.14285714285714285,33.41520690917969,49.111351013183594,0.4734907270758413,0.9900984549894929
"Women of India performing with blue streamers, in beautiful blue costumes.",indian women perform together in gorgeous costumes,neutral,"Women performing with blue streamers, in beautiful blue costumes.",indian women perform together in gorgeous costumes often,1,2,2,0.15384615384615385,0.14285714285714285,290.8086853027344,298.4720153808594,0.9006731137633324,0.8957083448767662
A gymnast is seen defying gravity as she performs an impressive move several feet above the parallel bars.,a gymanst performing,neutral,An olympian is seen defying gravity as she performs an impressive move several feet above the parallel bars.,A gymnast is not performing.,1,1,0,0.10526315789473684,1.6666666666666667,61.92937469482422,185.83013916015625,0.010444581508636475,0.9983689760556445
Players from two opposing teams wearing colorful cleats struggle to gain control over a ball on an AstroTurf field.,The players are playing a sport.,neutral,Players from two opposing teams wearing colorful cleats struggle to gain control of their emotions on an AstroTurf field.,The players are playing rugby.,1,1,0,0.15,0.2857142857142857,63.174320220947266,61.919193267822266,-0.11241281032562256,0.9967721810971852
a young girl looking down through some leaves from atop a tree.,There is a girl outdoors.,neutral,Someone looking down through some leaves from atop a tree while outside.,There is a girl singing outdoors.,1,2,0,0.38461538461538464,0.16666666666666666,83.94208526611328,151.91261291503906,0.9763770375866443,0.9612508178252028
A man holding a baby who is petting a pony.,A man with a baby is petting a pony.,neutral,A man is holding a baby who is petting a toy.,A pony is holding a baby while a man pets it.,1,2,0,0.18181818181818182,0.8,32.14070510864258,41.562679290771484,0.9581388738006353,0.9709368930198252
Man in blue shirt yells and points off-camera while a man in a blue shirt and baseball cap watches.,A man is yelling.,neutral,Man in blue shirt opens his mouth and points off-camera while a man in a blue shirt and baseball cap watches.,A short man is yelling.,1,0,2,0.13636363636363635,0.2,53.16162872314453,40.05950927734375,0.573879319417756,0.9936583614908159
A small child is riding in a red wagon.,A kid is in a wagon.,neutral,A small person is riding in a red wagon.,A kid is in a car.,1,1,0,0.1,0.14285714285714285,35.29149627685547,52.587135314941406,-0.08980691432952881,0.9392258792067878
A man in renaissance clothing is sitting on a brick wall.,The man is in costume,neutral,A person in renaissance clothing is sitting on a brick wall.,The man is in a green costume.,1,2,2,0.08333333333333333,0.6,49.33199691772461,59.248435974121094,0.5308445133268833,0.9332333840429783
a big black dog jumps in the air to catch the tennis ball in his mouth.,A dog is jumping.,neutral,a big black dog catches the tennis ball in his mouth.,A dog with a red collar is jumping.,1,2,2,0.35294117647058826,0.8,39.87450408935547,92.66088104248047,0.5359530625864863,0.9863982973620296
Two men are boxing in fighting arena.,TWo men are boxing.,neutral,Two people are boxing in a fighting arena.,Twenty TWo men are boxing.,1,2,0,0.25,0.2,511.1533203125,302.1308898925781,0.955224852077663,0.9339601185056381
A wall hung with multicolored crosses is visible behind the group of young men as they converse.,Young men are talking,neutral,A wall hung with multicolored crosses is visible behind the group of young men gather. ,Young men are talking politics,1,2,2,0.16666666666666666,0.25,55.4965934753418,108.25259399414062,0.7366292644292116,0.979164557531476
Red-haired female answers questions while sitting at a table for craftzine.,She answers questions while sitting at a table.,neutral,Red-haired female talks to people while sitting at a table for craftzine.,She answers questions while running a race.,1,1,0,0.21428571428571427,0.3333333333333333,106.34397888183594,67.35249328613281,-0.08982360363006592,0.9994801480206661
"Two men in costumes with fake carrot noses, top hats, sunglasses and white fur coats that contain white electrical lights.",People in costumes,neutral,"Two horses with red noses, top hats, sunglasses and white fur coats that contain white electrical lights.",People in pirate costumes,1,2,2,0.21739130434782608,0.3333333333333333,156.28123474121094,126.18667602539062,0.6070823911577463,0.9282334093004465
A man has wrecked his racing bike in the dirt with five spectators behind a rope.,A man has damaged something.,neutral,A rider has wrecked their racing bike in the dirt with five spectators behind a rope.,A man has damaged something expensive.,1,2,2,0.11764705882352941,0.16666666666666666,218.33782958984375,197.38218688964844,0.5424740239977837,0.9253262206912041
A city street with market vendors and children being pushed in strollers with a large cathedral in the background.,The strollers are moving.,neutral,A city street with market vendors and children in strollers with a large cathedral in the background.,The strollers are sitting.,1,2,2,0.1,0.2,134.35647583007812,91.50627136230469,0.4770961329340935,0.6233163401484489
Two men working on farm equipment that is being pulled by two horses.,The men are working on farm stuff.,neutral,Farmers working on farm equipment that is being pulled by two horses.,The men are working on a plow.,1,2,0,0.14285714285714285,0.25,45.908668518066406,64.31409454345703,0.7726102946326137,0.5409337693854468
Woman running in a park while listening to music.,A woman jogging in a park.,neutral,Woman exercising in a park while listening to music.,A woman lies down on a park bench.,1,2,0,0.1,0.5714285714285714,50.53767013549805,38.775054931640625,0.8308779001235962,0.9963944412302226
"The blond young man who had been splattered with paint colors of blue, orange, and green held up his camera to take a picture.",A man covered in paint takes a photo.,neutral,"The blond young  man who had been splattered with paint colors of blue, orange, and green held up his camera.",A man covered in paint takes an apple.,1,1,0,0.18518518518518517,0.2222222222222222,43.06210708618164,78.06010437011719,-0.13375359773635864,0.9680749479448423
"One woman with jeans, gray shirt and sandals; with girl in all pink watching a white ball float in midair.",The shirt is gray.,neutral,"One woman with jeans, shirt and sandals; with girl in all pink watching a white ball float in midair.",The woman is in khaki shorts.,1,2,0,0.043478260869565216,0.8,97.52433776855469,146.96778869628906,0.9418398095294833,0.9956666619109455
3 people are shopping in a market.,There are people at a market.,neutral,3 people are shopping.,The market is empty.,1,2,0,0.375,0.8571428571428571,69.7993392944336,143.6336669921875,0.6032228816766292,0.9993656403239584
A man is working in an art studio and is surrounded by art supplies.,A man is working on art.,neutral,A man is working on something in a studio. ,A man thinks highly of his work.,1,2,2,0.6666666666666666,0.7142857142857143,28.551416397094727,101.78121948242188,0.9203225448727608,0.9373335316777229
The man in black is flying off the full in front of a red fence.,The man is next to the fence.,contradiction,The woman in black is flying off the full in front of a red fence.,There are many men in black flying off the full in front of a red fence.,1,0,2,0.0625,1.75,20.409160614013672,45.76361846923828,0.8469196408987045,0.9136820957064629
People are hiking up a mountain with no greenery.,The mountain is bare.,neutral,People are hiking up a mountain.,The mountain has had a fire recently destroy the greenery.,1,0,2,0.3,1.6,82.01243591308594,61.317867279052734,0.9688994167372584,0.9750525522977114
"An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.",An old woman has a jean jacket.,neutral,"An old man in a baseball hat and an old woman in a jean outfit are standing outside, but are covered mostly in shadow.",An old woman has a velvet jacket.,1,1,0,0.038461538461538464,0.125,36.203433990478516,33.33705520629883,-0.08436429500579834,0.9750128326704726
A patient is being worked on by doctors and nurses.,Someone is at the doctor.,neutral,A patient is being worked on by medical professionals.,An alien is at the doctor.,1,1,0,0.2727272727272727,0.3333333333333333,63.64242172241211,77.48126220703125,-0.06685072183609009,0.998734726512339
A young male wearing a white shirt with a character outlined very darkly.,A young male in a white shirt.,neutral,A young male wearing a plain shirt with a character outlined very darkly.,A older male in a white shirt.,1,0,0,0.07142857142857142,0.125,58.02572250366211,64.75218963623047,0.6547448813216761,0.9988787948386744
A man wearing a white shirt and a blue jeans reading a newspaper while standing,A man is reading a newspaper.,neutral,A man wearing a white shirt and a blue jeans reading a paper while standing,A woman is reading a newspaper.,1,1,0,0.06666666666666667,0.14285714285714285,53.400352478027344,67.05239868164062,-0.005331754684448242,0.9973876865697093
A man and woman setup a camera.,Two people setup a device,neutral,A man and woman setup a gift for their son.,Three people setup a device,1,1,0,0.5,0.2,147.2103271484375,102.33317565917969,-0.01903855800628662,0.731310521659907
two dogs run across the woods.,The canines run around in the forest.,neutral,Two dogs run across the trees.,Two dogs swim in a lake.,1,1,0,0.2857142857142857,0.75,57.95476531982422,62.126007080078125,-0.004719853401184082,0.999783622668474
