orig_premise,orig_hypothesis,gold_label,gen_premise,gen_hypothesis,pred_orig_labels,pred_gen_premise_labels,pred_gen_hypothesis_labels,distance_premise,distance_hypothesis,perplexity_gen_hypothesis,perplexity_gen_premise,orig_contrast_probs,pred_edit_premise_probs,pred_edit_hypo_probs,diff_premise_probs,diff_hypothesis_probs
"Three men in yellow green safety vests sit on a bench yawning, smoking and having a break.",There are people seated.,neutral,"Three men in yellow green safety vest are on a bench yawning, smoking and having a break.",There are business people seated.,1,1,2,0.10526315789473684,0.2,97.41111755371094,125.28770446777344,0.003949630539864302,0.9797737002372742,0.8290888071060181,-0.016053438186645508,0.8251391765661538
"A man in gray on a rocky cliff, overlooking the mountains.",A man can see mountains from where he stands.,neutral,"A man in gray on a rocky cliff, overlooking nature.",A man can see snowy mountains from where he stands.,1,2,2,0.15384615384615385,0.1,71.12060546875,77.82647705078125,0.050392381846904755,0.9394799470901489,0.9826091527938843,0.8890875652432442,0.9322167709469795
A hockey player in blue and red guarding the goal.,a person playing a sport,neutral,A person in blue and red near the goal.,a person playing a guitar,1,1,0,0.2727272727272727,0.2,163.5296630859375,143.62257385253906,0.021702133119106293,0.8246467113494873,0.9998447895050049,-0.15348678827285767,0.9996804102265742
People standing in front of a gray building with a sign that reads' Tickets Available Here'.,The people are standing outside.,neutral,People in front of a gray building with a sign that reads' Tickets Available Here'.,The people are standing in the rain.,1,1,2,0.05263157894736842,0.5,70.51654815673828,102.1778793334961,0.03337116912007332,0.9432909488677979,0.995481014251709,-0.022832810878753662,0.9621098451316357
A solo shot of a man riding a four wheeler in an atv event.,The man is entered in a event.,neutral,A solo shot of an athlete riding a four wheeler in an atv event.,The man is entered in a car.,1,1,0,0.13333333333333333,0.125,68.5960693359375,114.33594512939453,0.13888566195964813,0.5404883027076721,0.9995842576026917,-0.312008798122406,0.990966978482902
Large brown dog walking in shallow water.,A brown dog is walking outside,neutral,Large dog walking in shallow water.,A brown dog is walking outside the house,1,2,0,0.125,0.3333333333333333,82.96485137939453,116.99278259277344,0.8105546236038208,0.9973293542861938,0.6784736514091492,0.8145543932914734,0.6718032415956259
A man in a black shirt and brown pants is jumping in the air performing a karate kick towards a man in a red shirt and black hat.,Two males are involved in martial arts.,neutral,A person in a black shirt and brown pants is jumping in the air performing a karate kick towards a man in a red shirt and black hat.,Two males are involved in tae kwan doe.,1,1,1,0.034482758620689655,0.375,33.79216003417969,32.79953384399414,0.017916930839419365,0.9619513154029846,0.5277903079986572,-0.019941985607147217,-0.4541029930114746
A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.,A man is eating a marshmallow.,contradiction,A guy in glasses is biting into a hot dog while somebody else is puckering their lips out wanting a bite.,A man is vomiting a marshmallow.,1,0,0,0.13043478260869565,0.14285714285714285,97.9695053100586,60.6647834777832,0.04425927624106407,0.9953120946884155,0.9955363273620605,0.9457465261220932,0.9459707587957382
A man wearing a red vest is walking past a black and green fence.,A man is wearing a vest.,neutral,A man wearing red clothes is walking past a black and green fence.,A man is wearing a sweater.,1,2,2,0.13333333333333333,0.14285714285714285,37.665645599365234,42.54825973510742,0.00029236680711619556,0.9975591897964478,0.45899498462677,0.9855617033317685,0.4469974981620908
A young girl with water wings leaps into a crowded pool,There are people in a pool.,neutral,A young girl with water wings leaps into a pool,There are people in a heated pool.,1,1,2,0.09090909090909091,0.14285714285714285,97.92369079589844,80.24593353271484,0.006417514756321907,0.983996570110321,0.9666151404380798,-0.009311854839324951,0.9601976256817579
A man sitting on steps with a child as a bystander walks by.,A man and a child sitting on steps saw a bystander.,neutral,A man is sitting on steps talking with a child as a bystander walks by.,A woman and a child sitting on steps saw a bystander.,1,1,0,0.14285714285714285,0.08333333333333333,36.504539489746094,39.73279571533203,0.06247565522789955,0.9052672982215881,0.9614627957344055,-0.02106797695159912,0.9502736944705248
The girl wearing a brown jacket whilst walking in snow.,The girl is walking outside.,neutral,The girl wearing a brown jacket whilst walking.,The girl is walking outside in January.,1,2,2,0.18181818181818182,0.3333333333333333,105.9724349975586,109.62640380859375,0.02560173161327839,0.7723639607429504,0.9964704513549805,0.746762229129672,0.9708687197417021
A young woman wearing a yellow shirt and off-white shorts is reading a book while sitting on a park bench.,A woman reading a book while sitting on a bench.,neutral,A young woman wearing a yellow shirt and off-white shorts is reading while sitting on a park bench.,A woman reading a book while sitting on a bench eating fruit.,1,2,2,0.08695652173913043,0.18181818181818182,21.667434692382812,19.158611297607422,0.01285556796938181,0.5521959662437439,0.9931454658508301,0.5393403982743621,0.9802898978814483
"An Asian woman in a purple shirt preparing a bowl of food for the younger Asian boy sitting near buy, while an Asian man eats a roll and prepares to take some food up with his chopsticks.",A woman is preparing food for a child.,neutral,"An adult in a purple shirt preparing a bowl of food for the younger Asian boy sitting near buy, while an Asian man eats a roll and prepares to take some food up with his chopsticks.",A woman is preparing a drink for a child.,1,0,0,0.05128205128205128,0.2222222222222222,61.727046966552734,61.59115219116211,0.006928774993866682,0.9127801060676575,0.751978874206543,0.9121396022383124,0.7513383703771979
A woman and child are on a boat and the woman is looking out into the ocean through a scope.,A lady is looking through a scope at the ocean.,neutral,A parent and child are on a boat and the parent is looking out into the ocean through a scope.,A short lady is looking through a scope at the ocean.,1,0,2,0.09523809523809523,0.09090909090909091,30.439327239990234,30.72646713256836,0.07339514791965485,0.9172411561012268,0.8242470622062683,0.9122873074375093,0.7508519142866135
An Indian woman stands in an outdoor marketplace.,A female is outdoors at a bazaar.,neutral,An Indian woman stands in a marketplace.,A female is at the airline gate.,1,1,0,0.2222222222222222,0.5,114.55423736572266,84.78655242919922,0.01639493927359581,0.978298008441925,0.9933755993843079,-0.005087494850158691,0.9931560473924037
two teen boys in school clothes are walking with something in a garbage bag.,Two boys are walking together carrying a bag.,neutral,two teens in school clothes are walking with something in a garbage bag.,Two boys are walking together carrying a suitcase.,1,2,2,0.13333333333333333,0.1111111111111111,74.08757019042969,71.62135314941406,0.02185790240764618,0.7418733835220337,0.9847811460494995,0.7200154811143875,0.9629232436418533
"Two children, both wearing tan coats, are embracing one another.",Two kids are hugging.,neutral,Two children are both wearing tan coats. ,Two kids are hugging their dogs.,1,2,2,0.46153846153846156,0.4,51.64939498901367,426.4370422363281,0.00655317772179842,0.9302797913551331,0.7193173170089722,0.9237266136333346,0.7127641392871737
A group of consumers walking through a public market to purchase vegetables with the background of the busy store just behind them.,Shoppers purchasing vegetables at a busy public market.,neutral,A group of consumers walking through a public market  with the background of the busy store just behind them.,Shoppers purchasing vegetables at a busy public market on Sunday.,1,2,2,0.13043478260869565,0.2222222222222222,67.87654113769531,118.48857116699219,0.01231206301599741,0.9954380393028259,0.9987589120864868,0.9831259762868285,0.9864468490704894
Several street vehicles pass by a traditional architecture style of Thailand.,Vehicles are going down a street in Thailand.,neutral,Several street vehicles pass by a traditional architecture style.,Vehicles are going down a street in China.,1,2,0,0.16666666666666666,0.1111111111111111,209.43666076660156,187.34603881835938,0.0766826868057251,0.9990249872207642,0.9784533977508545,0.9223423004150391,0.9782211549027124
A man wearing a shite short-sleeved shirt kisses a woman wearing a light pink jacket while standing on a public street.,A man is kissing a woman,neutral,A person wearing a shite short-sleeved shirt kisses a woman wearing a light pink jacket while standing on a public street.,A man is kissing a blonde woman,1,1,2,0.041666666666666664,0.16666666666666666,28.0432071685791,26.029415130615234,0.012237253598868847,0.58795565366745,0.9985563158988953,-0.39938628673553467,0.9863190623000264
A young woman is wearing a paper crown at an outdoor event.,the woman is outdoors,neutral,A young woman is wearing a paper crown at an event.,the man is outdoors,1,2,0,0.07692307692307693,0.25,114.95631408691406,123.08184814453125,0.0525314025580883,0.9416361451148987,0.9320483803749084,0.8891047425568104,0.9312715763226151
Two women look at a table with assorted items on it in some sort of market that others are currently browsing.,two women are looking,neutral,A couple look at a table with assorted items on it in some sort of market that others are currently browsing.,two women are bathing.,1,2,0,0.09090909090909091,0.5,87.93843078613281,75.0815200805664,0.026079747825860977,0.9150810241699219,0.9992150068283081,0.8890012763440609,0.9987067540641874
A fat woman wearing faint blue top is blowing soap bubble.,A fat woman is wearing a shirt.,neutral,A woman wearing faint blue top is blowing soap bubble.,A fat woman is wearing a shirt and shorts.,2,2,2,0.08333333333333333,0.25,118.22749328613281,176.5115966796875,0.5130087733268738,0.977976381778717,0.9750627279281616,0.46496760845184326,0.46205395460128784
A man in a suit driving a horse-drawn buggy down a stone street.,The man is driving a buggy.,neutral,A man in a suit driving down a stone street.,The man is driving to his house.,1,2,2,0.3125,0.42857142857142855,42.402462005615234,58.599063873291016,0.01003395114094019,0.9086577892303467,0.995433509349823,0.8986238380894065,0.9853995582088828
Expert snowboard is trying a new trick.,The person is snowboarding.,neutral,Expert athlete is trying a new trick.,The person is swimming in a pool.,1,2,0,0.125,0.8,73.68378448486328,100.15839385986328,0.02605898305773735,0.900073230266571,0.9999203681945801,0.8740142472088337,0.9991017858847044
An Asian lady is holding a cup and sitting in front of a table covered in different foods.,There is a table next to a lady.,neutral,An Asian customer is holding a cup and sitting in front of a table covered in different foods.,There is a table next to a man.,1,1,0,0.05263157894736842,0.1111111111111111,34.028018951416016,44.55630111694336,0.013702170923352242,0.7603822946548462,0.8827196359634399,-0.22514158487319946,0.881945752655156
An Asian young woman wearing a white shirt and black pants is holding a pink purse.,The woman is holding a purse.,neutral,An Asian young woman wearing a white shirt and black pants is holding a pink bag.,The woman is holding a heavy purse.,1,2,2,0.058823529411764705,0.14285714285714285,27.539106369018555,24.51337242126465,0.0040296209044754505,0.822548508644104,0.9940901398658752,0.8185188877396286,0.9900605189613998
A woman wearing a red hat and red bandanna followed by a man in a red bandanna.,The people are wearing bandanas.,neutral,A woman wearing a red hat followed by a man.,A husband and wife are wearing bandanas.,1,0,2,0.3888888888888889,0.6666666666666666,30.881895065307617,55.92596435546875,0.023220399394631386,0.9761788249015808,0.9943130016326904,0.9643211932852864,0.971092602238059
A white man taking a photo in front of water.,A man is in front of water.,neutral,A white man taking a photo of swans.,A man is in front of water on a secluded beach.,1,1,2,0.2727272727272727,0.5,30.775171279907227,74.4112777709961,0.02684846892952919,0.9630006551742554,0.9910495281219482,-0.009054124355316162,0.964201059192419
A man in a blue jacket holding a handsaw sawing a pipe on top of a wood fence.,Someone is sawing.,neutral,A man in a blue jacket holding a handsaw near a pipe on top of a wood fence.,Someone is sewing.,1,2,0,0.05263157894736842,0.25,81.81077575683594,82.67852783203125,0.03988170251250267,0.7391455173492432,0.5942784547805786,0.6992638148367405,0.5933457071660087
A man touching a hanging strand of lamps.,A man is reaching out to a strand of lamps.,neutral,A shopkeeper touching a hanging strand of lamps.,A man is reaching out to see the price of a strand of lamps.,1,1,2,0.1111111111111111,0.36363636363636365,79.59931945800781,104.45865631103516,0.06938126683235168,0.9344662427902222,0.9975523352622986,0.004210293292999268,0.9281710684299469
Dog running with a purple toy in the snowy field.,A dog is running.,neutral,An pet is running with a purple toy in the snowy field.,A dog is lying on the ground.,1,1,0,0.2727272727272727,0.8,74.69717407226562,148.17669677734375,0.008651820942759514,0.9926630258560181,0.999221920967102,0.0014563202857971191,0.9990804294793634
Two bearded men sit side by side.,Two men are sitting down.,neutral,Two bearded men are side by side.,Two clean shaven men are sitting down.,1,2,0,0.125,0.3333333333333333,37.65149688720703,48.28518295288086,0.016781030222773552,0.6520994901657104,0.9997038245201111,0.6353184599429369,0.9994053624977823
Two men in karate gear using fighting sticks.,two karate men sparring with sticks,neutral,Two men in karate gear using weapons.,two karate men sparring with long sticks,1,2,2,0.2222222222222222,0.16666666666666666,166.92079162597656,189.1830291748047,0.16269420087337494,0.6101136803627014,0.5748069286346436,0.4474194794893265,0.4121127277612686
A person sweeping stairs in a park.,A person outside.,neutral,A person sweeping stairs.,A person is inside.,1,0,0,0.375,0.5,146.0438232421875,272.84942626953125,0.014911004342138767,0.3773534893989563,0.9941118359565735,0.3767804455710575,0.9935387921286747
"Four young men stare up at a basketball hoop with no net, in an outdoor, urban basketball court.",Four young men looking up at a basketball hoop.,neutral,"A group of young men stare up at a basketball hoop with no net, in an outdoor, urban basketball court.",Four men are looking up at a basketball hoop inside the school gym.,1,2,0,0.14285714285714285,0.6,43.41988754272461,38.23798370361328,0.9897754192352295,0.9949730634689331,0.999229907989502,0.9854754507541656,0.9985030069947243
A solo cyclist is riding down a windy road.,A cyclist rides down a road,neutral,A man is riding down a windy road.,A cyclist is at home,1,2,0,0.2,0.6666666666666666,58.05561065673828,31.09394645690918,0.02995317429304123,0.8907436728477478,0.9987809062004089,0.8607904985547066,0.9983636484248564
A person standing next to an old dark building.,A person standing near a building.,neutral,A dark shape next to an old dark building.,A person standing near a new building.,1,1,0,0.2,0.14285714285714285,30.9373722076416,66.65399169921875,0.022460246458649635,0.6117549538612366,0.9988318085670471,-0.3655538558959961,0.9986009200947592
"Two hockey players on opposing teams, one in a red and white jersey and one in a blue and black jersey, are standing on the rink.",Hockey players are standing on the ice rink.,neutral,"Two players on opposing teams, one in a red and white jersey and one in a blue and black jersey, are standing on the rink.",Hockey players are standing on the famous ice rink.,1,2,2,0.034482758620689655,0.1111111111111111,19.361400604248047,17.976194381713867,0.148031085729599,0.7248006463050842,0.9978674650192261,0.5767695605754852,0.8498363792896271
A man is playing with his skateboard on a street.,A man is outside.,neutral,A man is playing with his skateboard.,A man is inside.,1,2,0,0.2727272727272727,0.2,31.46004295349121,40.412174224853516,0.016337409615516663,0.5797827243804932,0.9989088773727417,0.5634453147649765,0.9985975695599336
"A guy on Rollerblades, sliding across a rail.",The skateboarder rides the rail.,neutral,A guy sliding across a rail.,The skateboarder rides the ledge.,0,1,0,0.3,0.16666666666666666,86.6090087890625,80.7797622680664,0.0015292535535991192,0.34904736280441284,0.9988791346549988,0.3480905437027104,0.0013651251792907715
The man white purple and white polka-dotted shirts is eating and looking to his right while the woman behind him has a confused look on her face.,A person is consuming food.,neutral,The man white purple and white polka-dotted shirt is sitting at the dinner table and looking to his right while the woman behind him has a confused look on her face.,A person is consuming steak.,1,1,2,0.2,0.16666666666666666,54.57313919067383,33.63435363769531,0.002656512428075075,0.9848760366439819,0.9650499820709229,-0.012396514415740967,0.9623934696428478
A woman is in the middle of hitting a tennis ball.,A woman is playing tennis.,neutral,A woman is in the middle of hitting a ball.,A woman is playing in a tennis tournament .,1,2,2,0.08333333333333333,0.5,29.141681671142578,29.722562789916992,0.1843523383140564,0.9395569562911987,0.9978874325752258,0.7552046179771423,0.8135350942611694
A man sitting and a woman laying in his lap kissing each other.,A man sitting and woman laying in his lap.,neutral,A man sitting and a woman laying together kissing each other.,A man sitting and woman laying beside him.,1,2,1,0.21428571428571427,0.3,33.23353958129883,40.34392547607422,0.0934113934636116,0.8761587142944336,0.8112185001373291,0.782747320830822,-0.08681201934814453
An elderly woman with a tan nun uniform on and glasses is taking a picture with her camera.,A woman is in a tan nun uniform.,neutral,An elderly woman with a uniform on and glasses is taking a picture with her camera.,A man is in a tan nun uniform.,1,2,0,0.10526315789473684,0.1111111111111111,53.31478500366211,70.83026123046875,0.014453819952905178,0.9139681458473206,0.9987481832504272,0.8995143258944154,0.9976645415881649
Four women standing around a yellow table are looking at laptops.,A group of women looking at laptops together.,neutral,Four women standing around a yellow table are looking at electronics.,A group of women are looking at dell laptops together.,1,2,2,0.08333333333333333,0.2222222222222222,81.7696304321289,78.42842864990234,0.9573054313659668,0.9670017957687378,0.999313235282898,0.9248081408441067,0.9571195803582668
A boy dressed for summer in a green shirt and kahki shorts extends food to a reindeer in a petting zoo.,A boy alien dressed for summer in a green shirt and kahki shorts,neutral,A boy dressed for summer in a shirt and kahki shorts extends food to a reindeer in a petting zoo.,A boy alien dressed for summer in a green shirt and kahki pants,0,0,0,0.045454545454545456,0.07692307692307693,38.4119758605957,47.0815315246582,0.00030299369245767593,0.9996960163116455,0.9994157552719116,4.839897155761719e-05,-0.00023186206817626953
A man in a brown shirt and blue shorts walking in Droney Park.,A man walking in Droney Park.,neutral,A man in a brown shirt and blue shorts in Droney Park.,A young man walking in Droney Park.,1,2,2,0.07142857142857142,0.14285714285714285,26.971981048583984,39.739261627197266,0.01318514347076416,0.5942147970199585,0.9359134435653687,0.5810296535491943,0.9227283000946045
A young man blew up balloons to craft into animals for the seven excited children that looked on.,The children are watching the man blow up balloons,neutral,A young man blew up balloons to craft into animals for the seven excited children at a birthday party.,The young man blew a balloon into an elephant for a girl.,1,2,2,0.21052631578947367,1.3333333333333333,89.12401580810547,86.08372497558594,0.024136727675795555,0.7816957831382751,0.7931976914405823,0.7575590554624796,0.7690609637647867
Three women sit together near woven walls.,Three women sit together.,neutral,Three women are together near woven walls.,Three women sit together laughing.,1,2,2,0.125,0.2,350.2579040527344,387.37933349609375,0.9929798245429993,0.6582126021385193,0.9954437017440796,0.6513940608128905,0.9886251604184508
A male with a prosthetic leg diving for a volleyball.,The male has at least one prosthetic leg.,neutral,A male athlete diving for a volleyball.,The male has prosthetic leg in a volleyball.,1,1,1,0.36363636363636365,0.5555555555555556,57.4670524597168,52.89101028442383,0.003411419689655304,0.8381810188293457,0.9462038278579712,-0.15829914808273315,-0.050276339054107666
A man sits at a table in a room.,A man sits.,neutral,A man is at a table in a room.,A man is standing while he is waiting for a table.,1,1,0,0.1,2.25,21.233367919921875,41.1114616394043,0.0038079586811363697,0.9516852498054504,0.9991913437843323,-0.04438525438308716,0.9990697974935756
Violin soloists take the stage during the orchestra's opening show at the theater.,People are playing violin on stage.,neutral,Musicians take the stage during the orchestra's opening show at the theater.,People are playing flute on stage.,1,2,0,0.13333333333333333,0.14285714285714285,61.871559143066406,39.654415130615234,0.12377870827913284,0.9939101934432983,0.9959037899971008,0.8701314851641655,0.9937312405090779
Women in costume stand on a stage.,The women are on stage.,neutral,Artists in costumes stand on a stage.,The men and children are on stage.,1,2,0,0.25,0.5,59.09347915649414,59.654388427734375,0.011465523391962051,0.8918771743774414,0.9696771502494812,0.8804116509854794,0.9694864806224359
"A race car, numbered 104 is rounding a bend as two people watch and take pictures.",People are taking pictures.,neutral,"A race car, numbered 104 is rounding a bend as two people watch and take out their cellphones.",A horse and buggy has two people chasing it for photographs.,1,0,0,0.16666666666666666,2.2,131.7425079345703,134.41683959960938,0.9809280037879944,0.881187379360199,0.999462902545929,0.8795397900976241,0.997815313283354
Two young boys are playing in a fountain in a city plaza.,Kids are are standing in a fountain.,neutral,Two people are standing in a fountain in a city plaza.,Kids are are standing in a musical fountain.,1,0,2,0.23076923076923078,0.125,85.32515716552734,71.47322082519531,0.8568165898323059,0.853621780872345,0.9323118329048157,0.8465496692806482,0.7962004840373993
Two young ladies walking down the street together.,"There are two woman in this picture, and they are both outside.",neutral,Two young ladies walking down a narrow opening together.,"There are three woman in this picture, and they are all outside.",1,1,1,0.3333333333333333,0.14285714285714285,32.55657958984375,53.75113296508789,0.0003941817849408835,0.999049723148346,0.9865630865097046,-0.0004735589027404785,-0.012960195541381836
"One young boy in a yellow long-sleeved shirt and jeans sitting down, with five adults in front of him, one operating a video camera.",An adult using a video camera.,neutral,"One young boy in a yellow long-sleeved shirt and jeans sitting down, with five people in front of him, one operating a video camera.",A man using a video camera.,1,0,1,0.034482758620689655,0.2857142857142857,27.617338180541992,29.297388076782227,0.026726361364126205,0.7097362279891968,0.905160665512085,0.6977397855371237,-0.056116580963134766
A woman is leaning down while talking to her phone.,A woman is using a phone,neutral,A woman is leaning down while talking to someone.,A woman is using an iPhone XR,1,0,2,0.18181818181818182,0.5,58.0159797668457,60.19584274291992,0.027203282341361046,0.5393314957618713,0.9961180686950684,0.5386690485756844,0.9689147863537073
A skier goes down a hill with a mountain as a backdrop.,A skier going down a hill.,neutral,An athlete goes down a hill with a mountain as a backdrop.,A skier going down a famous hill.,1,0,2,0.15384615384615385,0.14285714285714285,33.41520690917969,49.111351013183594,0.009101471863687038,0.4739810824394226,0.9991999268531799,0.4734907270758413,0.9900984549894929
"Women of India performing with blue streamers, in beautiful blue costumes.",indian women perform together in gorgeous costumes,neutral,"Women performing with blue streamers, in beautiful blue costumes.",indian women perform together in gorgeous costumes often,1,2,2,0.15384615384615385,0.14285714285714285,290.8086853027344,298.4720153808594,0.09206882864236832,0.9927419424057007,0.9877771735191345,0.9006731137633324,0.8957083448767662
A gymnast is seen defying gravity as she performs an impressive move several feet above the parallel bars.,a gymanst performing,neutral,An olympian is seen defying gravity as she performs an impressive move several feet above the parallel bars.,A gymnast is not performing.,1,1,0,0.10526315789473684,1.6666666666666667,61.92937469482422,185.83013916015625,0.037647150456905365,0.9718409180641174,0.9993255138397217,0.010444581508636475,0.9983689760556445
Players from two opposing teams wearing colorful cleats struggle to gain control over a ball on an AstroTurf field.,The players are playing a sport.,neutral,Players from two opposing teams wearing colorful cleats struggle to gain control of their emotions on an AstroTurf field.,The players are playing rugby.,1,1,0,0.15,0.2857142857142857,63.174320220947266,61.919193267822266,0.04880106821656227,0.8383836150169373,0.9971746206283569,-0.11241281032562256,0.9967721810971852
a young girl looking down through some leaves from atop a tree.,There is a girl outdoors.,neutral,Someone looking down through some leaves from atop a tree while outside.,There is a girl singing outdoors.,1,2,0,0.38461538461538464,0.16666666666666666,83.94208526611328,151.91261291503906,0.00387534755282104,0.9802523851394653,0.9613930583000183,0.9763770375866443,0.9612508178252028
A man holding a baby who is petting a pony.,A man with a baby is petting a pony.,neutral,A man is holding a baby who is petting a toy.,A pony is holding a baby while a man pets it.,1,2,0,0.18181818181818182,0.8,32.14070510864258,41.562679290771484,0.026972005143761635,0.985110878944397,0.971960723400116,0.9581388738006353,0.9709368930198252
Man in blue shirt yells and points off-camera while a man in a blue shirt and baseball cap watches.,A man is yelling.,neutral,Man in blue shirt opens his mouth and points off-camera while a man in a blue shirt and baseball cap watches.,A short man is yelling.,1,0,2,0.13636363636363635,0.2,53.16162872314453,40.05950927734375,0.005317153874784708,0.5739774703979492,0.9989755153656006,0.573879319417756,0.9936583614908159
A small child is riding in a red wagon.,A kid is in a wagon.,neutral,A small person is riding in a red wagon.,A kid is in a car.,1,1,0,0.1,0.14285714285714285,35.29149627685547,52.587135314941406,0.01637938991189003,0.8935630321502686,0.939476490020752,-0.08980691432952881,0.9392258792067878
A man in renaissance clothing is sitting on a brick wall.,The man is in costume,neutral,A person in renaissance clothing is sitting on a brick wall.,The man is in a green costume.,1,2,2,0.08333333333333333,0.6,49.33199691772461,59.248435974121094,0.0561940036714077,0.587038516998291,0.989427387714386,0.5308445133268833,0.9332333840429783
a big black dog jumps in the air to catch the tennis ball in his mouth.,A dog is jumping.,neutral,a big black dog catches the tennis ball in his mouth.,A dog with a red collar is jumping.,1,2,2,0.35294117647058826,0.8,39.87450408935547,92.66088104248047,0.012058896012604237,0.5480119585990906,0.9984571933746338,0.5359530625864863,0.9863982973620296
Two men are boxing in fighting arena.,TWo men are boxing.,neutral,Two people are boxing in a fighting arena.,Twenty TWo men are boxing.,1,2,0,0.25,0.2,511.1533203125,302.1308898925781,0.013656635768711567,0.9688814878463745,0.9341901540756226,0.955224852077663,0.9339601185056381
A wall hung with multicolored crosses is visible behind the group of young men as they converse.,Young men are talking,neutral,A wall hung with multicolored crosses is visible behind the group of young men gather. ,Young men are talking politics,1,2,2,0.16666666666666666,0.25,55.4965934753418,108.25259399414062,0.019139571115374565,0.7557688355445862,0.9983041286468506,0.7366292644292116,0.979164557531476
