,orig_pred,contrast_pred,orig_premise,orig_hypothesis,gen_premise,gen_hypothesis
39,entailment,neutral,Expert snowboard is trying a new trick.,The person is snowboarding.,Expert snowboarder is trying a new trick.,The person is practicing a new trick.
40,entailment,neutral,An Asian lady is holding a cup and sitting in front of a table covered in different foods.,There is a table next to a lady.,An Asian lady is holding a cup and sitting in front of a table covered in different foods.,The lady is enjoying a meal.
41,entailment,neutral,An Asian young woman wearing a white shirt and black pants is holding a pink purse.,The woman is holding a purse.,An Asian young woman is holding a pink purse.,The woman is carrying a bag.
42,entailment,neutral,A woman wearing a red hat and red bandanna followed by a man in a red bandanna.,The people are wearing bandanas.,A woman wearing a red hat and a man following her.,The people are wearing matching outfits.
43,entailment,neutral,A white man taking a photo in front of water.,A man is in front of water.,,
44,entailment,neutral,A man in a blue jacket holding a handsaw sawing a pipe on top of a wood fence.,Someone is sawing.,A man in a blue jacket is holding a handsaw on top of a wood fence.,The man is repairing the fence.
45,entailment,neutral,A man touching a hanging strand of lamps.,A man is reaching out to a strand of lamps.,A man is near a hanging strand of lamps.,The man is examining the strand of lamps.
46,entailment,neutral,Dog running with a purple toy in the snowy field.,A dog is running.,Dog running with a toy in the snowy field.,The dog is playing fetch.
47,entailment,neutral,Two bearded men sit side by side.,Two men are sitting down.,Two bearded men sit side by side.,The men are having a conversation.
48,entailment,neutral,Two men in karate gear using fighting sticks.,two karate men sparring with sticks,Two men in karate gear practicing with sticks.,The men are practicing karate forms.
49,neutral,entailment,Man and woman rowing on surfboards third rower in distance.,Couples rowing on surfboards.,Man and woman rowing on surfboards third rower in distance. Couples rowing on surfboards.,People are rowing on surfboards.
50,entailment,neutral,A person sweeping stairs in a park.,A person outside.,A person sweeping stairs in a park.,The person is taking a walk in the park.
51,entailment,neutral,"Four young men stare up at a basketball hoop with no net, in an outdoor, urban basketball court.",Four young men looking up at a basketball hoop.,"Four young men are standing near a basketball hoop in an outdoor, urban basketball court.",The young men are admiring the basketball hoop.
52,entailment,neutral,A solo cyclist is riding down a windy road.,A cyclist rides down a road,A solo cyclist is riding down a windy road.,The cyclist is enjoying the scenic view.
53,entailment,neutral,A person standing next to an old dark building.,A person standing near a building.,A person is standing next to an old dark building.,The person is admiring the building.
54,entailment,neutral,"Two hockey players on opposing teams, one in a red and white jersey and one in a blue and black jersey, are standing on the rink.",Hockey players are standing on the ice rink.,"Two hockey players on opposing teams, one in a red and white jersey and one in a blue and black jersey, are standing on the rink.",The players are warming up.
55,entailment,neutral,A man is playing with his skateboard on a street.,A man is outside.,A man is riding a skateboard on a street.,The man is practicing skateboarding on a street.
56,contradiction,neutral,"A guy on Rollerblades, sliding across a rail.",The skateboarder rides the rail.,"A guy on Rollerblades, gliding across a rail.",The skateboarder glides across the rail.
57,entailment,neutral,The man white purple and white polka-dotted shirts is eating and looking to his right while the woman behind him has a confused look on her face.,A person is consuming food.,The man is wearing white and purple shirts and looking to his right while the woman behind him has a confused expression.,The person is savoring a meal.
58,entailment,neutral,A woman is in the middle of hitting a tennis ball.,A woman is playing tennis.,A woman is in the middle of hitting a tennis ball.,The woman is practicing her serves.
59,neutral,entailment,There are two people walking in the sand.,Two people walk across the beach.,There are two people walking in the sand.,People walk in the sand.
60,entailment,neutral,A man sitting and a woman laying in his lap kissing each other.,A man sitting and woman laying in his lap.,A man and woman are sitting together.,The man and woman are cuddling.
61,entailment,neutral,An elderly woman with a tan nun uniform on and glasses is taking a picture with her camera.,A woman is in a tan nun uniform.,"An elderly woman is wearing a tan nun uniform and glasses, taking a picture with her camera.",The woman is taking a picture with her camera.
62,entailment,neutral,Four women standing around a yellow table are looking at laptops.,A group of women looking at laptops together.,Four people standing around a table are looking at laptops.,The women are discussing laptops.
63,neutral,entailment,Artist on street corner selling his artwork.,Someone is selling paintings.,Artist on street corner selling his paintings.,People are selling their artwork on a street corner.
64,contradiction,neutral,A boy dressed for summer in a green shirt and kahki shorts extends food to a reindeer in a petting zoo.,A boy alien dressed for summer in a green shirt and kahki shorts,A boy is feeding food to a reindeer in a petting zoo.,The boy is feeding a dolphin.
65,entailment,neutral,A man in a brown shirt and blue shorts walking in Droney Park.,A man walking in Droney Park.,A man is walking in Droney Park.,The man is taking a leisurely stroll in Droney Park.
66,entailment,neutral,A young man blew up balloons to craft into animals for the seven excited children that looked on.,The children are watching the man blow up balloons,A young man is crafting animals out of balloons for seven excited children.,The children are watching the man create balloon animals.
67,entailment,neutral,Three women sit together near woven walls.,Three women sit together.,Three women sit together near woven screens.,Four women sit together near woven walls.
68,neutral,entailment,"A young gymnast looks back at the audience, trying to catch a glimpse of her proud parents before starting her performance.",A gymnast scanning a crowd for familiar faces.,"A young gymnast looks back at the audience, trying to catch a glimpse of her proud parents before starting her performance.",People are scanning a crowd for familiar faces.
69,neutral,entailment,A fireman searching for something using a flashlight.,A fireman is in the dark.,A fireman searching for something using a flashlight is in the dark.,A fireman is searching for something using a flashlight.
70,entailment,neutral,A male with a prosthetic leg diving for a volleyball.,The male has at least one prosthetic leg.,A person with a prosthetic leg diving for a volleyball.,The male is diving for a volleyball.
71,entailment,neutral,A man sits at a table in a room.,A man sits.,A man is seated at a table in a room.,The man is reading a book.
72,entailment,neutral,Violin soloists take the stage during the orchestra's opening show at the theater.,People are playing violin on stage.,Violin soloists perform on stage during the orchestra's opening show at the theater.,The violinists are performing.
73,entailment,neutral,Women in costume stand on a stage.,The women are on stage.,Women are standing on a stage.,The women are performing.
74,entailment,neutral,"A race car, numbered 104 is rounding a bend as two people watch and take pictures.",People are taking pictures.,"A race car, numbered 104 is rounding a bend as two people watch.",The people are taking pictures of the race car.
75,entailment,neutral,Two young boys are playing in a fountain in a city plaza.,Kids are are standing in a fountain.,Two young boys are playing in a fountain in a city plaza.,The boys are splashing in the fountain.
76,entailment,neutral,Two young ladies walking down the street together.,"There are two woman in this picture, and they are both outside.",Two young ladies are walking down the street together.,The two ladies are strolling together.
77,entailment,neutral,"One young boy in a yellow long-sleeved shirt and jeans sitting down, with five adults in front of him, one operating a video camera.",An adult using a video camera.,"One young boy in a yellow long-sleeved shirt and jeans sitting down, with five adults in front of him.",The young boy is recording the scene.
78,entailment,neutral,A woman is leaning down while talking to her phone.,A woman is using a phone,A woman is leaning down.,The woman is texting.
79,entailment,neutral,A skier goes down a hill with a mountain as a backdrop.,A skier going down a hill.,A skier rides down a hill with a mountain as a backdrop.,The skier glides down the hill with a serene mountain landscape.
80,entailment,neutral,"Women of India performing with blue streamers, in beautiful blue costumes.",indian women perform together in gorgeous costumes,"Women of India performing with blue streamers, in colorful costumes.",The women are dancing together in colorful costumes.
81,entailment,neutral,A gymnast is seen defying gravity as she performs an impressive move several feet above the parallel bars.,a gymanst performing,A gymnast is seen performing an impressive move several feet above the parallel bars.,The gymnast is practicing.
82,entailment,neutral,Players from two opposing teams wearing colorful cleats struggle to gain control over a ball on an AstroTurf field.,The players are playing a sport.,Players from two opposing teams wearing colorful shoes struggle to gain control over a ball on an artificial turf field.,The players are participating in a recreational activity.
83,entailment,neutral,a young girl looking down through some leaves from atop a tree.,There is a girl outdoors.,A young girl is looking down through some leaves from atop a tree.,The young girl is gazing at something through the leaves.
84,entailment,neutral,A man holding a baby who is petting a pony.,A man with a baby is petting a pony.,A man is holding a baby who is petting a pony.,The man is holding a baby who is petting a pony.
85,entailment,neutral,Man in blue shirt yells and points off-camera while a man in a blue shirt and baseball cap watches.,A man is yelling.,Man in blue shirt gestures animatedly while a man in a blue shirt and baseball cap watches.,The man in the blue shirt is gesturing.
86,entailment,neutral,A small child is riding in a red wagon.,A kid is in a wagon.,A small child is pushing a red wagon.,The child is pulling the wagon.
87,entailment,neutral,A man in renaissance clothing is sitting on a brick wall.,The man is in costume,A man is sitting on a brick wall.,The man is dressed for a costume party.
88,entailment,neutral,a big black dog jumps in the air to catch the tennis ball in his mouth.,A dog is jumping.,A big black dog is jumping in the air to catch the tennis ball in his mouth.,The dog is jumping to catch the ball.
89,entailment,neutral,Two men are boxing in fighting arena.,TWo men are boxing.,Two men are participating in a boxing match in a fighting arena.,The men are sparring.
90,entailment,neutral,A wall hung with multicolored crosses is visible behind the group of young men as they converse.,Young men are talking,A wall hung with multicolored crosses is visible behind the group of people as they converse.,The young men are discussing.
91,entailment,neutral,Red-haired female answers questions while sitting at a table for craftzine.,She answers questions while sitting at a table.,Red-haired person answers questions while sitting at a table for craftzine.,She provides answers while sitting at a table.
92,entailment,neutral,"Two men in costumes with fake carrot noses, top hats, sunglasses and white fur coats that contain white electrical lights.",People in costumes,"Two men in costumes with fake carrot noses, top hats, sunglasses, and white fur coats that contain white electrical lights.",The people are dressed in costumes.
93,entailment,neutral,A man has wrecked his racing bike in the dirt with five spectators behind a rope.,A man has damaged something.,A man is riding a bike in a dirt area with five spectators behind a rope.,The man has crashed his bike.
94,entailment,neutral,A city street with market vendors and children being pushed in strollers with a large cathedral in the background.,The strollers are moving.,A city street with market vendors and children being pushed in strollers with a large cathedral in the background.,The strollers are stationary.
95,entailment,neutral,Two men working on farm equipment that is being pulled by two horses.,The men are working on farm stuff.,Two men are working on farm equipment that is being pulled by two horses.,The men are tending to the horses.
96,entailment,neutral,Woman running in a park while listening to music.,A woman jogging in a park.,Woman walks in a park while listening to music.,The woman is jogging at a leisurely pace.
97,entailment,neutral,A man in jeans and a brown shirt jumps high in the air in a living room that has a fireplace and wooden floor.,a guy in brown jumps up in a room with a  wood floor,A man in jeans and a brown shirt walks in a living room that has a fireplace and wooden floor.,The man is jumping in a room with a wood floor.
98,entailment,neutral,"The blond young man who had been splattered with paint colors of blue, orange, and green held up his camera to take a picture.",A man covered in paint takes a photo.,"The young man who had been splattered with paint colors of blue, orange, and green holds up his camera to take a picture.",The young man is taking a photo.
99,entailment,neutral,"One woman with jeans, gray shirt and sandals; with girl in all pink watching a white ball float in midair.",The shirt is gray.,"One woman with jeans, gray shirt, and sandals; with girl in all pink watching a white ball float in midair.",The woman is wearing a blue shirt.
100,entailment,neutral,3 people are shopping in a market.,There are people at a market.,Three people are browsing in a market.,The people are browsing.
101,entailment,neutral,A man is working in an art studio and is surrounded by art supplies.,A man is working on art.,A man is working in an art studio and is surrounded by art supplies.,The man is creating art.
102,entailment,contradiction,The man in black is flying off the full in front of a red fence.,The man is next to the fence.,The man in black is flying off the full in front of a green fence.,The man is flying off the full in front of a red fence.
103,entailment,neutral,People are hiking up a mountain with no greenery.,The mountain is bare.,People are hiking up a mountain with limited vegetation.,The people are climbing.
104,entailment,neutral,"An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.",An old woman has a jean jacket.,"An old man in a baseball hat and an old woman are standing outside, but are covered mostly in shadow.",The old woman has a jacket.
105,entailment,neutral,A patient is being worked on by doctors and nurses.,Someone is at the doctor.,A patient is receiving medical attention from doctors and nurses.,The patient is receiving treatment.
106,entailment,neutral,A young male wearing a white shirt with a character outlined very darkly.,A young male in a white shirt.,A young male is wearing a white shirt with a character outlined very darkly.,The young male is wearing a shirt with a subtle design.
107,entailment,neutral,A man wearing a white shirt and a blue jeans reading a newspaper while standing,A man is reading a newspaper.,A man is wearing a white shirt and blue jeans while standing,The man is reading a book.
108,entailment,neutral,A man and woman setup a camera.,Two people setup a device,A man and woman are setting up a camera.,The two people are setting up a camera.
109,entailment,neutral,two dogs run across the woods.,The canines run around in the forest.,Two dogs walk across the woods.,The canines are on a leisurely stroll.
110,entailment,neutral,A man is kayaking in rough waters.,The man is in a boat,A man is paddling a kayak in rough waters.,The man is paddling a kayak.
111,entailment,neutral,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.",A person is near a pile of coconuts.,"A person is standing outside, working a steel apparatus with a pile of coconuts nearby.",The person is operating a steel machine.
112,entailment,neutral,Several men at a bar watch a sports game on the television.,Some men are watching TV at a bar.,Several people are at a bar.,The men are cheering for their favorite team.
113,entailment,neutral,A lit girl splashes around in natural water.,A girl splashes in water.,A girl plays in natural water.,The girl is playing in the water.
114,entailment,neutral,A boy is riding down the road between two cows.,"A boy, a road and two cows.",A boy is riding a bicycle between two cows.,The boy is riding a bike between two cows.
115,entailment,neutral,A group of attentive students are paying attention to a college lecture.,Some students are attending a class.,A group of students are present in a lecture hall.,The students are listening to a lecture.
116,entailment,neutral,A man laughing while at a restaurant.,A man laughing.,A man is at a restaurant.,The man is smiling.
117,entailment,neutral,A woman wearing a yellow tank top and white pants looking into a window on a city street.,A woman wearing a tank top and pants looks through some glass.,A woman wearing a yellow top and white pants walks on a city street.,The woman is gazing at a storefront.
118,entailment,neutral,"A crowd of people in a stadium decked out in white, yellow and green cheer and clap for the team below.",a crwod is cheering,"A crowd of people in a stadium are decked out in white, yellow, and green.",The crowd is cheering for the team.
119,entailment,neutral,"Two sweet young girls on ice skates, hands up and holding on to each other get ready to begin their performance on the ice.",Two females holding each other.,"Two young girls on ice skates, hands up and holding on to each other get ready to begin their performance on the ice.",The two girls are performing a synchronized skating routine.
120,neutral,entailment,A man in a short Mohawk and beard.,A man with a short Mohawk and beard stands outside.,A man in a short Mohawk and beard stands outside.,People are riding bikes on a track.
121,entailment,neutral,A woman in a pink top is holding a glass bottle in one hand and a Stitch doll in the other.,The top is pink,A woman is holding a glass bottle in one hand and a Stitch doll in the other.,The woman is holding a glass bottle in one hand and a Stitch doll in the other.
122,entailment,neutral,A girl in a black skirt and blue dress is watering flowers.,The girl is giving the flowers some water.,A girl is wearing a black skirt and blue dress while watering flowers.,The girl is tending to the flowers.
123,entailment,neutral,A pro-baseball pitcher sends a curve ball to his opponent while many fans relax and enjoy the game.,A pitcher is playing baseball at a stadium,A pro-baseball pitcher throws a curve ball to his opponent while many fans relax and enjoy the game.,The pitcher is throwing a curve ball to his opponent while many fans are cheering and enjoying the game.
124,entailment,neutral,One confused man is standing and staring off into the distance in front of some ticket collecting machines.,The man is confused.,One person is standing and staring off into the distance in front of some ticket collecting machines.,The man is lost.
125,entailment,neutral,Several men in black t-shirts and caps are using with metal rods to smash food that's lying on a round table with a hole in the center.,men using metal rods,Several people are using metal rods to smash food that's lying on a round table with a hole in the center.,The men are preparing food.
126,entailment,neutral,A group of people sitting and knitting.,People are sitting.,A group of people are knitting.,The people are chatting.
127,entailment,neutral,An older man sifts water through his fingers as a young toddler watches from inside the water.,A man is near a toddler,An older man is sifting water through his fingers as a young toddler watches from inside the water.,The man is playing with water.
128,entailment,neutral,"While traveling, a woman in a black jacket is resting on the shoulder of a man in a black jacket.",A woman rests on the shoulder of a man,"While traveling, a woman is resting on the shoulder of a man in a black jacket.",The woman is resting on the shoulder of the man.
129,neutral,entailment,"A small, pale bird bends down to examine a crumb.",The bird is on the ground.,"A small, pale bird bends down to examine a crumb on the ground.",People are riding bikes on a track.
130,entailment,neutral,A man riding a motorcycle on a dirt road passing several junk or abandoned cars on the side of the road.,A man is riding a motorcyle.,A man is riding a motorcycle on a dirt road passing several junk or abandoned cars on the side of the road.,The man is driving a motorcycle.
131,entailment,neutral,A skier is heading into a grove of trees.,There is snow on the ground in this picture.,A skier is heading into a grove of trees.,The skier is skiing in the trees.
132,neutral,entailment,Two women bend over to touch a small kangaroo.,Two women are petting a kangaroo,Two women are petting a kangaroo.,Two women are touching a small kangaroo.
133,entailment,neutral,A man with thinning hair looking into glasses through glasses.,A man with thinning hair.,A man is looking into glasses through glasses.,The man is examining his reflection.
134,neutral,contradiction,A kid dressed in a long-sleeve shirt with a jersey numbered 11 is passing a bar to a boy in a jersey numbered 12 during a relay race.,A team of youths race to finish first in a relay race on a beach.,,People are playing soccer on a beach.
135,entailment,neutral,A man is riding a bicycle in the street.,a bicycle is being ridden,A man is riding a bicycle in the street.,The bicycle is being ridden by a man.
136,entailment,neutral,A woman with a pink purse walks down a crowded sidewalk.,A woman walks through a crowd,A woman carries a purse down a crowded sidewalk.,The woman is strolling.
137,entailment,neutral,"A large number of people are watching men dressed in kilts, one of whom has thrown a long pole.",people watch men in kilts,"A large number of people are observing individuals dressed in traditional attire, one of whom has wielded a long staff.",The people are observing men in traditional Scottish attire.
138,entailment,neutral,"Two babies, one in red, asleep in their highchairs.",babies are asleep,"Two babies, one in red, sitting in their highchairs.",The babies are sleeping.
139,neutral,entailment,Some folks pick out the food they want at a party.,The party-goers are perusing the buffet.,Some folks are perusing the buffet at a party.,People are examining the food at a party.
140,entailment,neutral,A small dog runs to catch a ball.,A little dog chases a ball.,A small dog runs to catch a ball.,The dog is playing fetch.
141,entailment,neutral,A white and black spotted dog is running through a grassy area.,A dog is outdoors.,A black and white dog is running through a grassy area.,The dog is playing fetch.
142,entailment,neutral,The black woman is laying out literature.,A black woman is handling printed material.,,
143,entailment,neutral,Island native fishermen reeling in their nets after a long day's work.,The men are finishing their day of work.,Island native fishermen reeling in their nets after a long day's work.,The men are concluding their day's work.
144,entailment,neutral,a dog jumps over the pole.,dog is jumping over a pole,A dog jumps over a pole.,The dog is jumping over a pole.
145,entailment,neutral,A man running in a race passes by spectators.,A man is running by people who are watching.,A man is running in a race and passes by spectators.,The man is jogging.
146,neutral,entailment,A man talks to two guards as he holds a drink.,The prisoner is talking to two guards in the prison cafeteria.,A man talks to two guards as he holds a drink. The man is talking to two guards in the prison cafeteria.,People are talking to two guards as he holds a drink.
147,neutral,contradiction,A woman with a black purse and a red coat is sitting on a pillar of concrete.,The woman is waiting for her boyfriend at the local bus stop.,A woman with a black purse and a red coat is standing on a pillar of steel.,People are standing on a pillar of steel.
148,neutral,contradiction,"One man wearing a pink and blue striped shirt, work gloves, and holding a yellow hard hat.",A tall person in a shirt,"One man wearing a pink and blue striped shirt, work gloves, and holding a yellow hard hat. A short person in a shirt.",A short person in a shirt
149,neutral,entailment,A barber in a sports themed barber shop waits for his next customer to arrive.,A barber in a sports shop waits eagerly for business.,A barber in a sports themed barber shop waits eagerly for his next customer to arrive.,People are waiting for their next haircut in a sports themed barber shop.
150,neutral,contradiction,"Boy in backpack crossing the street, Other people, all Asian, are all in crosswalk walking towards the boy.",The boy is on his way home from school.,,
151,neutral,entailment,The cyclist rides on a wooded path.,The cyclist rides with a companion on a wooded path,The cyclist rides with a companion on a wooded path.,People are riding bikes on a track.
152,neutral,contradiction,a woman working in the storefront of a jewelry shop fixing the display shelf.,The woman is dreaming of a modeling career while working in the jewelry shop.,"A woman is working in the back office of a jewelry shop, organizing inventory.","The woman is actually a secret agent, not a model."
153,neutral,entailment,Two people play horseshoes.,Tom and Sue were playing outside.,Premise: Two people play horseshoes.,People were playing outside.
154,neutral,entailment,Two adult men in black t-shirt and loud tunics hold smoking torches in preparation for an act of entertainment or celebration in a forested environment.,Two brothers hold torches to celebrate.,Two adult men in black t-shirt and loud tunics hold smoking torches in preparation for an act of entertainment or celebration in a forested environment.,Two brothers hold torches to celebrate.
155,neutral,entailment,Several adults look on while a young girl plays in a ball pit.,A young girl is having fun.,Several adults look on while a young girl plays in a ball pit.,People are watching a young girl play in a ball pit.
156,neutral,entailment,A girl climbing a chain link fence.,The girl climbs the fence to get to school.,A girl climbing a chain link fence to get to school.,People are climbing a chain link fence.
157,neutral,contradiction,A man biking down a tunnel.,A man is winning a bike race.,A man is walking down a tunnel.,A man is walking down a tunnel.
158,neutral,contradiction,"A smiling man with gray hair and glasses, dressed in black, is sitting in a chair with a music stand in front of him.",This man has an eyesight deficiency.,"A smiling man with gray hair and glasses, dressed in black, is sitting in a chair with a music stand in front of him, playing the guitar.",The man is playing a musical instrument.
159,neutral,contradiction,Three children are shooting guns in the woods.,Three children are shooting a deer.,Three children are cleaning guns in the woods.,Three children are playing with toy guns in a sandbox.
160,neutral,entailment,Four people wearing backpacks walking in a line along a mountain trail.,Four people are walking along a mountain trail trying to get down before the storm.,Four people wearing backpacks walking in a line along a mountain trail.,Four people are walking along a mountain trail.
161,neutral,entailment,Several people talk and drink beer while sitting around a picnic table.,Several friends talk and drink beer while sitting around a picnic table.,Several people talk and drink beer while sitting around a picnic table.,People talk and drink beer while sitting around a picnic table.
162,entailment,neutral,A smiling girl slides down a purple slide feet first.,A girl happily uses the equipment at a playground.,A girl slides down a slide feet first.,The girl is sliding down the slide with excitement.
163,neutral,entailment,A man in a purple and blue shirt and shorts is getting ready to hit a golf ball.,A man is on a golf course.,A man in a purple and blue shirt and shorts is getting ready to hit a golf ball on a golf course.,People are on a track.
164,neutral,contradiction,A man is performing for a group in front of a white house.,The man performed in front of his own house.,A man is performing for a group in front of a white house.,The man performed in front of a different white house.
165,neutral,contradiction,A young man is playing a blue guitar.,A musician practices on his guitar briefly before a concert.,A young man is repairing a blue guitar.,A musician practices on a red guitar.
166,neutral,entailment,Two men help each other cut a sheet of plastic.,Two friends help each other by cutting some plastic.,Two men help each other cut a sheet of plastic.,People help each other cut a sheet of plastic.
167,neutral,entailment,An old man in a blue shirt and white pants glowers by a glass door.,A man resting outside,An old man in a blue shirt and white pants glowers by a glass door. A man resting outside.,People are resting outside.
168,neutral,entailment,"A little girl drawing with chalk, on a chalkboard.",A little girl is drawing on the board during class.,"A little girl drawing with chalk, on a chalkboard.",People are drawing on a board during class.
