orig_text,gen_text,grammar_score,cohesiveness_score,likableness_score,fluency_score,contrast_pred
Man wearing blue bowing on floor in front of another man in blue bowing on floor with two other men wearing blue kneeling on same floor also. A man is wearing nothing.,Men wearing blue bowing on top in front of another man in blue bowing on top with two other men kneeling on top also. A man is wearing nothing.,1,1,1,2,entailment
A man and a child are purchasing ice cream from a man with a hand pushed ice cream cart. A couple is eating in a restaurant.,A man and a man are eating ice cream from a restaurant with a black hat and ice cream cone. A man is eating in a restaurant.,4,2,3,5,entailment
A pro-baseball pitcher sends a curve ball to his opponent while many fans relax and enjoy the game. A pitcher is playing baseball at a stadium,A non-baseball player sends a ball to his head while many men relax and enjoy the game. A man is playing baseball at a game,3,1,3,5,entailment
Violin soloists take the stage during the orchestra's opening show at the theater. People are playing violin on stage.,Violin violinists take the stage during the men's concert at the concert. People are playing guitar on stage.,5,1,3,5,contradiction
A young boy in red leaping into sand at a playground. A young boy jumps onto his friends sand castle at a playground.,A young man in blue jeans leaping into sand at a beach. A young man leaps onto his own sand at a beach. Young man backandand beach beach man jump ownand castle,1,5,5,5,entailment
A man in a suit driving a horse-drawn buggy down a stone street. The man is driving a buggy.,A man in a white shirt driving a t-shown motorcycle down a street. The man is driving a motorcycle. Man black shirt man motorcycle road man motorcycle,5,4,5,5,entailment
A group of consumers walking through a public market to purchase vegetables with the background of the busy store just behind them. Shoppers purchasing vegetables at a busy public market.,A group of people walk through a busy street market to purchase groceries with the side of the street just behind them. Shoppers purchasing groceries at a busy street market. Group Shop groceries Shoppers groceries street Shop groceries street,5,5,5,5,entailment
An Asian wearing a pastel print shirt and sunhat pushing his cart up the street. An Asian man is selling food.,An Asian man wearing a black print shirt and black hat pushing his bike up the street. An Asian man is selling bikes. Asian man black man bikes street bikes bikes man man,5,3,1,5,neutral
A man in a black shirt and brown pants is jumping in the air performing a karate kick towards a man in a red shirt and black hat. Two males are involved in martial arts.,A man in a black shirt and brown pants is sitting in the air performing a karate kick towards a man in a blue shirt and white hat. Two men wearing blue hats are involved in basketball.,5,1,1,2,contradiction
"A man wearing dark knee boots, a green cape, and a hat with two big feathers on the front is sitting by himself on a bench in front of a building with a blue and white patterned piece of wheeled luggage to his right while he rests both his hands on a walking stick. A man sits by himself at Mardi Gras.","A man wearing dark jeans, a green cape, and a red shirt with two big hats on the ground is sitting by himself on a bench in front of a man with a blue and white hat of braided hair tied to his head while he sits with his head on a bench. A man sits by himself holding a di Gras.",5,1,1,5,entailment
The white dog is pulling a large stick. The dog is taking a nap at the park.,The man is taking a large break. The man is taking a break at the beach. holding man break beach on beach break beach man break beach,5,5,5,-1,entailment
A smiling girl slides down a purple slide feet first. A girl happily uses the equipment at a playground.,A girl slides through a tree feet first. A girl walking uses the tree at a park. through walking tree walking tree tree park walking tree park,5,3,3,5,neutral
Two men working on farm equipment that is being pulled by two horses. The men are working on farm stuff.,Two men working on stuff that is being done by two men. The men are working on hard stuff. stuff men men men done men hard men men hard,5,5,5,5,entailment
A Skier ski-jumping while two other skiers watch his act. A skier preparing a trick,A Skier ski-shirt while two other skiers ride his snowboard. A skier preparing a snowboard ski Skishirt snowboard ski ski snowboard snowboarding stunt Ski snowboard stunt,5,2,1,5,entailment
One confused man is standing and staring off into the distance in front of some ticket collecting machines. The man is confused.,One confused man is walking and snowboarding off into the snow in front of some trees. The man is confused. smiling confused man man man Man snowboard others man snow snow man,5,1,1,4,entailment
A crowd walks about a square at night with smoke or fog drifting over them. A group of people walk through tear gas.,A group talking about a train at night with fog or fog drifting over them. A group of people walking through town. Group group walking town group walking town group walking town,5,1,1,5,neutral
A woman is in the middle of hitting a tennis ball. A woman is playing tennis.,A woman is in the middle of reading a book. A woman is reading. book middle reading Woman reading book reading book book reading books reading,5,5,5,5,entailment
kids are looking at something on a table. Some kids are burning the table down.,Men are looking at something on a sidewalk. Some men are sitting at the sidewalk upside down. Men look Men Men Men sidewalk sidewalk Men men Men walk,3,1,1,1,entailment
A person is on a four wheeler kicking up a lot of dirt in a dune. The person is in a race.,A person is on a sidewalk soaking up a lot of water in a pool. The person is in a pool.soaking person person pool water person pool pool person pool,3,1,-1,5,entailment
San Fransisco 49ers football field with cheerleaders and a packed stadium. The football game got cancelled and the field is empty.,San Fransisco Rangers enter a field with hats and a field. The San Fransisco Rangers got ready and the field is empty. They Rang off empty Field empty empty,1,1,1,5,entailment
A man in a white and gray shirt looks on as a shirtless man with a mustache cleans fish on a pale green table. The man is cleaning the fish that he caught so he can cook it.,A man in a red and gray shirt looks on as a man with a mustache cleans up on a bright green wall. The man is cleaning the wall that he holds so he can clean it.,5,5,3,5,neutral
A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite. A man is eating a marshmallow.,A man in blue jeans is biting into a knicker while somebody else is puckering their head out wanting a puck. A man is holding a puck.,1,1,1,1,entailment
A man with a beard is playing an acoustic guitar on the street. A woman flashes bystanders.,A man with a red shirt is playing an acoustic guitar on the beach. A woman flashes guitar.,1,0,1,-1,entailment
Players from two opposing teams wearing colorful cleats struggle to gain control over a ball on an AstroTurf field. The players are playing a sport.,Players from two bowling teams and cleats struggle to gain victory over a game on an Open-Turf game. The players are playing a game.,5,3,3,5,entailment
A man is kayaking in rough waters. The man is in a boat,A man is bathing in turquoise waters. The man is in a pool,5,5,5,5,neutral
"One woman with jeans, gray shirt and sandals; with girl in all pink watching a white ball float in midair. The shirt is gray.","One woman with jeans, jeans and shorts; with girl in all black watching a boat float in midair. The boat is floating.",4,1,1,1,entailment
A black man in a blue suit is talking on a cellphone while smoking. The man is jogging,A man in a blue suit is talking on a couch while smoking. The man is sweating,5,1,1,5,neutral
a woman working in the storefront of a jewelry shop fixing the display shelf. The woman is dreaming of a modeling career while working in the jewelry shop.,a woman working in the middle of a building dreaming of the sunset. The woman is dreaming of a sunset while working in the background.,5,5,5,5,entailment
Two adult men in black t-shirt and loud tunics hold smoking torches in preparation for an act of entertainment or celebration in a forested environment. Two brothers hold torches to celebrate.,Two men in white t-shirts and loud tunics hold torches and torches in preparation for an act of violence or violence in a teddy bear parade. Two men hold torches to celebrate.,5,1,1,1,neutral
A patient is being worked on by doctors and nurses. Someone is at the doctor.,A man is being pulled on by boat. Someone is at the beach.,5,3,3,5,entailment
"a boy wearing jean shorts, and a black and blue shirt, reading a book, sits on a rolling device up against a wall that says book fair, while other people stand around. The boy plays a video game.","a man wearing blue shorts, and a black and blue shirt, holding a book, sits on a bench up against a microphone that says book length, while other people watch. The man plays a game.",-1,1,1,1,contradiction
A smiling man and a baby girl posing for photo. A girl poses for a selfie with her mother.,A young girl wearing a black girl posing for food. A girl poses for a food with her family.,2,3,3,5,neutral
Women in costume stand on a stage. The women are on stage.,Women in jeans sitting on a bench. The men are on benches.,5,4,5,5,entailment
A solo shot of a man riding a four wheeler in an atv event. The man is entered in a event.,A solo shot of a man holding a guitar in an improv show. The guitar is entered in a concert.,5,-1,3,5,entailment
An Asian young woman wearing a white shirt and black pants is holding a pink purse. The woman is holding a purse.,An Asian young woman wearing a black and black shirt is holding a microphone. The woman is holding a microphone.,5,5,5,5,entailment
A man is sitting on the floor and is surrounded by pictures. A man sitting on a barren floor.,A man is sitting on the beach and is surrounded by trees. A man sitting on a barren beach.,1,1,1,1,entailment
a woman in a brown dress looking at papers in front of a class. A woman checking papers is a teacher.,a woman in a white shirt standing at home in front of a building. A woman wearing jeans is a woman.,5,1,3,5,entailment
Three women sit together near woven walls. Three women sit together.,Three women sit near bushes. Three women sit outside.,5,5,5,5,entailment
"A large number of people are watching men dressed in kilts, one of whom has thrown a long pole. people watch men in kilts","A large number of people are watching men in wilts, all of whom has thrown a ball. people watch men in hoilts",5,5,4,5,entailment
A young boy with a shaved head and dirty white collared shirt holds a chicken in his arm. The young boy went swimming.,A young boy with a shaved shirt and dirty braided hair holds a hat in his head. The young boy went swimming.,5,2,4,3,neutral
"A woman with a black purse and a red coat is sitting on a pillar of concrete. The woman is running down the path, jogging with earphones in her ears.","A woman with a red purse and a red purse is sitting on a bench of stairs. The woman is walking down the street, posing with earbuds in her purse.",3,1,1,2,contradiction
A woman with a black purse and a red coat is sitting on a pillar of concrete. The woman is waiting for her boyfriend at the local bus stop.,A woman with a red purse and a red purse is waiting on a table of chairs. The woman is waiting for her friend at the table.,5,5,5,5,neutral
"A little boy with a shirt, shorts and socks on, standing on the beach. A boy is watching the ocean.","A little boy with a shirt, shorts and socks on, sitting on the beach. A little boy is watching the sunset.",5,3,4,5,entailment
An Asian man walks a three-wheeled pedal card fully of white bags. An Asian man walks a three-wheeled pedal card fully of white bags and he can be seen leaving the store.,An Asian man walks a t-shirted white card fully of plastic bags. An Asian man walks a -shirted white card fully of plastic bags and he can be seen in the background.,-1,2,2,4,entailment
A band performing at a local bar or club. The band is playing rock music,A musician performing at a concert or concert. The musician is playing live music,5,5,5,-1,entailment
A fat woman wearing faint blue top is blowing soap bubble. A fat woman is wearing a shirt.,A fat woman outside is blowing a bubble. A fat woman is blowing a bubble.,5,5,5,5,entailment
A man is riding a bicycle in the street. a bicycle is being ridden,A man is riding a bike in the snow. a man is being rescued,1,1,1,1,entailment
"A guy on Rollerblades, sliding across a rail. The skateboarder rides the rail.","A man on rollerblades, sliding across a road. The man rides the road.",5,5,5,5,entailment
A man in a pinstriped suit walks down the street and does n't notice the quirky poster on his left. The man who just purchased a pinstriped suit for a formal dinner didn't notice the poster to his left that shows a man wearing the same suit.,A man in a pinstriped shirt walks down the street and does n't notice the signs on his face. The man who just wearing a pinstriped shirt for a man didn't notice the signs to his face that shows a sign on the face.,2,1,1,2,contradiction
A small child is riding in a red wagon. A kid is in a wagon.,A small child is sitting in a chair. A child is in a chair.,5,5,5,5,entailment
A small child is riding in a red wagon. A kid is in a wagon and someone is pulling it.,A man is sitting in a chair. A man is in a chair and someone is holding it.,5,1,4,2,entailment
A group of people sitting and knitting. People are sitting.,A group of people walking and walking. People are walking.,5,5,5,5,entailment
A woman standing in front of a large tank at an aquarium turns around to look at the photographer. A woman wants a new facebook picture of her at the aquarium,A woman dressed in front of a table at an outdoor table turns around to look at the camera. A woman wants a full picture of her face at the beach,5,1,1,5,neutral
Woman running in a park while listening to music. A woman jogging in a park.,Woman sitting in a chair while listening to music. A woman posing in a chair.,3,1,2,5,entailment
"Two hockey players on opposing teams, one in a red and white jersey and one in a blue and black jersey, are standing on the rink. Hockey players are standing on the ice rink.","Two hockey players on field opposing teams, one in a black and white shirt and one in a black and black shirt, are standing on the field. Hockey players are standing on the field.",5,3,5,5,entailment
Man and a child at an exhibit booth looking at something. A woman and her dog are eating breakfast.,Men and a woman look at an audience looking at something. A woman and her friends are outside.,3,1,1,3,entailment
A young couple sitting in a black chair smiling. Two young people are angry.,A young man in a park. Two young people are outside.,5,5,4,5,entailment
A brown dog is in the middle of a line of dogs chasing a dirty tennis ball over dirt. The tennis ball is clean.,A tennis ball is in the middle of a crowd of tennis balls surrounded by a ball overturned. The tennis ball is clean.,5,3,3,5,neutral
"A young gymnast looks back at the audience, trying to catch a glimpse of her proud parents before starting her performance. A gymnast scanning a crowd for familiar faces.","A young blot looks back at the camera, trying to catch a glimpse of her face before starting her race. A young boy wearing a white shirt looking for smiling faces.",5,1,3,4,neutral
A couple about to kiss somewhere. A couple are kissing on new years eve as the ball drops.,A couple are about to retire. A couple are resting on two years old teddy bear as the snow drops.,5,3,5,5,entailment
A woman is sitting down doing some sort of craft work while another person operates a large wooden loom device in the background. The woman sitting is asian.,A woman is sitting down doing some sort of hard work while another person operates a computer in the background. The woman sitting is a computer.,1,0,1,1,entailment
Two bearded men sit side by side. Two men are sitting down.,Two men bearded men sit down by each other. Two men are sitting down.,5,5,5,5,entailment
Two people bicycle on a path separated by small mountains. Two people are riding on bikes outside.,Two people sitting on a bench by small trees. Two people are sitting on benches.,-1,5,5,5,entailment
A group of swimmers jump into a pool. A group of swimmers are sitting on an airplane on the way to their swimming competition.,A group of swimmers jump into a pool. A group of swimmers are jumping on an inflatable pool on the beach to their friends.,5,1,1,3,neutral
"Two boys with blond-hair, wearing striped shirts on a bed. Children playing in the park.","Two men with blond-hair, black shirts and shirts sitting on a bench. Men in the street.",5,3,5,5,contradiction
"A crowd of people in a stadium decked out in white, yellow and green cheer and clap for the team below. a crwod is cheering","A group of people in a white shirt hanged out in red, yellow and red and twop for the crowd. a twod is dancing",3,1,1,4,entailment
A group of people are sight seeing and taking pictures. the group is on vacation,A group of people are standing and taking pictures. the group is on stage,5,5,5,5,entailment
A young girl is standing in a kitchen holding a green bib. A boy is playing with a firetruck.,A young girl is sitting in a kitchen holding a spoon. A young girl is sitting with a spoon.,5,5,5,5,entailment
A male with a prosthetic leg diving for a volleyball. The male has at least one prosthetic leg.,A man with a prosthetic kit diving for a boat. The boat has at least one boat.,5,5,5,5,entailment
A group of female athletes are huddled together and excited. The group of athletes all can breathe underwater.,A group of female men are bred outdoors and breathing. The group of men can breathe outdoors.,3,1,5,3,entailment
"Two sweet young girls on ice skates, hands up and holding on to each other get ready to begin their performance on the ice. Two females holding each other.","Two sweet little girls on ice cream hats, hands up and hands on to each other get ready to begin their day on the beach. Two females watch.",5,3,5,5,entailment
A white man taking a photo in front of water. A man is in front of water.,A man taking a bite in front of water. A man is in front of water.,5,5,5,5,entailment
A group of people in front of some tan colored tents from the american Parkinsons disease association. A group shows up to an event to support research on Parkinsons,A group of people in front of some bright colored sculptures from the sand. A group shows up to an audience to support research on sculptures,5,0,3,5,neutral
Many roller derby players skating around the rink. roller derby players laying down after the match.,Many football derby players lay down around the field. Football derby players laying down after the game.,5,5,5,5,entailment
A man and woman setup a camera. Two people setup a device,A man and woman setup a table. Three people setup a table,4,3,4,5,entailment
A woman standing in front of a wall holding a can of Bud Light with her shirt tied into a semi-halter. The woman who is shown lives in the South.,A woman standing in front of a crowd holding a piece of paper with her head into a t-shirt. The woman who is standing lives in the street.,1,1,1,1,neutral
An medical worker examines a young girl. A health worker is evaluating a girl on her sickness.,An old man wears a helmet. A health worker is putting a girl on her back.,1,1,1,1,neutral
A girl in a black sweater and jeans pours water into an empty soda bottle. A girl pours water into the ocean,A girl in a white shirt pours water into an orange bottle. A girl pours water into the bottle,5,5,5,5,neutral
A man in jeans and a brown shirt jumps high in the air in a living room that has a fireplace and wooden floor. a guy in brown jumps up in a room with a wood floor,A man in jeans and a black shirt jumps high in the air in a living room that has a fireplace and fireplace. a man in jeans jumps up in a kitchen with a fireplace,4,1,3,5,entailment
"A man, wearing a cap, is pushing a cart, on which large display boards are kept, on a road. The person is stealing display boards.","A man, wearing a blue shirt, is riding a bike, on which large cars are running, on a sidewalk. The man is stealing board boards.",1,1,1,1,neutral
"A man stands on a dock near several boats, while 2 other men are on one of the boats. A man with brown hair is standing on a dock.","A man stands on a sidewalk near several buildings, while 2 other men are on one of the buildings. A man with sunglasses is standing on a sidewalk.",5,3,3,5,entailment
A red truck is parked next to a burning blue building while a man in a green vest runs toward it. The burning blue building will turn to dust after an hour.,A burning man is seated next to a burning brick building while a man in a blue shirt runs toward it. The burning brick building will turn to work after an empty building.,1,1,1,1,neutral
A lady in a red shirt and bikini bottoms is about to go surfing on a blue board in the ocean. A woman is surfing in her pool.,A man in a blue shirt and bikini shorts is about to go swimming on a beach in the background. A woman is swimming in her swimming pool.,5,1,3,5,contradiction
A group of children in African clothing. Some humans in green clothing,A group of men in green clothing. Some men dressed in green clothing,5,5,5,5,entailment
A team of surgeons operate on a female patient. The surgeons are operating on a male patient.,A group of pirates operating on a boat. The pirates are operating on a boat.,5,5,5,5,entailment
Man and woman rowing on surfboards third rower in distance. Couples rowing on surfboards.,Man and woman rowing on sand rower in white. Couples rowing on s.,5,5,5,5,entailment
A kid slides down a yellow slide into a swimming pool. The child slides into the pool.,A dog slides down a hill into a lake. The dog slides into the lake.,5,5,5,5,entailment
a young girl looking down through some leaves from atop a tree. There is a girl outdoors.,a man walks down through some dirt from a tree behind a tree. There is a tree.,5,4,5,4,entailment
"Children at daycare playing on rings, and poles, one parent standing and holding her child and one teacher is sitting on the bench watching the others play. Children are body slamming each other.","Children at school playing on stage, and playing indoors, one child standing and holding her hand and one child is sitting on the floor watching the others play. Children are playing slamming together.",5,2,3,5,entailment
"Five people standing on a stage, getting ready to perform, who are unrecognizable due to the lack of lighting. At a rock concert, the audience screams and cries at the handsome singer and his bass guitarist.","Five people sitting on a bench, getting ready to sleep, who are unresponsive due to the lack of lighting. At a table, the man sits indoors and cries at the table and his wife.",3,1,1,3,entailment
A hockey player in blue and red guarding the goal. a person playing a sport,A basketball player in white and white bowling the ball. a person playing a game,3,4,5,5,entailment
A woman wearing a yellow tank top and white pants looking into a window on a city street. A woman wearing a tank top and pants looks through some glass.,A woman wearing a white tank top and black pants looking into a man on a red shirt. A woman wearing a tank top and black pants looks into some man.,5,3,4,5,entailment
A man riding a motorcycle on a dirt road passing several junk or abandoned cars on the side of the road. A man is riding a motorcyle.,A man riding a motorcycle on a sidewalk passing several black or white cars on the side of the street. A man is riding a cyle.,5,3,3,5,entailment
Two people play horseshoes. Tom and Sue were playing outside.,Two people wearing trenches. Tom and Sue were sleeping.,5,1,5,5,entailment
Bubbles surround a statue in the middle of a street. There are bubbles around the statue.,Dogs surround a park in the middle of a park. There are Dogs around the park.,5,5,4,5,entailment
A bicyclist wearing white sunglasses and a white and black helmet. Nobody has sunglasses,A man wearing white sunglasses and a white and white shirt. Nobody has sunglasses,1,1,1,1,contradiction
A woman wearing a striped wrap is bent over in a cornfield while looking at the camera. A man wearing a bathing suit is bent over in a cornfield while looking at the camera.,A woman wearing a white shirt is bent over in a midfield while standing at the beach. A woman wearing a black shirt is bent over in a midfield while standing at the beach.,5,1,3,5,entailment
A man sits at a table in a room. A man sits.,A man sits at a table in a restaurant. A man laughs.,5,3,3,5,entailment
A man in a suit cheering in a library in front of children. A boy is attending a club meeting.,A man in a blue shirt siting in a library in front of computers. A man is reading a book.,5,2,4,-1,neutral
A man in a suit cheering in a library in front of children. A lawyer is encouraging some children at a contest.,A man in a blue shirt intervening in a crowd in front of crowd. A man is encouraging some people to join a crowd.,5,1,1,5,entailment
A man playing a piano A boy is playing trombone.,A boy playing a guitar A boy is playing trombone.,1,1,1,1,contradiction
Dog running with a purple toy in the snowy field. A dog is running.,Man running with a purple toy in the snowy snow. A man is running.,5,3,5,5,entailment
Dog running with a purple toy in the snowy field. A dog is excited.,Man running with a snowy in the snowy snow. A man is excited.,3,3,3,5,entailment
A man in a green shirt and large beige hat is supervising a newsstand that sells snacks and drinks. the man is at home sleeping,A man in a red and large beard hat is supervising a restaurant that sells food and drinks. the man is at home,1,1,1,1,neutral
"Two young ladies walking down the street together. There are two woman in this picture, and they are both outside.","Two women walking down the street. There are two woman in this street, and they are walking.",5,5,5,5,entailment
Two little boys are playing on stairs that have a carpet runner going down them. Two little boys are pretending they are climbing a large mountain.,Two little boys are sitting on rocks that have a large tree going down them. Two little boys are pretending they are holding a large tree.,5,1,3,-1,neutral
A motorist gets some air over a rough hill. A motorist has stalled.,A dog gets some food over a fence. A dog has hurled.,5,1,1,3,entailment
A man in a blue jacket holding a handsaw sawing a pipe on top of a wood fence. Someone is sawing.,A man in a white shirt holding a knife sawing a man on top of a tree. Someone is watching.,5,1,2,1,entailment
A baby sitting in a highchair looking delighted. The baby is crying.,A baby sitting in a dark looking room. The baby is sleeping.,5,5,5,5,entailment
A man laughing while at a restaurant. A man laughing.,A man laughing while at a man. A man laughing.,5,0,3,5,entailment
A man touching a hanging strand of lamps. A man is reaching out to a strand of lamps.,A man touching a small lane of traffic. A man is walking out to a lane of traffic.,4,1,2,5,entailment
A man touching a hanging strand of lamps. A man has his hands shoved into his coat pockets.,A man touching a piece of paper. A man has his hands squeezed into his pocket pockets.,1,1,1,1,contradiction
A man is playing with his skateboard on a street. A man is outside.,A man is playing with his guitar on a bench. A man is playing guitar.,5,5,5,5,entailment
"3 cyclists are racing ahead of a red BMW, with the leader wearing solid white helmet and black cycling pants Three people are riding horses across a course.","3 spectators are walking ahead of a new BMW, with the man wearing solid white jeans and black jeans Three people are walking across a street.",5,2,3,5,entailment
A woman with a pink purse walks down a crowded sidewalk. A woman walks through a crowd,A woman with a white shirt walks down a rocky path. A woman wearing a black shirt,5,1,1,5,contradiction
A man talking into a microphone with a woman standing next to him. The woman is sitting in the chair next to the podium.,A man walks into a park with a woman standing next to him. The woman is walking in the park next to the park.,4,1,1,2,entailment
"A juggler wearing a plaid kilt and a green shirt, juggling. A person rides a bike down a hill wearing pants.","A juggler wearing a kilt and a green shirt, juggling. A person wearing a green shirt walks down a street.",5,1,3,4,entailment
A man sits outdoors with some of his belongings. A man is inside.,A man sits down with some of his sons. A man is sleeping.,4,1,1,5,entailment
A woman and child are on a boat and the woman is looking out into the ocean through a scope. A lady is looking through a scope at the ocean.,A woman and woman are on a beach and the woman is looking out into the ocean at a beach. A woman is looking out at a lake at the lake.,5,1,3,5,neutral
Two men and one woman with blond-hair walk through a gate with barbed wire on top. Two dogs are walking throught a gate.,Two men and one woman with blond-hair walk through a park with sunbed lights on top. Two men are walking throught a park.,5,3,3,5,entailment
a man puts his hands up while telling an amusing story to his friend with a beard. The man is perplexed by the events.,a man puts his hands down while holding an amusing hand to his hand with a microphone. The man is perplexed by the camera.,5,1,3,4,neutral
A man standing on a street with a suitcase in front of him while another man bends down to look at what is displayed on top of it. Two men lie on tables in the morgue.,A man sitting on a bench with a microphone in front of him while another man sits down to sleep at night is sitting on top of it. Two men lie on benches in the plague.,1,1,1,1,neutral
"In an apparent classroom setting, a young man in a blue t-shirt has a book on his knee while a woman dressed in black next to him leans in to point out something in the book. The man and woman are cooperating.","In an apparent outdoor setting, a man in a blue t-shirt has a microphone on his head while a woman standing next to him leans in to point out something in the background. The man and woman are meditating.",5,5,5,5,entailment
"Two men holding a Chinese lantern that's yellow and red, one man has a drill and the other is smiling. A man and his daughter build a doghouse while the dog sits behind them.","Two men build a building that's yellow and white, one man has a red roof and the other is white. A man and his wife build a building while the other sits behind them.",3,1,1,4,entailment
A hand holds a strainer with a small amount of liquid in it with a table with bins in the background. A city of ice sits in the distance.,A city of a city with a large amount of people sitting in it with a city with crowds in the background. A city of people sits in the background.,5,4,3,5,entailment
A blond man playing a guitar. A bald man is playing a guitar.,A blond boy playing a baseball. A blond boy is playing a baseball.,5,5,5,5,entailment
"A woman in an American military uniform sits at a table and writes the words ""sad,"" ""depressed,"" and ""hatred"" on a large sheet of white paper. A woman is diving off a mountain.","A woman in an orange shirt sits at a desk and writes the words ""sufficed,"" ""depressed,"" and ""depressed"" on a piece of paper. A woman is sitting off a desk.",1,1,1,2,entailment
A man sitting on steps with a child as a bystander walks by. A man and a child sitting on steps saw a bystander.,A man sitting on sidewalk with a man as a stroller walks by. A man and a man sitting on sidewalk saw a stroller.,5,3,3,5,entailment
"One man wearing a pink and blue striped shirt, work gloves, and holding a yellow hard hat. A tall person in a shirt","One young man wearing a pink and blue hat, blue shirt, and wearing a yellow and blue hat. A young person in a red hat",1,1,1,5,entailment
