Unnamed: 0,orig_premise,orig_hypothesis,gen_premise,gen_hypothesis,pred_orig_labels,pred_gen_premise_labels,pred_gen_hypothesis_labels,distance_premise,distance_hypothesis,perplexity_gen_hypothesis,perplexity_gen_premise,diff_premise_probs,diff_hypothesis_probs
32,a group of consumers walking through a public market to purchase vegetables with the background of the busy store just behind them.,shoppers purchasing vegetables at a busy public market.,a group of queens walking in a public park to pick vegetables with the edge of the field green just behind them.,gallopers feed them at a very public market.,1,0,0,0.30434782608695654,0.4444444444444444,139.6982421875,112.16352844238281,0.8999320876318961,0.9662227642256767
33,several street vehicles pass by a traditional architecture style of thailand.,vehicles are going down a street in thailand.,several street trams pass by a modernist architecture style of art.,launches are going down the street in 2014.,1,2,2,0.25,0.3333333333333333,272.2383728027344,132.52549743652344,0.9209441542625427,0.9120575785636902
34,a man wearing a shite short - sleeved shirt kisses a woman wearing a light pink jacket while standing on a public street.,a man is kissing a woman,a man wearing a messe white silk sleeved shirt portrays a man wearing a hot pink shirt while standing on a public square.,[CLS] man is dating a woman,1,0,2,0.3333333333333333,0.6666666666666666,77.45049285888672,70.87012481689453,0.9991041071771178,0.9848681660369039
35,a young woman is wearing a paper crown at an outdoor event.,the woman is outdoors,a young woman is wearing a slit crown at an inappropriate event.,[CLS] woman is terrified,1,2,0,0.15384615384615385,1.0,154.74720764160156,168.716064453125,0.8970197029411793,0.5124399298802018
36,two women look at a table with assorted items on it in some sort of market that others are currently browsing.,two women are looking,two children sit at a table with assorted items on it in some sort of space that others are supposed seeing.,[CLS] women are beautiful,1,0,2,0.22727272727272727,1.0,105.33341979980469,90.08755493164062,0.9813589414115995,0.963353481143713
37,a fat woman wearing faint blue top is blowing soap bubble.,a fat woman is wearing a shirt.,a beautiful woman whose pale blue body is underneath soap bubbles.,[CLS] fat woman is wearing a mask.,2,2,0,0.5,0.5,252.56187438964844,157.80429077148438,0.14424455165863037,0.9101732447743416
38,a man in a suit driving a horse - drawn buggy down a stone street.,the man is driving a buggy.,a man in a suit holds a horse and a bun. in a city street.,[CLS] man is killing a metrogy.,1,0,0,0.4375,0.7142857142857143,322.8281555175781,46.609474182128906,0.9983439367206302,0.9510497372539248
39,expert snowboard is trying a new trick.,the person is snowboarding.,this black music is creating a new genre.,the robot is snowboarding.,1,0,0,0.625,0.2,127.25200653076172,193.2475128173828,0.9989826361997984,0.9980881492956541
40,an asian lady is holding a cup and sitting in front of a table covered in different foods.,there is a table next to a lady.,an intact chef is holding a meal and is in front of a table covered with hard liquids.,dungeon is a bedroom next to the lady.,1,0,0,0.3684210526315789,0.3333333333333333,92.18523406982422,83.1280746459961,0.8819554086076096,0.9984309311257675
41,an asian young woman wearing a white shirt and black pants is holding a pink purse.,the woman is holding a purse.,an attractive young man wearing a white shirt and black pants is wearing a black sweater.,[CLS] two is holding a tie.,1,0,0,0.29411764705882354,0.7142857142857143,65.84459686279297,25.66313362121582,0.9840731955773663,0.9884729720361065
42,a woman wearing a red hat and red bandanna followed by a man in a red bandanna.,the people are wearing bandanas.,a statue has a red bra and red goanna surrounded by a man in a red goanna.,[CLS] women are eating pork eggs.,1,0,0,0.3333333333333333,1.1666666666666667,56.05914306640625,76.34414672851562,0.6185975046828389,0.9825924606993794
43,a white man taking a photo in front of water.,a man is in front of water.,a white man has a studio in front of darkness.,savage man is in front of water.,1,0,0,0.2727272727272727,0.125,57.67255401611328,87.05443572998047,0.9910020240349695,0.8669918783707544
44,a man in a blue jacket holding a handsaw sawing a pipe on top of a wood fence.,someone is sawing.,a man in a leather jacket holding a red and anchoring a bible on top of a wooden fence.,##virus is spiraling.,1,0,0,0.3157894736842105,1.0,94.56639099121094,86.42955017089844,0.9392237121937796,0.9959319884655997
45,a man touching a hanging strand of lamps.,a man is reaching out to a strand of lamps.,a man with a single strand of shadows.,[CLS] man is chased out of a pile of corpses.,1,2,0,0.3333333333333333,0.6363636363636364,225.3871307373047,103.0186538696289,0.5231269896030426,0.999563361343462
46,dog running with a purple toy in the snowy field.,a dog is running.,horseback running with a white cat in a snowy field.,[CLS] dog is radioactive.,1,0,0,0.36363636363636365,0.8,302.0709533691406,120.14188385009766,0.9979344705789117,0.9980270961968927
47,two bearded men sit side by side.,two men are sitting down.,two bodies men guards side by side.,murdered men are sitting down.,1,0,2,0.25,0.16666666666666666,147.21775817871094,199.78211975097656,0.9969733737816568,0.7247113604098558
48,two men in karate gear using fighting sticks.,two karate men sparring with sticks,two men in riot gear with cloth under.,youngest indian men sparring with their,1,0,2,0.4444444444444444,0.5,254.1278533935547,255.8566131591797,0.9960643926169723,0.835246279835701
49,man and woman rowing on surfboards third rower in distance.,couples rowing on surfboards.,men and woman rowing on weatherboards for rower in 2012.,mutant hiking on surfboards.,2,0,0,0.36363636363636365,0.4,351.24420166015625,145.2745361328125,0.8022205550223589,0.9736008960753679
50,a person sweeping stairs in a park.,a person outside.,a person inside chairs in a room.,[CLS] short outside.,1,0,2,0.375,1.0,377.5024719238281,128.66677856445312,0.9984820437384769,0.8724378263577819
51,"four young men stare up at a basketball hoop with no net, in an outdoor, urban basketball court.",four young men looking up at a basketball hoop.,"two young women blow up at a basketball hoop with no net, in an outdoor, outdoor basketball court.",[CLS] young men crying up at the basketball hoop.,1,0,0,0.19047619047619047,0.5,104.28530883789062,64.55553436279297,0.9984574094414711,0.856906034052372
52,a solo cyclist is riding down a windy road.,a cyclist rides down a road,a little passengers is walking down a busy road.,[CLS] solo flying off the road,1,0,0,0.4,1.1666666666666667,184.6338653564453,120.16297149658203,0.9986669764621183,0.9912522778613493
53,a person standing next to an old dark building.,a person standing near a building.,a tree sits next to an old log and.,[CLS] person standing underneath the building.,1,0,0,0.4,0.7142857142857143,88.51453399658203,104.10466003417969,0.9878467520611593,0.9229923685925314
54,"two hockey players on opposing teams, one in a red and white jersey and one in a blue and black jersey, are standing on the rink.",hockey players are standing on the ice rink.,"two polo players on opposing teams, one in a red and white jersey and one in a blue and black jersey, are standing on the jersey.",hockey players are standing on the stockholm rink.,1,0,2,0.06896551724137931,0.1111111111111111,21.84109878540039,27.99591827392578,0.9989779051975347,0.8425323069095612
55,a man is playing with his skateboard on a street.,a man is outside.,a girl is now with a fingerboard on a one.,[CLS] man is driving.,1,0,0,0.45454545454545453,0.8,83.02440643310547,151.0467071533203,0.996574289893033,0.9987705422390718
56,"a guy on rollerblades, sliding across a rail.",the skateboarder rides the rail.,a cameo on rollerblazers is running over a desert.,[CLS] skateboarder rides the train.,0,0,0,0.6,0.6666666666666666,111.52120971679688,184.60104370117188,0.0024352073669433594,0.001262366771697998
57,the man white purple and white polka - dotted shirts is eating and looking to his right while the woman behind him has a confused look on her face.,a person is consuming food.,the man wearing black and white striped and striped shirts is brighter and looking to the right and the man behind him has a distant look on her face.,[CLS] black is mimic flowers.,1,0,0,0.3333333333333333,1.0,158.0428466796875,64.44271850585938,0.9699761036390555,0.9970905545706046
58,a woman is in the middle of hitting a tennis ball.,a woman is playing tennis.,a woman is in the middle of purchasing a swimming ball.,[CLS] woman is playing monopoly.,1,0,0,0.16666666666666666,0.6666666666666666,119.8393783569336,51.01774215698242,0.9982259031385183,0.9981329794973135
59,there are two people walking in the sand.,two people walk across the beach.,there are two people walking in the rain.,[CLS] people walk across the estate.,2,0,0,0.1111111111111111,0.5714285714285714,98.30634307861328,35.487396240234375,0.9660127945244312,0.9481816478073597
60,a man sitting and a woman laying in his lap kissing each other.,a man sitting and woman laying in his lap.,a man sitting and a woman doing in a wallenary each other.,[CLS] man sitting and talking silently in his lap.,1,0,0,0.2857142857142857,0.5,64.42093658447266,125.40185546875,0.9910389306023717,0.9900282146409154
61,an elderly woman with a tan nun uniform on and glasses is taking a picture with her camera.,a woman is in a tan nun uniform.,an elderly woman with a tan chew bottle on his shoulder is wearing a picture with her hands.,[CLS] woman is in a tan nun shower.,1,0,0,0.3157894736842105,0.4444444444444444,121.1457290649414,146.58969116210938,0.5653684443095699,0.9910706585505977
62,four women standing around a yellow table are looking at laptops.,a group of women looking at laptops together.,two images inscribed on a human table are found at æs.,[CLS] group of women looking at laptops fly.,1,0,0,0.5833333333333334,0.4444444444444444,161.9658660888672,212.54014587402344,0.9984709873097017,0.9927732601063326
63,artist on street corner selling his artwork.,someone is selling paintings.,exhibition on street and sells his works.,[CLS] is selling shirts.,2,2,0,0.5,0.8,275.143798828125,385.4286804199219,0.008811116218566895,0.658074694336392
64,a boy dressed for summer in a green shirt and kahki shorts extends food to a reindeer in a petting zoo.,a boy alien dressed for summer in a green shirt and kahki shorts,a boy dressed for an in a green shirt and kabuki shorts ended next to a bird in a bunting zoo.,[CLS] boy alien dressed for summer in a green shirt and kahki shorts,0,0,0,0.2727272727272727,0.23076923076923078,48.68465042114258,101.94782257080078,-0.001571059226989746,4.3392181396484375e-05
65,a man in a brown shirt and blue shorts walking in droney park.,a man walking in droney park.,a man in a white shirt and blue suit riding in coney park.,[CLS] man running in droney park.,1,0,0,0.2857142857142857,0.5714285714285714,87.8342514038086,115.0761489868164,0.9962061119149439,0.8341814351151697
66,a young man blew up balloons to craft into animals for the seven excited children that looked on.,the children are watching the man blow up balloons,the young man cleaning up posters to organize the eggs for the seven wonderful children that looked on.,[CLS] children are unaware the penguins blow up balloons,1,0,0,0.3684210526315789,0.5555555555555556,241.48362731933594,190.37608337402344,0.9954670133884065,0.9325911464984529
67,three women sit together near woven walls.,three women sit together.,three bodies appear together in rocky walls.,12 women sit together.,1,0,0,0.5,0.2,294.38177490234375,323.52252197265625,0.9983563325222349,0.9989555380161619
68,"a young gymnast looks back at the audience, trying to catch a glimpse of her proud parents before starting her performance.",a gymnast scanning a crowd for familiar faces.,"a young robin looks up to the sky, trying to catch a glimpse of her long wilderness before starting her journey.",a nurse reads a prayer for smiling faces.,2,0,0,0.30434782608695654,0.4444444444444444,72.4935302734375,82.27357482910156,0.9983842226210982,0.9984301181975752
69,a fireman searching for something using a flashlight.,a fireman is in the dark.,a fireman'for help using a machine.,[CLS] fireman is in the cockpit.,2,0,0,0.5555555555555556,0.5714285714285714,96.43540954589844,138.55809020996094,0.8346482822671533,0.9931502053514123
70,a male with a prosthetic leg diving for a volleyball.,the male has at least one prosthetic leg.,a ship with a prosthetic leg except for a landfall.,[CLS] male has issue a six quadsthetic leg.,1,2,2,0.2727272727272727,0.7777777777777778,278.8905334472656,63.232967376708984,0.9793258234858513,0.98200773447752
71,a man sits at a table in a room.,a man sits.,a girl looks at a table in a room.,she man sits.,1,0,0,0.2,0.25,83.26998138427734,58.100948333740234,0.9991926426664577,0.5623512739912258
72,violin soloists take the stage during the orchestra's opening show at the theater.,people are playing violin on stage.,supporting dancers take the stage during the orchestra's opening show at the end.,alone are the fairies on stage.,1,0,0,0.2,0.42857142857142855,101.7343521118164,120.7817153930664,0.99309645104222,0.9977437655907124
73,women in costume stand on a stage.,the women are on stage.,men in costume appear on a stage.,[CLS] <'only tour.,1,0,0,0.25,1.1666666666666667,471.91949462890625,78.79266357421875,0.9862011131335748,0.9912894424487604
74,"a race car, numbered 104 is rounding a bend as two people watch and take pictures.",people are taking pictures.,"a police car, no, is guarding a bar where two people appear and take cover.",people are drawing pictures.,1,0,0,0.4444444444444444,0.2,244.6981201171875,128.97593688964844,0.8480934523977339,0.9970124983228743
75,two young boys are playing in a fountain in a city plaza.,kids are are standing in a fountain.,two different sets are represented in a statue in a city park.,emperors are are seated in a fountain.,1,0,0,0.38461538461538464,0.25,103.9070816040039,139.74041748046875,0.9888042006641626,0.9919293317943811
76,two young ladies walking down the street together.,"there are two woman in this picture, and they are both outside.",two different boys found down the back fascinated.,"there are two women in a bar, and they are both married.",1,0,0,0.5555555555555556,0.2857142857142857,25.453989028930664,157.73214721679688,0.929150404255779,0.9948018806389882
77,"one young boy in a yellow long - sleeved shirt and jeans sitting down, with five adults in front of him, one operating a video camera.",an adult using a video camera.,"one young boy in a gray shirt, sleeved shirt and jeans sitting down, with the sidewalk in front of him, zebra operating a camera camera.",an idol throwing a handheld camera.,1,0,0,0.2413793103448276,0.42857142857142855,76.95154571533203,68.21044158935547,0.9850244577974081,0.9876380618661642
78,a woman is leaning down while talking to her phone.,a woman is using a phone,a woman is sitting down and listening to her reflection.,[CLS] woman is smoking a cigarette,1,0,0,0.36363636363636365,0.8333333333333334,83.65056610107422,51.8766975402832,0.7934195387642831,0.8708997953217477
79,a skier goes down a hill with a mountain as a backdrop.,a skier going down a hill.,a volcano goes up a hill with a mountain as a backdrop.,also skier training down the hill.,1,0,2,0.15384615384615385,0.42857142857142855,66.25054931640625,58.42906188964844,0.989393901953008,0.9754472160711884
80,"women of india performing with blue streamers, in beautiful blue costumes.",indian women perform together in gorgeous costumes,"women of india sculpture with blue streamers, in dark blue water.",##oese women perform best in gold costumes,1,0,0,0.23076923076923078,0.7142857142857143,442.001953125,219.0781707763672,0.5312248228001408,0.6838958022999577
81,a gymnast is seen defying gravity as she performs an impressive move several feet above the parallel bars.,a gymanst performing,a snow is shown defying convention as she performs an elaborate song several feet above the hotel bars.,[CLS] student danet moment,1,0,2,0.3157894736842105,2.0,211.35586547851562,544.8169555664062,0.9779148673405871,0.8394543901085854
82,players from two opposing teams wearing colorful cleats struggle to gain control over a ball on an astroturf field.,the players are playing a sport.,teams are two unionist teams with iron cleats modified to take control over a field on an icturf field.,[CLS] teams are playing a clock.,1,2,0,0.45,0.7142857142857143,120.04888916015625,163.81655883789062,0.5380623899400234,0.955169629160082
83,a young girl looking down through some leaves from atop a tree.,there is a girl outdoors.,a young man with down on a room. manning a room.,misty is a girl survivor.,1,0,2,0.6153846153846154,0.3333333333333333,139.56607055664062,131.6795196533203,0.9958290219801711,0.9880023275036365
84,a man holding a baby who is petting a pony.,a man with a baby is petting a pony.,a man like a devil who is petting a knife.,[CLS] man with a sheep is petting a pony.,1,0,0,0.2727272727272727,0.4,48.38733673095703,73.6604995727539,0.9980930075980723,0.9944310770370066
85,man in blue shirt yells and points off - camera while a man in a blue shirt and baseball cap watches.,a man is yelling.,sitting in blue jeans colorful and points to the camera while a man in a blue shirt and baseball caps watches.,[CLS] man in mr.,1,0,2,0.2727272727272727,1.0,105.13701629638672,74.82186889648438,0.9498281061532907,0.47312465077266097
86,a small child is riding in a red wagon.,a kid is in a wagon.,a small child is styled in a red dress.,her father is in a wild.,1,0,2,0.2,0.42857142857142855,89.5270767211914,99.95671844482422,0.9523379473830573,0.9556387327611446
87,a man in renaissance clothing is sitting on a brick wall.,the man is in costume,a man in cleaned fabric is sitting on a brick wall.,[CLS] man is in heaven,1,0,0,0.16666666666666666,0.8,166.7998504638672,114.17915344238281,0.9022974477848038,0.9971456633647904
88,a big black dog jumps in the air to catch the tennis ball in his mouth.,a dog is jumping.,a little black man looks in the air to see the cricket ball in his mouth.,[CLS] dog is eighteen.,1,0,2,0.29411764705882354,0.8,89.02861785888672,86.07059478759766,0.9969885538885137,0.9679049430415034
89,two men are boxing in fighting arena.,two men are boxing.,the men are participants in wrestling matches.,23 men are boxing.,1,0,0,0.5,0.2,340.3343200683594,206.7735137939453,0.9991259362432174,0.9972934510442428
90,a wall hung with multicolored crosses is visible behind the group of young men as they converse.,young men are talking,a window interspersed with multicolored windows is visible through the group of young men as they drive.,the men are single,1,2,2,0.2777777777777778,0.5,74.34481811523438,73.17786407470703,0.8810326028615236,0.9318874645978212
91,red - haired female answers questions while sitting at a table for craftzine.,she answers questions while sitting at a table.,red king < < prepare questions while sitting at a table for travel spot.,she rhymes repeatedly while sitting at a table.,1,0,0,0.42857142857142855,0.2222222222222222,136.74449157714844,191.16148376464844,0.9001606304082088,0.9887150723370723
92,"two men in costumes with fake carrot noses, top hats, sunglasses and white fur coats that contain white electrical lights.",people in costumes,"the men in nets with five visible hands, a hats, jeans and a fur coat that had white optic lights.",australia in costume,1,2,2,0.4782608695652174,0.6666666666666666,161.162353515625,264.99462890625,0.5443119648844004,0.9273033384233713
93,a man has wrecked his racing bike in the dirt with five spectators behind a rope.,a man has damaged something.,a photograph is marching his spare bike in the woods with two people on the mountain.,[CLS] man has killed millions.,1,2,0,0.5882352941176471,0.8333333333333334,265.9266357421875,229.4278106689453,0.9121934697031975,0.8823624143551569
94,a city street with market vendors and children being pushed in strollers with a large cathedral in the background.,the strollers are moving.,a beautiful street with adequate windows and banks being built in plasterers with a large garden in the background.,[CLS] rebuilding crisis is changing.,1,2,0,0.35,1.4,223.51673889160156,131.59848022460938,0.8127764984965324,0.9928726133075543
95,two men working on farm equipment that is being pulled by two horses.,the men are working on farm stuff.,the men working on telecommunication equipment that is being pulled by the horses.,[CLS] men are working on stealing eggs.,1,0,0,0.21428571428571427,0.625,106.9315414428711,99.25658416748047,0.9431628400488989,0.9834253007575171
96,woman running in a park while listening to music.,a woman jogging in a park.,others running in a park while listening to music.,[CLS] woman sleeps in a park.,1,2,0,0.1,0.5714285714285714,135.93348693847656,50.384830474853516,0.811977744102478,0.9961665130686015
97,a man in jeans and a brown shirt jumps high in the air in a living room that has a fireplace and wooden floor.,a guy in brown jumps up in a room with a wood floor,a bomb in jeans and a. grenade hove up in the air in a living room that has a burning and dirt floor.,[CLS] man in black dresses up in a room with a plastic floor,1,0,0,0.32,0.5384615384615384,40.48038864135742,87.07017517089844,0.9065603481431026,0.997336493601324
98,"the blond young man who had been splattered with paint colors of blue, orange, and green held up his camera to take a picture.",a man covered in paint takes a photo.,"the rooted young man who had been sperryed with hair balloons of blue, brown, and green gives up his cameras to take a picture.",[CLS] man'in blue pushed a tree.,1,2,0,0.25925925925925924,0.7777777777777778,88.80462646484375,93.5202407836914,0.893194293603301,0.9968885484850034
99,"one woman with jeans, gray shirt and sandals ; with girl in all pink watching a white ball float in midair.",the shirt is gray.,"a woman with shoes, wearing skirt and sandals, and men in all colours, a white shirt floating in midair.",the meat is black.,1,0,0,0.4782608695652174,0.4,163.79446411132812,70.2010498046875,0.9970589668082539,0.9660545379447285
100,3 people are shopping in a market.,there are people at a market.,"most, are usable in a small.",[CLS] are ten at a market.,1,2,0,0.5,0.5714285714285714,208.32948303222656,298.5400390625,0.5164358366746455,0.9795478111918783
101,a man is working in an art studio and is surrounded by art supplies.,a man is working on art.,a woman is working in an advertising studio and is surrounded by loud speakers.,[CLS] man is working on dreams.,1,0,2,0.26666666666666666,0.5714285714285714,71.62329864501953,50.47689437866211,0.999549362808466,0.6995841339230537
102,the man in black is flying off the full in front of a red fence.,the man is next to the fence.,the man in black is flying off the parade in front of a flaming banner.,[CLS] man is listening to the man.,1,0,0,0.1875,0.625,122.3989486694336,58.517276763916016,0.8872676938772202,0.7830569595098495
103,people are hiking up a mountain with no greenery.,the mountain is bare.,they are climbed up the mountain and theminary.,[CLS] mountain is sacred.,1,0,2,0.6,0.8,153.79568481445312,209.4200897216797,0.9923434732481837,0.6363177467137575
