,orig_premise,orig_hypothesis,adv_premise,adv_hypothesis,orig_label,adv_label
28,a woman and child are on a boat and the woman is looking out into the ocean through a scope.,a lady is looking through a scope at the ocean.,a portrait and man are in a boat and the family is looking out into the future through a portal.,a lady is looking through a scope at the ocean.,1,0
29,an indian woman stands in an outdoor marketplace.,a female is outdoors at a bazaar.,an added view appears in an outdoor commercial.,a female is outdoors at a bazaar.,1,2
30,two teen boys in school clothes are walking with something in a garbage bag.,two boys are walking together carrying a bag.,two adolescent boys in school who are hidden in handcuffs in a garbage bag.,two boys are walking together carrying a bag.,1,0
31,"two children, both wearing tan coats, are embracing one another.",two kids are hugging.,"two pairs, both wearing red suits, are eating one another.",two kids are hugging.,1,0
32,a group of consumers walking through a public market to purchase vegetables with the background of the busy store just behind them.,shoppers purchasing vegetables at a busy public market.,a group of queens walking in a public park to pick vegetables with the edge of the field green just behind them.,shoppers purchasing vegetables at a busy public market.,1,0
33,several street vehicles pass by a traditional architecture style of thailand.,vehicles are going down a street in thailand.,several street trams pass by a modernist architecture style of art.,vehicles are going down a street in thailand.,1,2
34,a man wearing a shite short - sleeved shirt kisses a woman wearing a light pink jacket while standing on a public street.,a man is kissing a woman,a man wearing a messe white silk sleeved shirt portrays a man wearing a hot pink shirt while standing on a public square.,a man is kissing a woman,1,0
35,a young woman is wearing a paper crown at an outdoor event.,the woman is outdoors,a young woman is wearing a slit crown at an inappropriate event.,the woman is outdoors,1,2
36,two women look at a table with assorted items on it in some sort of market that others are currently browsing.,two women are looking,two children sit at a table with assorted items on it in some sort of space that others are supposed seeing.,two women are looking,1,0
37,a fat woman wearing faint blue top is blowing soap bubble.,a fat woman is wearing a shirt.,a beautiful woman whose pale blue body is underneath soap bubbles.,a fat woman is wearing a shirt.,2,2
38,a man in a suit driving a horse - drawn buggy down a stone street.,the man is driving a buggy.,a man in a suit holds a horse and a bun. in a city street.,the man is driving a buggy.,1,0
39,expert snowboard is trying a new trick.,the person is snowboarding.,this black music is creating a new genre.,the person is snowboarding.,1,0
40,an asian lady is holding a cup and sitting in front of a table covered in different foods.,there is a table next to a lady.,an intact chef is holding a meal and is in front of a table covered with hard liquids.,there is a table next to a lady.,1,0
41,an asian young woman wearing a white shirt and black pants is holding a pink purse.,the woman is holding a purse.,an attractive young man wearing a white shirt and black pants is wearing a black sweater.,the woman is holding a purse.,1,0
42,a woman wearing a red hat and red bandanna followed by a man in a red bandanna.,the people are wearing bandanas.,a statue has a red bra and red goanna surrounded by a man in a red goanna.,the people are wearing bandanas.,1,0
43,a white man taking a photo in front of water.,a man is in front of water.,a white man has a studio in front of darkness.,a man is in front of water.,1,0
44,a man in a blue jacket holding a handsaw sawing a pipe on top of a wood fence.,someone is sawing.,a man in a leather jacket holding a red and anchoring a bible on top of a wooden fence.,someone is sawing.,1,0
45,a man touching a hanging strand of lamps.,a man is reaching out to a strand of lamps.,a man with a single strand of shadows.,a man is reaching out to a strand of lamps.,1,2
46,dog running with a purple toy in the snowy field.,a dog is running.,horseback running with a white cat in a snowy field.,a dog is running.,1,0
47,two bearded men sit side by side.,two men are sitting down.,two bodies men guards side by side.,two men are sitting down.,1,0
48,two men in karate gear using fighting sticks.,two karate men sparring with sticks,two men in riot gear with cloth under.,two karate men sparring with sticks,1,0
49,man and woman rowing on surfboards third rower in distance.,couples rowing on surfboards.,men and woman rowing on weatherboards for rower in 2012.,couples rowing on surfboards.,2,0
50,a person sweeping stairs in a park.,a person outside.,a person inside chairs in a room.,a person outside.,1,0
51,"four young men stare up at a basketball hoop with no net, in an outdoor, urban basketball court.",four young men looking up at a basketball hoop.,"two young women blow up at a basketball hoop with no net, in an outdoor, outdoor basketball court.",four young men looking up at a basketball hoop.,1,0
52,a solo cyclist is riding down a windy road.,a cyclist rides down a road,a little passengers is walking down a busy road.,a cyclist rides down a road,1,0
53,a person standing next to an old dark building.,a person standing near a building.,a tree sits next to an old log and.,a person standing near a building.,1,0
54,"two hockey players on opposing teams, one in a red and white jersey and one in a blue and black jersey, are standing on the rink.",hockey players are standing on the ice rink.,"two polo players on opposing teams, one in a red and white jersey and one in a blue and black jersey, are standing on the jersey.",hockey players are standing on the ice rink.,1,0
55,a man is playing with his skateboard on a street.,a man is outside.,a girl is now with a fingerboard on a one.,a man is outside.,1,0
56,"a guy on rollerblades, sliding across a rail.",the skateboarder rides the rail.,a cameo on rollerblazers is running over a desert.,the skateboarder rides the rail.,0,0
57,the man white purple and white polka - dotted shirts is eating and looking to his right while the woman behind him has a confused look on her face.,a person is consuming food.,the man wearing black and white striped and striped shirts is brighter and looking to the right and the man behind him has a distant look on her face.,a person is consuming food.,1,0
58,a woman is in the middle of hitting a tennis ball.,a woman is playing tennis.,a woman is in the middle of purchasing a swimming ball.,a woman is playing tennis.,1,0
59,there are two people walking in the sand.,two people walk across the beach.,there are two people walking in the rain.,two people walk across the beach.,2,0
60,a man sitting and a woman laying in his lap kissing each other.,a man sitting and woman laying in his lap.,a man sitting and a woman doing in a wallenary each other.,a man sitting and woman laying in his lap.,1,0
61,an elderly woman with a tan nun uniform on and glasses is taking a picture with her camera.,a woman is in a tan nun uniform.,an elderly woman with a tan chew bottle on his shoulder is wearing a picture with her hands.,a woman is in a tan nun uniform.,1,0
62,four women standing around a yellow table are looking at laptops.,a group of women looking at laptops together.,two images inscribed on a human table are found at æs.,a group of women looking at laptops together.,1,0
63,artist on street corner selling his artwork.,someone is selling paintings.,exhibition on street and sells his works.,someone is selling paintings.,2,2
64,a boy dressed for summer in a green shirt and kahki shorts extends food to a reindeer in a petting zoo.,a boy alien dressed for summer in a green shirt and kahki shorts,a boy dressed for an in a green shirt and kabuki shorts ended next to a bird in a bunting zoo.,a boy alien dressed for summer in a green shirt and kahki shorts,0,0
65,a man in a brown shirt and blue shorts walking in droney park.,a man walking in droney park.,a man in a white shirt and blue suit riding in coney park.,a man walking in droney park.,1,0
66,a young man blew up balloons to craft into animals for the seven excited children that looked on.,the children are watching the man blow up balloons,the young man cleaning up posters to organize the eggs for the seven wonderful children that looked on.,the children are watching the man blow up balloons,1,0
67,three women sit together near woven walls.,three women sit together.,three bodies appear together in rocky walls.,three women sit together.,1,0
68,"a young gymnast looks back at the audience, trying to catch a glimpse of her proud parents before starting her performance.",a gymnast scanning a crowd for familiar faces.,"a young robin looks up to the sky, trying to catch a glimpse of her long wilderness before starting her journey.",a gymnast scanning a crowd for familiar faces.,2,0
69,a fireman searching for something using a flashlight.,a fireman is in the dark.,a fireman'for help using a machine.,a fireman is in the dark.,2,0
70,a male with a prosthetic leg diving for a volleyball.,the male has at least one prosthetic leg.,a ship with a prosthetic leg except for a landfall.,the male has at least one prosthetic leg.,1,2
71,a man sits at a table in a room.,a man sits.,a girl looks at a table in a room.,a man sits.,1,0
72,violin soloists take the stage during the orchestra's opening show at the theater.,people are playing violin on stage.,supporting dancers take the stage during the orchestra's opening show at the end.,people are playing violin on stage.,1,0
73,women in costume stand on a stage.,the women are on stage.,men in costume appear on a stage.,the women are on stage.,1,0
74,"a race car, numbered 104 is rounding a bend as two people watch and take pictures.",people are taking pictures.,"a police car, no, is guarding a bar where two people appear and take cover.",people are taking pictures.,1,0
75,two young boys are playing in a fountain in a city plaza.,kids are are standing in a fountain.,two different sets are represented in a statue in a city park.,kids are are standing in a fountain.,1,0
76,two young ladies walking down the street together.,"there are two woman in this picture, and they are both outside.",two different boys found down the back fascinated.,"there are two woman in this picture, and they are both outside.",1,0
77,"one young boy in a yellow long - sleeved shirt and jeans sitting down, with five adults in front of him, one operating a video camera.",an adult using a video camera.,"one young boy in a gray shirt, sleeved shirt and jeans sitting down, with the sidewalk in front of him, zebra operating a camera camera.",an adult using a video camera.,1,0
78,a woman is leaning down while talking to her phone.,a woman is using a phone,a woman is sitting down and listening to her reflection.,a woman is using a phone,1,0
79,a skier goes down a hill with a mountain as a backdrop.,a skier going down a hill.,a volcano goes up a hill with a mountain as a backdrop.,a skier going down a hill.,1,0
80,"women of india performing with blue streamers, in beautiful blue costumes.",indian women perform together in gorgeous costumes,"women of india sculpture with blue streamers, in dark blue water.",indian women perform together in gorgeous costumes,1,0
81,a gymnast is seen defying gravity as she performs an impressive move several feet above the parallel bars.,a gymanst performing,a snow is shown defying convention as she performs an elaborate song several feet above the hotel bars.,a gymanst performing,1,0
82,players from two opposing teams wearing colorful cleats struggle to gain control over a ball on an astroturf field.,the players are playing a sport.,teams are two unionist teams with iron cleats modified to take control over a field on an icturf field.,the players are playing a sport.,1,2
83,a young girl looking down through some leaves from atop a tree.,there is a girl outdoors.,a young man with down on a room. manning a room.,there is a girl outdoors.,1,0
84,a man holding a baby who is petting a pony.,a man with a baby is petting a pony.,a man like a devil who is petting a knife.,a man with a baby is petting a pony.,1,0
85,man in blue shirt yells and points off - camera while a man in a blue shirt and baseball cap watches.,a man is yelling.,sitting in blue jeans colorful and points to the camera while a man in a blue shirt and baseball caps watches.,a man is yelling.,1,0
86,a small child is riding in a red wagon.,a kid is in a wagon.,a small child is styled in a red dress.,a kid is in a wagon.,1,0
87,a man in renaissance clothing is sitting on a brick wall.,the man is in costume,a man in cleaned fabric is sitting on a brick wall.,the man is in costume,1,0
88,a big black dog jumps in the air to catch the tennis ball in his mouth.,a dog is jumping.,a little black man looks in the air to see the cricket ball in his mouth.,a dog is jumping.,1,0
89,two men are boxing in fighting arena.,two men are boxing.,the men are participants in wrestling matches.,two men are boxing.,1,0
90,a wall hung with multicolored crosses is visible behind the group of young men as they converse.,young men are talking,a window interspersed with multicolored windows is visible through the group of young men as they drive.,young men are talking,1,2
91,red - haired female answers questions while sitting at a table for craftzine.,she answers questions while sitting at a table.,red king < < prepare questions while sitting at a table for travel spot.,she answers questions while sitting at a table.,1,0
92,"two men in costumes with fake carrot noses, top hats, sunglasses and white fur coats that contain white electrical lights.",people in costumes,"the men in nets with five visible hands, a hats, jeans and a fur coat that had white optic lights.",people in costumes,1,2
93,a man has wrecked his racing bike in the dirt with five spectators behind a rope.,a man has damaged something.,a photograph is marching his spare bike in the woods with two people on the mountain.,a man has damaged something.,1,2
94,a city street with market vendors and children being pushed in strollers with a large cathedral in the background.,the strollers are moving.,a beautiful street with adequate windows and banks being built in plasterers with a large garden in the background.,the strollers are moving.,1,2
95,two men working on farm equipment that is being pulled by two horses.,the men are working on farm stuff.,the men working on telecommunication equipment that is being pulled by the horses.,the men are working on farm stuff.,1,0
96,woman running in a park while listening to music.,a woman jogging in a park.,others running in a park while listening to music.,a woman jogging in a park.,1,2
97,a man in jeans and a brown shirt jumps high in the air in a living room that has a fireplace and wooden floor.,a guy in brown jumps up in a room with a wood floor,a bomb in jeans and a. grenade hove up in the air in a living room that has a burning and dirt floor.,a guy in brown jumps up in a room with a wood floor,1,0
98,"the blond young man who had been splattered with paint colors of blue, orange, and green held up his camera to take a picture.",a man covered in paint takes a photo.,"the rooted young man who had been sperryed with hair balloons of blue, brown, and green gives up his cameras to take a picture.",a man covered in paint takes a photo.,1,2
99,"one woman with jeans, gray shirt and sandals ; with girl in all pink watching a white ball float in midair.",the shirt is gray.,"a woman with shoes, wearing skirt and sandals, and men in all colours, a white shirt floating in midair.",the shirt is gray.,1,0
100,3 people are shopping in a market.,there are people at a market.,"most, are usable in a small.",there are people at a market.,1,2
101,a man is working in an art studio and is surrounded by art supplies.,a man is working on art.,a woman is working in an advertising studio and is surrounded by loud speakers.,a man is working on art.,1,0
102,the man in black is flying off the full in front of a red fence.,the man is next to the fence.,the man in black is flying off the parade in front of a flaming banner.,the man is next to the fence.,1,0
103,people are hiking up a mountain with no greenery.,the mountain is bare.,they are climbed up the mountain and theminary.,the mountain is bare.,1,0
104,"an old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.",an old woman has a jean jacket.,"an old man in a sniper hat and an old woman in a headguard are standing outside, and are visible only in shadow.",an old woman has a jean jacket.,1,2
105,a patient is being worked on by doctors and nurses.,someone is at the doctor.,a company is being worked on by nurses and nurses.,someone is at the doctor.,1,0
106,a young male wearing a white shirt with a character outlined very darkly.,a young male in a white shirt.,"a large woman without a white shirt, a photograph of and above.",a young male in a white shirt.,1,0
107,a man wearing a white shirt and a blue jeans reading a newspaper while standing,a man is reading a newspaper.,"a scene wearing a red shirt and a blue jeans surrounded a man, standing",a man is reading a newspaper.,1,2
108,a man and woman setup a camera.,two people setup a device,a man and woman detection a child.,two people setup a device,1,0
109,two dogs run across the woods.,the canines run around in the forest.,two canine from across the bridge.,the canines run around in the forest.,1,0
110,a man is kayaking in rough waters.,the man is in a boat,the man is snowboarding in polar waters.,the man is in a boat,1,0
111,"a person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.",a person is near a pile of coconuts.,"a person wearing a straw hat, standing outside at a small door with a pile of straws on the ground.",a person is near a pile of coconuts.,1,0
112,several men at a bar watch a sports game on the television.,some men are watching tv at a bar.,the men in a neighborhood watch a football game on the streets.,some men are watching tv at a bar.,1,0
113,a lit girl splashes around in natural water.,a girl splashes in water.,a human person splashes around in the water.,a girl splashes in water.,1,2
114,a boy is riding down the road between two cows.,"a boy, a road and two cows.",a sign is placed on the ground between two wings.,"a boy, a road and two cows.",1,0
115,a group of attentive students are paying attention to a college lecture.,some students are attending a class.,a number of attentive people are paying attention to a red rug.,some students are attending a class.,1,2
116,a man laughing while at a restaurant.,a man laughing.,a man smelling while at a restaurant.,a man laughing.,1,0
117,a woman wearing a yellow tank top and white pants looking into a window on a city street.,a woman wearing a tank top and pants looks through some glass.,a person wearing a red crop top and white pants looks shoot a block on a city street.,a woman wearing a tank top and pants looks through some glass.,1,0
118,"a crowd of people in a stadium decked out in white, yellow and green cheer and clap for the team below.",a crwod is cheering,"a number of people in a stadium steeped up in white, yellow and green hedges and waiting for the team below.",a crwod is cheering,1,2
119,"two sweet young girls on ice skates, hands up and holding on to each other get ready to begin their performance on the ice.",two females holding each other.,"two very young passengers on ice skates, holding up and holding on to each other while ready to begin their life on the ice.",two females holding each other.,1,2
120,a man in a short mohawk and beard.,a man with a short mohawk and beard stands outside.,a man in a bar dress and affection.,a man with a short mohawk and beard stands outside.,2,0
121,a woman in a pink top is holding a glass bottle in one hand and a stitch doll in the other.,the top is pink,a man in a cage top hat holding a wine bottle in one hand and a jewel bottle in the other.,the top is pink,1,0
122,a girl in a black skirt and blue dress is watering flowers.,the girl is giving the flowers some water.,a girl in a white dress and red dress is eating candles.,the girl is giving the flowers some water.,1,0
123,a pro - baseball pitcher sends a curve ball to his opponent while many fans relax and enjoy the game.,a pitcher is playing baseball at a stadium,a statue - trough pitcher sells a combat ball to his opponent. many are smiling and enjoy the game.,a pitcher is playing baseball at a stadium,1,2
124,one confused man is standing and staring off into the distance in front of some ticket collecting machines.,the man is confused.,one masked man is standing and staring out into the distance in front of a mirror sales machines.,the man is confused.,1,2
125,several men in black t - shirts and caps are using with metal rods to smash food that's lying on a round table with a hole in the center.,men using metal rods,"the men in black boots, cables and jackets are worn with matching rods to catch food that's located on a pool table with a hole in the center.",men using metal rods,1,2
126,a group of people sitting and knitting.,people are sitting.,a group of people are and walking.,people are sitting.,1,0
127,an older man sifts water through his fingers as a young toddler watches from inside the water.,a man is near a toddler,"an old man earned hails clouds through his body, a sign nutler watches from inside the home.",a man is near a toddler,1,2
128,"while traveling, a woman in a black jacket is resting on the shoulder of a man in a black jacket.",a woman rests on the shoulder of a man,"while dancing, a woman in a black jacket is hurled on the shoulder of a man with a black jacket.",a woman rests on the shoulder of a man,1,0
129,"a small, pale bird bends down to examine a crumb.",the bird is on the ground.,"a small, hooked bird leans down to middle a crestan.",the bird is on the ground.,2,0
130,a man riding a motorcycle on a dirt road passing several junk or abandoned cars on the side of the road.,a man is riding a motorcyle.,a man driven a car on a busy road passes several abandoned or abandoned cars on the side of the road.,a man is riding a motorcyle.,1,0
131,a skier is heading into a grove of trees.,there is snow on the ground in this picture.,the suit is etched into a pool of flowers.,there is snow on the ground in this picture.,1,0
132,two women bend over to touch a small kangaroo.,two women are petting a kangaroo,the men heads up to touch a large stream.,two women are petting a kangaroo,2,0
133,a man with thinning hair looking into glasses through glasses.,a man with thinning hair.,a girl with thin new hair transitioned into venus in this.,a man with thinning hair.,1,0
134,a kid dressed in a long - sleeve shirt with a jersey numbered 11 is passing a bar to a boy in a jersey numbered 12 during a relay race.,a team of youths race to finish first in a relay race on a beach.,a boy dressed in a long black plaid shirt with a matching numbered 11 is passing the bar to a boy in a jersey numbered 11 during a relay race.,a team of youths race to finish first in a relay race on a beach.,2,2
135,a man is riding a bicycle in the street.,a bicycle is being ridden,a photograph is just a bicycle in the house.,a bicycle is being ridden,1,0
136,a woman with a pink purse walks down a crowded sidewalk.,a woman walks through a crowd,a man with a pink dress sits on a green sidewalk.,a woman walks through a crowd,1,0
137,"a large number of people are watching men dressed in kilts, one of whom has thrown a long pole.",people watch men in kilts,"a large number of animals are useful, dressed in camouflagelts, one of whom has been a dress pole.",people watch men in kilts,1,0
138,"two babies, one in red, asleep in their highchairs.",babies are asleep,"two guards, one in each, glow in their high shiners.",babies are asleep,1,0
139,some folks pick out the food they want at a party.,the party - goers are perusing the buffet.,some friends give them the tasks they want at a party.,the party - goers are perusing the buffet.,2,2
140,a small dog runs to catch a ball.,a little dog chases a ball.,a little person born to throw a ball.,a little dog chases a ball.,1,0
141,a white and black spotted dog is running through a grassy area.,a dog is outdoors.,a white and cream chin dog is styled with a triangle area.,a dog is outdoors.,1,2
142,the black woman is laying out literature.,a black woman is handling printed material.,the black emperor is inside out poison.,a black woman is handling printed material.,1,0
143,island native fishermen reeling in their nets after a long day's work.,the men are finishing their day of work.,"the shuttle weaving slowly in the bushes with a long day's work,",the men are finishing their day of work.,1,2
144,a dog jumps over the pole.,dog is jumping over a pole,a scene occurs over the end.,dog is jumping over a pole,1,2
145,a man running in a race passes by spectators.,a man is running by people who are watching.,a man running in a car passes by trees.,a man is running by people who are watching.,1,2
146,a man talks to two guards as he holds a drink.,the prisoner is talking to two guards in the prison cafeteria.,a man oblivious to two snakes who he holds a gun.,the prisoner is talking to two guards in the prison cafeteria.,2,0
147,a woman with a black purse and a red coat is sitting on a pillar of concrete.,the woman is waiting for her boyfriend at the local bus stop.,a girl with a red dress and a red roof is sitting on a stack of fire.,the woman is waiting for her boyfriend at the local bus stop.,2,0
148,"one man wearing a pink and blue striped shirt, work gloves, and holding a yellow hard hat.",a tall person in a shirt,"one man wearing a pink and white striped shirt, denim parody, and holding a black mini hat.",a tall person in a shirt,2,2
149,a barber in a sports themed barber shop waits for his next customer to arrive.,a barber in a sports shop waits eagerly for business.,a barber in a french themed barber shop waits for his work ready to visit.,a barber in a sports shop waits eagerly for business.,2,0
150,"boy in backpack crossing the street, other people, all asian, are all in crosswalk walking towards the boy.",the boy is on his way home from school.,"boy in action into the crowd, other people, and warriors, are all in bar brawls towards the boy.",the boy is on his way home from school.,2,0
151,the cyclist rides on a wooded path.,the cyclist rides with a companion on a wooded path,the gang rides on a wooded path.,the cyclist rides with a companion on a wooded path,2,0
152,a woman working in the storefront of a jewelry shop fixing the display shelf.,the woman is dreaming of a modeling career while working in the jewelry shop.,a woman working in the backroom of a printing shop serves the mail service.,the woman is dreaming of a modeling career while working in the jewelry shop.,2,0
153,two people play horseshoes.,tom and sue were playing outside.,twosome play ashores.,tom and sue were playing outside.,2,1
154,two adult men in black t - shirt and loud tunics hold smoking torches in preparation for an act of entertainment or celebration in a forested environment.,two brothers hold torches to celebrate.,two fathers twin in black leather dress shirt and white tunics wear dance candles in preparation for their act of entertainment and celebration in a religious environment.,two brothers hold torches to celebrate.,2,1
155,several adults look on while a young girl plays in a ball pit.,a young girl is having fun.,the scarcely thrive on while a young girl like in a ball game.,a young girl is having fun.,2,1
156,a girl climbing a chain link fence.,the girl climbs the fence to get to school.,a girl broke a chain link fence.,the girl climbs the fence to get to school.,2,0
157,a man biking down a tunnel.,a man is winning a bike race.,a man jogging in a tunnel.,a man is winning a bike race.,2,0
158,"a smiling man with gray hair and glasses, dressed in black, is sitting in a chair with a music stand in front of him.",this man has an eyesight deficiency.,"a fluorescent man with sharp hair and glasses, dressed in dread, is sitting on a chair with a fruit stand in front of him.",this man has an eyesight deficiency.,2,1
159,three children are shooting guns in the woods.,three children are shooting a deer.,three soldiers are hiding pigs in the woods.,three children are shooting a deer.,2,0
160,four people wearing backpacks walking in a line along a mountain trail.,four people are walking along a mountain trail trying to get down before the storm.,six people finishing commuters walking through the disturbance along a surfing trail.,four people are walking along a mountain trail trying to get down before the storm.,2,0
161,several people talk and drink beer while sitting around a picnic table.,several friends talk and drink beer while sitting around a picnic table.,college members talk and drink cheese while sitting around a dining table.,several friends talk and drink beer while sitting around a picnic table.,2,0
162,a smiling girl slides down a purple slide feet first.,a girl happily uses the equipment at a playground.,a elliott girl strips down a sunset playground stadium alone.,a girl happily uses the equipment at a playground.,1,0
163,a man in a purple and blue shirt and shorts is getting ready to hit a golf ball.,a man is on a golf course.,a man in a gray and blue shirt and shorts is getting ready to hit a breaking ball.,a man is on a golf course.,2,0
164,a man is performing for a group in front of a white house.,the man performed in front of his own house.,a man condemned performing for a slave in front of a white house.,the man performed in front of his own house.,2,0
165,a young man is playing a blue guitar.,a musician practices on his guitar briefly before a concert.,"a young man, playing a trick ball.",a musician practices on his guitar briefly before a concert.,2,0
166,two men help each other cut a sheet of plastic.,two friends help each other by cutting some plastic.,two cousins volunteers each other cut a pound of plastic.,two friends help each other by cutting some plastic.,2,1
167,an old man in a blue shirt and white pants glowers by a glass door.,a man resting outside,the old man in a white jacket and white pants halters in a roadside driveway.,a man resting outside,2,1
168,"a little girl drawing with chalk, on a chalkboard.",a little girl is drawing on the board during class.,"a young girl grading with sixteen, on a chalkboard.",a little girl is drawing on the board during class.,2,1
169,a wet golden retriever is walking through a lake,a wet golden retriever is walking through a lake to find a ball.,a ball sport retriever is sitting through a bat,a wet golden retriever is walking through a lake to find a ball.,2,0
170,a woman is sitting down doing some sort of craft work while another person operates a large wooden loom device in the background.,the woman sitting is asian.,"a hen is sitting down in some sort of montana, while the man notices a large reindeer loom flags in the background.",the woman sitting is asian.,2,0
171,people in chairs around a table,the people are eating dinner.,are in dinner after a sixteenth,the people are eating dinner.,2,1
172,a performer plays an instrument for the audience.,the performer is making music.,a performer plays the instrument for the audience.,the performer is making music.,1,1
173,a group of people wait to cross the street in new york,some of the people are wearing sunglasses.,in typical of people fangs to cross the street in new york,some of the people are wearing sunglasses.,2,0
174,"two distinguished older gentlemen stand outside a house, trees in background, both with white hair, the taller man having his arm about the other man's shoulder as they face the camera from behind their corrective lenses.",the older men are colleagues.,"mature years seamen fellows stand outside the house, pale in white, covered with white hair, the outstretched man'his arm around the other man's shoulder. they face the camera from behind their corrective lenses.",the older men are colleagues.,2,1
175,a young woman dressed in black attaches bags full of flowers to a bicycle.,the flowers are lilacs.,a young woman dressed in black chops bags full of sugar to a rainbow.,the flowers are lilacs.,2,0
