Unnamed: 0,orig_premise,orig_hypothesis,gen_premise,gen_hypothesis,pred_orig_labels,pred_gen_premise_labels,pred_gen_hypothesis_labels,distance_premise,distance_hypothesis,perplexity_gen_hypothesis,perplexity_gen_premise,grammar_premise_gen_gpt_0.2,grammar_hypothesis_gen_gpt_0.2,cohesiveness_premise_gen_gpt_0.2,cohesiveness_hypothesis_gen_gpt_0.2,likableness_premise_gen_gpt_0.2,likableness_hypothesis_gen_gpt_0.2,fluency_premise_gen_gpt_0.2,fluency_hypothesis_gen_gpt_0.2,grammar_premise_gen_gpt_1.0,grammar_hypothesis_gen_gpt_1.0,cohesiveness_premise_gen_gpt_1.0,cohesiveness_hypothesis_gen_gpt_1.0,likableness_premise_gen_gpt_1.0,likableness_hypothesis_gen_gpt_1.0,fluency_premise_gen_gpt_1.0,fluency_hypothesis_gen_gpt_1.0,grammar_premise_gen_mistral_0.2,grammar_hypothesis_gen_mistral_0.2,cohesiveness_premise_gen_mistral_0.2,cohesiveness_hypothesis_gen_mistral_0.2,likableness_premise_gen_mistral_0.2,likableness_hypothesis_gen_mistral_0.2,fluency_premise_gen_mistral_0.2,fluency_hypothesis_gen_mistral_0.2,grammar_premise_gen_mistral_1.0,grammar_hypothesis_gen_mistral_1.0,cohesiveness_premise_gen_mistral_1.0,cohesiveness_hypothesis_gen_mistral_1.0,likableness_premise_gen_mistral_1.0,likableness_hypothesis_gen_mistral_1.0,fluency_premise_gen_mistral_1.0,fluency_hypothesis_gen_mistral_1.0
27,"an asian woman in a purple shirt preparing a bowl of food for the younger asian boy sitting near buy, while an asian man eats a roll and prepares to take some food up with his chopsticks.",a woman is preparing food for a child.,"an asian man in a white shirt provides a lot of food for the other asian traders sitting on stool, while an asian man eats a lot and seems to take some food off with his chopsticks.",[CLS] chinese is preparing food for a funeral.,1,0,2,0.282051282051282,0.5555555555555556,77.5336685180664,43.86640167236328,4,2,3,1,3,1,3,2,4,4,3,1,3,1,3,1,5,1,3,1,3,1,5,1,5,1,3,1,5,1,4,1
28,a woman and child are on a boat and the woman is looking out into the ocean through a scope.,a lady is looking through a scope at the ocean.,a portrait and man are in a boat and the family is looking out into the future through a portal.,[CLS] smiley is looking through a hole in the ocean.,1,0,2,0.2857142857142857,0.5454545454545454,52.22583770751953,62.12440490722656,2,1,2,1,2,1,2,1,3,1,2,1,2,1,2,2,3,2,1,1,3,1,3,3,5,1,1,1,2,2,3,1
29,an indian woman stands in an outdoor marketplace.,a female is outdoors at a bazaar.,an added view appears in an outdoor commercial.,a woman is dancing at a picnic.,1,2,0,0.4444444444444444,0.375,92.549072265625,372.5559692382813,4,2,2,1,2,2,3,2,4,2,3,3,2,2,4,2,5,5,3,1,3,1,5,3,5,5,3,1,4,1,5,3
30,two teen boys in school clothes are walking with something in a garbage bag.,two boys are walking together carrying a bag.,two adolescent boys in school who are hidden in handcuffs in a garbage bag.,the boys are eating together sharing the bag.,1,0,0,0.3333333333333333,0.4444444444444444,91.28591918945312,74.3351058959961,2,4,1,4,2,4,2,4,2,4,1,4,1,4,1,4,3,5,1,1,3,3,1,5,3,5,0,1,1,1,2,5
31,"two children, both wearing tan coats, are embracing one another.",two kids are hugging.,"two pairs, both wearing red suits, are eating one another.",[CLS] children are classmates.,1,0,2,0.3076923076923077,1.0,140.17178344726562,127.26834106445312,1,4,1,4,1,4,1,2,2,4,1,2,1,3,1,2,1,5,1,5,1,5,1,5,3,5,1,3,1,5,1,5
32,a group of consumers walking through a public market to purchase vegetables with the background of the busy store just behind them.,shoppers purchasing vegetables at a busy public market.,a group of queens walking in a public park to pick vegetables with the edge of the field green just behind them.,gallopers feed them at a very public market.,1,0,0,0.3043478260869565,0.4444444444444444,139.6982421875,112.1635284423828,2,2,2,2,2,3,2,3,2,2,2,3,2,2,2,3,5,3,1,1,3,1,5,3,5,5,1,2,3,1,5,3
33,several street vehicles pass by a traditional architecture style of thailand.,vehicles are going down a street in thailand.,several street trams pass by a modernist architecture style of art.,launches are going down the street in 2014.,1,2,2,0.25,0.3333333333333333,272.2383728027344,132.52549743652344,3,2,2,2,2,3,4,2,2,2,2,2,2,2,3,2,4,3,3,1,3,3,4,3,4,2,2,1,3,3,5,3
34,a man wearing a shite short - sleeved shirt kisses a woman wearing a light pink jacket while standing on a public street.,a man is kissing a woman,a man wearing a messe white silk sleeved shirt portrays a man wearing a hot pink shirt while standing on a public square.,[CLS] man is dating a woman,1,0,2,0.3333333333333333,0.6666666666666666,77.45049285888672,70.87012481689453,2,4,1,5,1,2,1,4,2,4,2,5,1,4,1,4,5,5,3,5,3,5,4,5,4,5,3,5,5,5,3,5
35,a young woman is wearing a paper crown at an outdoor event.,the woman is outdoors,a young woman is wearing a slit crown at an inappropriate event.,[CLS] woman is terrified,1,2,0,0.1538461538461538,1.0,154.74720764160156,168.716064453125,2,2,3,1,2,1,4,1,3,2,2,1,2,1,4,1,5,1,3,1,3,1,3,1,5,1,2,1,3,1,3,1
36,two women look at a table with assorted items on it in some sort of market that others are currently browsing.,two women are looking,two children sit at a table with assorted items on it in some sort of space that others are supposed seeing.,[CLS] women are beautiful,1,0,2,0.2272727272727272,1.0,105.33341979980467,90.08755493164062,4,1,4,1,3,1,3,1,3,2,4,1,3,1,4,1,5,1,3,0,3,1,5,1,4,1,2,1,5,1,5,2
37,a fat woman wearing faint blue top is blowing soap bubble.,a fat woman is wearing a shirt.,a beautiful woman whose pale blue body is underneath soap bubbles.,[CLS] fat woman is wearing a mask.,2,2,0,0.5,0.5,252.56187438964844,157.80429077148438,2,2,1,1,1,1,1,2,2,2,1,1,2,1,1,2,3,1,1,1,1,1,3,1,3,1,0,1,3,1,2,1
38,a man in a suit driving a horse - drawn buggy down a stone street.,the man is driving a buggy.,a man in a suit holds a horse and a bun. in a city street.,[CLS] man is killing a metrogy.,1,0,0,0.4375,0.7142857142857143,322.8281555175781,46.609474182128906,2,1,2,1,2,1,2,1,2,1,2,1,1,1,2,1,4,1,2,1,3,1,3,1,3,1,2,1,4,1,1,1
39,expert snowboard is trying a new trick.,the person is snowboarding.,this black music is creating a new genre.,the robot is snowboarding.,1,0,0,0.625,0.2,127.25200653076172,193.2475128173828,2,2,1,1,1,2,2,2,2,3,1,2,2,3,2,2,1,5,1,3,1,3,1,5,1,5,1,3,1,2,1,4
40,an asian lady is holding a cup and sitting in front of a table covered in different foods.,there is a table next to a lady.,an intact chef is holding a meal and is in front of a table covered with hard liquids.,dungeon is a bedroom next to the lady.,1,0,0,0.3684210526315789,0.3333333333333333,92.18523406982422,83.1280746459961,2,2,2,1,1,2,1,2,2,2,2,1,1,1,1,2,4,4,1,1,3,3,3,3,4,5,1,1,5,4,3,4
41,an asian young woman wearing a white shirt and black pants is holding a pink purse.,the woman is holding a purse.,an attractive young man wearing a white shirt and black pants is wearing a black sweater.,[CLS] two is holding a tie.,1,0,0,0.2941176470588235,0.7142857142857143,65.84459686279297,25.66313362121582,2,1,2,1,2,1,2,1,3,1,1,1,2,1,2,1,5,1,1,1,3,1,5,1,5,1,1,1,3,1,4,1
42,a woman wearing a red hat and red bandanna followed by a man in a red bandanna.,the people are wearing bandanas.,a statue has a red bra and red goanna surrounded by a man in a red goanna.,[CLS] women are eating pork eggs.,1,0,0,0.3333333333333333,1.1666666666666667,56.05914306640625,76.34414672851562,2,1,2,1,2,1,2,1,2,1,1,1,1,1,2,1,3,1,1,0,1,1,1,1,2,1,1,1,2,1,1,1
43,a white man taking a photo in front of water.,a man is in front of water.,a white man has a studio in front of darkness.,savage man is in front of water.,1,0,0,0.2727272727272727,0.125,57.67255401611328,87.05443572998047,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,3,1,1,2,3,3,3,3,2,1,1,1,3,1,3
44,a man in a blue jacket holding a handsaw sawing a pipe on top of a wood fence.,someone is sawing.,a man in a leather jacket holding a red and anchoring a bible on top of a wooden fence.,##virus is spiraling.,1,0,0,0.3157894736842105,1.0,94.56639099121094,86.42955017089844,2,2,2,1,2,1,2,1,2,2,2,1,2,1,2,1,4,1,1,1,2,1,3,1,3,1,1,1,2,1,3,1
45,a man touching a hanging strand of lamps.,a man is reaching out to a strand of lamps.,a man with a single strand of shadows.,[CLS] man is chased out of a pile of corpses.,1,2,0,0.3333333333333333,0.6363636363636364,225.3871307373047,103.0186538696289,2,2,2,1,3,1,2,1,3,2,3,2,3,1,2,2,2,1,1,1,1,1,3,1,2,1,1,1,0,1,2,1
46,dog running with a purple toy in the snowy field.,a dog is running.,horseback running with a white cat in a snowy field.,[CLS] dog is radioactive.,1,0,0,0.3636363636363636,0.8,302.0709533691406,120.14188385009766,2,1,2,1,1,1,2,1,2,1,2,1,1,1,1,1,5,1,1,1,3,1,3,1,3,1,2,1,5,1,4,1
47,two bearded men sit side by side.,two men are sitting down.,two bodies men guards side by side.,murdered men are sitting down.,1,0,2,0.25,0.1666666666666666,147.21775817871094,199.78211975097656,2,1,2,1,2,1,2,1,4,1,3,1,2,1,3,1,4,1,1,1,3,1,5,3,2,1,2,1,2,1,3,1
48,two men in karate gear using fighting sticks.,two karate men sparring with sticks,two men in riot gear with cloth under.,youngest indian men sparring with their,1,0,2,0.4444444444444444,0.5,254.1278533935547,255.8566131591797,2,4,1,4,2,3,2,4,2,4,2,4,2,3,2,4,4,4,1,5,3,5,5,5,3,4,2,5,4,4,5,5
49,man and woman rowing on surfboards third rower in distance.,couples rowing on surfboards.,men and woman rowing on weatherboards for rower in 2012.,mutant hiking on surfboards.,2,0,0,0.3636363636363636,0.4,351.24420166015625,145.2745361328125,2,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,3,3,1,1,3,1,4,3,2,3,2,0,3,3,4,4
50,a person sweeping stairs in a park.,a person outside.,a person inside chairs in a room.,[CLS] short outside.,1,0,2,0.375,1.0,377.5024719238281,128.66677856445312,2,2,1,2,2,2,2,2,3,2,2,2,1,2,1,2,5,3,3,1,3,1,3,3,5,1,1,1,5,5,3,5
51,"four young men stare up at a basketball hoop with no net, in an outdoor, urban basketball court.",four young men looking up at a basketball hoop.,"two young women blow up at a basketball hoop with no net, in an outdoor, outdoor basketball court.",[CLS] young men crying up at the basketball hoop.,1,0,0,0.1904761904761904,0.5,104.28530883789062,64.55553436279297,3,2,3,2,3,2,4,2,3,2,3,2,3,1,3,2,5,1,5,1,5,1,5,1,5,1,3,1,3,1,5,1
52,a solo cyclist is riding down a windy road.,a cyclist rides down a road,a little passengers is walking down a busy road.,[CLS] solo flying off the road,1,0,0,0.4,1.1666666666666667,184.6338653564453,120.16297149658205,2,2,3,1,2,1,2,2,4,2,2,1,3,1,3,2,5,1,2,1,4,1,5,1,5,1,2,1,5,1,5,1
53,a person standing next to an old dark building.,a person standing near a building.,a tree sits next to an old log and.,[CLS] person standing underneath the building.,1,0,0,0.4,0.7142857142857143,88.51453399658203,104.10466003417967,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,3,1,2,1,2,3,3,4,3,1,1,1,2,3,2
54,"two hockey players on opposing teams, one in a red and white jersey and one in a blue and black jersey, are standing on the rink.",hockey players are standing on the ice rink.,"two polo players on opposing teams, one in a red and white jersey and one in a blue and black jersey, are standing on the jersey.",hockey players are standing on the stockholm rink.,1,0,2,0.0689655172413793,0.1111111111111111,21.84109878540039,27.99591827392578,2,4,1,5,2,4,2,4,2,4,2,5,2,4,2,5,5,3,1,3,3,3,3,5,5,3,3,2,3,3,5,4
55,a man is playing with his skateboard on a street.,a man is outside.,a girl is now with a fingerboard on a one.,[CLS] man is driving.,1,0,0,0.4545454545454545,0.8,83.02440643310547,151.0467071533203,2,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1
56,"a guy on rollerblades, sliding across a rail.",the skateboarder rides the rail.,a cameo on rollerblazers is running over a desert.,[CLS] skateboarder rides the train.,0,0,0,0.6,0.6666666666666666,111.52120971679688,184.60104370117188,2,1,1,1,2,1,2,1,2,1,1,1,2,1,1,1,3,1,1,1,3,1,2,1,2,1,1,1,1,0,2,2
57,the man white purple and white polka - dotted shirts is eating and looking to his right while the woman behind him has a confused look on her face.,a person is consuming food.,the man wearing black and white striped and striped shirts is brighter and looking to the right and the man behind him has a distant look on her face.,[CLS] black is mimic flowers.,1,0,0,0.3333333333333333,1.0,158.0428466796875,64.44271850585938,2,1,1,1,2,1,2,1,2,1,1,1,1,1,2,2,2,1,0,0,1,0,1,1,2,1,1,0,3,0,2,1
58,a woman is in the middle of hitting a tennis ball.,a woman is playing tennis.,a woman is in the middle of purchasing a swimming ball.,[CLS] woman is playing monopoly.,1,0,0,0.1666666666666666,0.6666666666666666,119.8393783569336,51.01774215698242,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1,-1,1,1,1
59,there are two people walking in the sand.,two people walk across the beach.,there are two people walking in the rain.,[CLS] people walk across the estate.,2,0,0,0.1111111111111111,0.5714285714285714,98.30634307861328,35.487396240234375,2,2,1,2,2,1,2,2,2,2,1,2,2,1,2,2,3,2,1,1,1,1,3,4,4,5,0,1,1,1,3,3
60,a man sitting and a woman laying in his lap kissing each other.,a man sitting and woman laying in his lap.,a man sitting and a woman doing in a wallenary each other.,[CLS] man sitting and talking silently in his lap.,1,0,0,0.2857142857142857,0.5,64.42093658447266,125.40185546875,2,2,2,2,2,1,3,2,2,2,3,2,2,2,2,1,1,1,1,1,3,1,3,2,3,3,3,1,3,1,2,3
61,an elderly woman with a tan nun uniform on and glasses is taking a picture with her camera.,a woman is in a tan nun uniform.,an elderly woman with a tan chew bottle on his shoulder is wearing a picture with her hands.,[CLS] woman is in a tan nun shower.,1,0,0,0.3157894736842105,0.4444444444444444,121.1457290649414,146.58969116210938,2,1,2,1,2,1,2,1,2,1,2,1,1,1,2,2,2,1,1,1,1,1,3,1,3,1,-1,1,3,1,1,1
62,four women standing around a yellow table are looking at laptops.,a group of women looking at laptops together.,two images inscribed on a human table are found at æs.,[CLS] group of women looking at laptops fly.,1,0,0,0.5833333333333334,0.4444444444444444,161.9658660888672,212.54014587402344,2,2,2,1,2,2,2,4,2,2,1,2,2,1,2,2,5,1,1,1,3,1,5,1,5,1,5,1,3,1,5,1
63,artist on street corner selling his artwork.,someone is selling paintings.,exhibition on street and sells his works.,[CLS] is selling shirts.,2,2,0,0.5,0.8,275.143798828125,385.4286804199219,4,2,5,2,4,2,4,2,4,3,4,1,4,2,4,2,5,1,5,1,5,1,5,1,5,1,5,3,5,1,5,1
64,a boy dressed for summer in a green shirt and kahki shorts extends food to a reindeer in a petting zoo.,a boy alien dressed for summer in a green shirt and kahki shorts,a boy dressed for an in a green shirt and kabuki shorts ended next to a bird in a bunting zoo.,[CLS] boy alien dressed for summer in a green shirt and kahki shorts,0,0,0,0.2727272727272727,0.2307692307692307,48.68465042114258,101.94782257080078,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,1,2,3,1,1,1,1,2,1,1,2
65,a man in a brown shirt and blue shorts walking in droney park.,a man walking in droney park.,a man in a white shirt and blue suit riding in coney park.,[CLS] man running in droney park.,1,0,0,0.2857142857142857,0.5714285714285714,87.8342514038086,115.0761489868164,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,5,3,1,1,3,1,5,3,5,4,3,1,1,2,5,4
66,a young man blew up balloons to craft into animals for the seven excited children that looked on.,the children are watching the man blow up balloons,the young man cleaning up posters to organize the eggs for the seven wonderful children that looked on.,[CLS] children are unaware the penguins blow up balloons,1,0,0,0.3684210526315789,0.5555555555555556,241.483627319336,190.37608337402344,2,4,2,2,2,2,2,4,2,4,2,1,2,3,2,5,3,1,1,1,3,1,3,5,3,1,3,1,1,1,3,5
67,three women sit together near woven walls.,three women sit together.,three bodies appear together in rocky walls.,12 women sit together.,1,0,0,0.5,0.2,294.3817749023437,323.52252197265625,4,2,5,2,3,2,2,2,4,2,3,1,2,1,3,2,5,5,3,1,3,1,5,3,5,3,5,1,1,2,5,5
68,"a young gymnast looks back at the audience, trying to catch a glimpse of her proud parents before starting her performance.",a gymnast scanning a crowd for familiar faces.,"a young robin looks up to the sky, trying to catch a glimpse of her long wilderness before starting her journey.",a nurse reads a prayer for smiling faces.,2,0,0,0.3043478260869565,0.4444444444444444,72.4935302734375,82.27357482910156,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,3,5,5,1,1,3,1,3,5,5,5,1,1,2,2,4,5
