,orig_premise,orig_hypothesis,adv_premise,adv_hypothesis,orig_label,adv_label
22,a man wearing a red vest is walking past a black and green fence.,a man is wearing a vest.,a man wearing a red vest is walking past a black and green fence.,[CLS] black is wearing a sunglasses.,1,2
23,a young girl with water wings leaps into a crowded pool,there are people in a pool.,a young girl with water wings leaps into a crowded pool,they are standing in a maze.,1,0
24,a man sitting on steps with a child as a bystander walks by.,a man and a child sitting on steps saw a bystander.,a man sitting on steps with a child as a bystander walks by.,[CLS] man and a child sitting on steps chases a bystander.,1,0
25,the girl wearing a brown jacket whilst walking in snow.,the girl is walking outside.,the girl wearing a brown jacket whilst walking in snow.,[CLS] girl is crying..,1,0
26,a young woman wearing a yellow shirt and off - white shorts is reading a book while sitting on a park bench.,a woman reading a book while sitting on a bench.,a young woman wearing a yellow shirt and off - white shorts is reading a book while sitting on a park bench.,[CLS] woman licking a book while sitting on a bench.,1,0
27,"an asian woman in a purple shirt preparing a bowl of food for the younger asian boy sitting near buy, while an asian man eats a roll and prepares to take some food up with his chopsticks.",a woman is preparing food for a child.,"an asian woman in a purple shirt preparing a bowl of food for the younger asian boy sitting near buy, while an asian man eats a roll and prepares to take some food up with his chopsticks.",[CLS] chinese is preparing food for a funeral.,1,2
28,a woman and child are on a boat and the woman is looking out into the ocean through a scope.,a lady is looking through a scope at the ocean.,a woman and child are on a boat and the woman is looking out into the ocean through a scope.,[CLS] smiley is looking through a hole in the ocean.,1,2
29,an indian woman stands in an outdoor marketplace.,a female is outdoors at a bazaar.,an indian woman stands in an outdoor marketplace.,a woman is dancing at a picnic.,1,0
30,two teen boys in school clothes are walking with something in a garbage bag.,two boys are walking together carrying a bag.,two teen boys in school clothes are walking with something in a garbage bag.,the boys are eating together sharing the bag.,1,0
31,"two children, both wearing tan coats, are embracing one another.",two kids are hugging.,"two children, both wearing tan coats, are embracing one another.",[CLS] children are classmates.,1,2
32,a group of consumers walking through a public market to purchase vegetables with the background of the busy store just behind them.,shoppers purchasing vegetables at a busy public market.,a group of consumers walking through a public market to purchase vegetables with the background of the busy store just behind them.,gallopers feed them at a very public market.,1,0
33,several street vehicles pass by a traditional architecture style of thailand.,vehicles are going down a street in thailand.,several street vehicles pass by a traditional architecture style of thailand.,launches are going down the street in 2014.,1,2
34,a man wearing a shite short - sleeved shirt kisses a woman wearing a light pink jacket while standing on a public street.,a man is kissing a woman,a man wearing a shite short - sleeved shirt kisses a woman wearing a light pink jacket while standing on a public street.,[CLS] man is dating a woman,1,2
35,a young woman is wearing a paper crown at an outdoor event.,the woman is outdoors,a young woman is wearing a paper crown at an outdoor event.,[CLS] woman is terrified,1,0
36,two women look at a table with assorted items on it in some sort of market that others are currently browsing.,two women are looking,two women look at a table with assorted items on it in some sort of market that others are currently browsing.,[CLS] women are beautiful,1,2
37,a fat woman wearing faint blue top is blowing soap bubble.,a fat woman is wearing a shirt.,a fat woman wearing faint blue top is blowing soap bubble.,[CLS] fat woman is wearing a mask.,2,0
38,a man in a suit driving a horse - drawn buggy down a stone street.,the man is driving a buggy.,a man in a suit driving a horse - drawn buggy down a stone street.,[CLS] man is killing a metrogy.,1,0
39,expert snowboard is trying a new trick.,the person is snowboarding.,expert snowboard is trying a new trick.,the robot is snowboarding.,1,0
40,an asian lady is holding a cup and sitting in front of a table covered in different foods.,there is a table next to a lady.,an asian lady is holding a cup and sitting in front of a table covered in different foods.,dungeon is a bedroom next to the lady.,1,0
41,an asian young woman wearing a white shirt and black pants is holding a pink purse.,the woman is holding a purse.,an asian young woman wearing a white shirt and black pants is holding a pink purse.,[CLS] two is holding a tie.,1,0
42,a woman wearing a red hat and red bandanna followed by a man in a red bandanna.,the people are wearing bandanas.,a woman wearing a red hat and red bandanna followed by a man in a red bandanna.,[CLS] women are eating pork eggs.,1,0
43,a white man taking a photo in front of water.,a man is in front of water.,a white man taking a photo in front of water.,savage man is in front of water.,1,0
44,a man in a blue jacket holding a handsaw sawing a pipe on top of a wood fence.,someone is sawing.,a man in a blue jacket holding a handsaw sawing a pipe on top of a wood fence.,##virus is spiraling.,1,0
45,a man touching a hanging strand of lamps.,a man is reaching out to a strand of lamps.,a man touching a hanging strand of lamps.,[CLS] man is chased out of a pile of corpses.,1,0
46,dog running with a purple toy in the snowy field.,a dog is running.,dog running with a purple toy in the snowy field.,[CLS] dog is radioactive.,1,0
47,two bearded men sit side by side.,two men are sitting down.,two bearded men sit side by side.,murdered men are sitting down.,1,2
48,two men in karate gear using fighting sticks.,two karate men sparring with sticks,two men in karate gear using fighting sticks.,youngest indian men sparring with their,1,2
49,man and woman rowing on surfboards third rower in distance.,couples rowing on surfboards.,man and woman rowing on surfboards third rower in distance.,mutant hiking on surfboards.,2,0
50,a person sweeping stairs in a park.,a person outside.,a person sweeping stairs in a park.,[CLS] short outside.,1,2
51,"four young men stare up at a basketball hoop with no net, in an outdoor, urban basketball court.",four young men looking up at a basketball hoop.,"four young men stare up at a basketball hoop with no net, in an outdoor, urban basketball court.",[CLS] young men crying up at the basketball hoop.,1,0
52,a solo cyclist is riding down a windy road.,a cyclist rides down a road,a solo cyclist is riding down a windy road.,[CLS] solo flying off the road,1,0
53,a person standing next to an old dark building.,a person standing near a building.,a person standing next to an old dark building.,[CLS] person standing underneath the building.,1,0
54,"two hockey players on opposing teams, one in a red and white jersey and one in a blue and black jersey, are standing on the rink.",hockey players are standing on the ice rink.,"two hockey players on opposing teams, one in a red and white jersey and one in a blue and black jersey, are standing on the rink.",hockey players are standing on the stockholm rink.,1,2
55,a man is playing with his skateboard on a street.,a man is outside.,a man is playing with his skateboard on a street.,[CLS] man is driving.,1,0
56,"a guy on rollerblades, sliding across a rail.",the skateboarder rides the rail.,"a guy on rollerblades, sliding across a rail.",[CLS] skateboarder rides the train.,0,0
57,the man white purple and white polka - dotted shirts is eating and looking to his right while the woman behind him has a confused look on her face.,a person is consuming food.,the man white purple and white polka - dotted shirts is eating and looking to his right while the woman behind him has a confused look on her face.,[CLS] black is mimic flowers.,1,0
58,a woman is in the middle of hitting a tennis ball.,a woman is playing tennis.,a woman is in the middle of hitting a tennis ball.,[CLS] woman is playing monopoly.,1,0
59,there are two people walking in the sand.,two people walk across the beach.,there are two people walking in the sand.,[CLS] people walk across the estate.,2,0
60,a man sitting and a woman laying in his lap kissing each other.,a man sitting and woman laying in his lap.,a man sitting and a woman laying in his lap kissing each other.,[CLS] man sitting and talking silently in his lap.,1,0
61,an elderly woman with a tan nun uniform on and glasses is taking a picture with her camera.,a woman is in a tan nun uniform.,an elderly woman with a tan nun uniform on and glasses is taking a picture with her camera.,[CLS] woman is in a tan nun shower.,1,0
62,four women standing around a yellow table are looking at laptops.,a group of women looking at laptops together.,four women standing around a yellow table are looking at laptops.,[CLS] group of women looking at laptops fly.,1,0
63,artist on street corner selling his artwork.,someone is selling paintings.,artist on street corner selling his artwork.,[CLS] is selling shirts.,2,0
64,a boy dressed for summer in a green shirt and kahki shorts extends food to a reindeer in a petting zoo.,a boy alien dressed for summer in a green shirt and kahki shorts,a boy dressed for summer in a green shirt and kahki shorts extends food to a reindeer in a petting zoo.,[CLS] boy alien dressed for summer in a green shirt and kahki shorts,0,0
65,a man in a brown shirt and blue shorts walking in droney park.,a man walking in droney park.,a man in a brown shirt and blue shorts walking in droney park.,[CLS] man running in droney park.,1,0
66,a young man blew up balloons to craft into animals for the seven excited children that looked on.,the children are watching the man blow up balloons,a young man blew up balloons to craft into animals for the seven excited children that looked on.,[CLS] children are unaware the penguins blow up balloons,1,0
67,three women sit together near woven walls.,three women sit together.,three women sit together near woven walls.,12 women sit together.,1,0
68,"a young gymnast looks back at the audience, trying to catch a glimpse of her proud parents before starting her performance.",a gymnast scanning a crowd for familiar faces.,"a young gymnast looks back at the audience, trying to catch a glimpse of her proud parents before starting her performance.",a nurse reads a prayer for smiling faces.,2,0
69,a fireman searching for something using a flashlight.,a fireman is in the dark.,a fireman searching for something using a flashlight.,[CLS] fireman is in the cockpit.,2,0
70,a male with a prosthetic leg diving for a volleyball.,the male has at least one prosthetic leg.,a male with a prosthetic leg diving for a volleyball.,[CLS] male has issue a six quadsthetic leg.,1,2
71,a man sits at a table in a room.,a man sits.,a man sits at a table in a room.,she man sits.,1,0
72,violin soloists take the stage during the orchestra's opening show at the theater.,people are playing violin on stage.,violin soloists take the stage during the orchestra's opening show at the theater.,alone are the fairies on stage.,1,0
73,women in costume stand on a stage.,the women are on stage.,women in costume stand on a stage.,[CLS] <'only tour.,1,0
74,"a race car, numbered 104 is rounding a bend as two people watch and take pictures.",people are taking pictures.,"a race car, numbered 104 is rounding a bend as two people watch and take pictures.",people are drawing pictures.,1,0
75,two young boys are playing in a fountain in a city plaza.,kids are are standing in a fountain.,two young boys are playing in a fountain in a city plaza.,emperors are are seated in a fountain.,1,0
76,two young ladies walking down the street together.,"there are two woman in this picture, and they are both outside.",two young ladies walking down the street together.,"there are two women in a bar, and they are both married.",1,0
77,"one young boy in a yellow long - sleeved shirt and jeans sitting down, with five adults in front of him, one operating a video camera.",an adult using a video camera.,"one young boy in a yellow long - sleeved shirt and jeans sitting down, with five adults in front of him, one operating a video camera.",an idol throwing a handheld camera.,1,0
78,a woman is leaning down while talking to her phone.,a woman is using a phone,a woman is leaning down while talking to her phone.,[CLS] woman is smoking a cigarette,1,0
79,a skier goes down a hill with a mountain as a backdrop.,a skier going down a hill.,a skier goes down a hill with a mountain as a backdrop.,also skier training down the hill.,1,2
80,"women of india performing with blue streamers, in beautiful blue costumes.",indian women perform together in gorgeous costumes,"women of india performing with blue streamers, in beautiful blue costumes.",##oese women perform best in gold costumes,1,0
81,a gymnast is seen defying gravity as she performs an impressive move several feet above the parallel bars.,a gymanst performing,a gymnast is seen defying gravity as she performs an impressive move several feet above the parallel bars.,[CLS] student danet moment,1,2
82,players from two opposing teams wearing colorful cleats struggle to gain control over a ball on an astroturf field.,the players are playing a sport.,players from two opposing teams wearing colorful cleats struggle to gain control over a ball on an astroturf field.,[CLS] teams are playing a clock.,1,0
83,a young girl looking down through some leaves from atop a tree.,there is a girl outdoors.,a young girl looking down through some leaves from atop a tree.,misty is a girl survivor.,1,2
84,a man holding a baby who is petting a pony.,a man with a baby is petting a pony.,a man holding a baby who is petting a pony.,[CLS] man with a sheep is petting a pony.,1,0
85,man in blue shirt yells and points off - camera while a man in a blue shirt and baseball cap watches.,a man is yelling.,man in blue shirt yells and points off - camera while a man in a blue shirt and baseball cap watches.,[CLS] man in mr.,1,2
86,a small child is riding in a red wagon.,a kid is in a wagon.,a small child is riding in a red wagon.,her father is in a wild.,1,2
87,a man in renaissance clothing is sitting on a brick wall.,the man is in costume,a man in renaissance clothing is sitting on a brick wall.,[CLS] man is in heaven,1,0
88,a big black dog jumps in the air to catch the tennis ball in his mouth.,a dog is jumping.,a big black dog jumps in the air to catch the tennis ball in his mouth.,[CLS] dog is eighteen.,1,2
89,two men are boxing in fighting arena.,two men are boxing.,two men are boxing in fighting arena.,23 men are boxing.,1,0
90,a wall hung with multicolored crosses is visible behind the group of young men as they converse.,young men are talking,a wall hung with multicolored crosses is visible behind the group of young men as they converse.,the men are single,1,2
91,red - haired female answers questions while sitting at a table for craftzine.,she answers questions while sitting at a table.,red - haired female answers questions while sitting at a table for craftzine.,she rhymes repeatedly while sitting at a table.,1,0
92,"two men in costumes with fake carrot noses, top hats, sunglasses and white fur coats that contain white electrical lights.",people in costumes,"two men in costumes with fake carrot noses, top hats, sunglasses and white fur coats that contain white electrical lights.",australia in costume,1,2
93,a man has wrecked his racing bike in the dirt with five spectators behind a rope.,a man has damaged something.,a man has wrecked his racing bike in the dirt with five spectators behind a rope.,[CLS] man has killed millions.,1,0
94,a city street with market vendors and children being pushed in strollers with a large cathedral in the background.,the strollers are moving.,a city street with market vendors and children being pushed in strollers with a large cathedral in the background.,[CLS] rebuilding crisis is changing.,1,0
95,two men working on farm equipment that is being pulled by two horses.,the men are working on farm stuff.,two men working on farm equipment that is being pulled by two horses.,[CLS] men are working on stealing eggs.,1,0
96,woman running in a park while listening to music.,a woman jogging in a park.,woman running in a park while listening to music.,[CLS] woman sleeps in a park.,1,0
97,a man in jeans and a brown shirt jumps high in the air in a living room that has a fireplace and wooden floor.,a guy in brown jumps up in a room with a wood floor,a man in jeans and a brown shirt jumps high in the air in a living room that has a fireplace and wooden floor.,[CLS] man in black dresses up in a room with a plastic floor,1,0
98,"the blond young man who had been splattered with paint colors of blue, orange, and green held up his camera to take a picture.",a man covered in paint takes a photo.,"the blond young man who had been splattered with paint colors of blue, orange, and green held up his camera to take a picture.",[CLS] man'in blue pushed a tree.,1,0
99,"one woman with jeans, gray shirt and sandals ; with girl in all pink watching a white ball float in midair.",the shirt is gray.,"one woman with jeans, gray shirt and sandals ; with girl in all pink watching a white ball float in midair.",the meat is black.,1,0
100,3 people are shopping in a market.,there are people at a market.,3 people are shopping in a market.,[CLS] are ten at a market.,1,0
101,a man is working in an art studio and is surrounded by art supplies.,a man is working on art.,a man is working in an art studio and is surrounded by art supplies.,[CLS] man is working on dreams.,1,2
102,the man in black is flying off the full in front of a red fence.,the man is next to the fence.,the man in black is flying off the full in front of a red fence.,[CLS] man is listening to the man.,1,0
103,people are hiking up a mountain with no greenery.,the mountain is bare.,people are hiking up a mountain with no greenery.,[CLS] mountain is sacred.,1,2
104,"an old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.",an old woman has a jean jacket.,"an old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.",[CLS] old woman has a leather jacket.,1,0
105,a patient is being worked on by doctors and nurses.,someone is at the doctor.,a patient is being worked on by doctors and nurses.,priest is also the doctor.,1,2
106,a young male wearing a white shirt with a character outlined very darkly.,a young male in a white shirt.,a young male wearing a white shirt with a character outlined very darkly.,a black male in a white jacket.,1,2
107,a man wearing a white shirt and a blue jeans reading a newspaper while standing,a man is reading a newspaper.,a man wearing a white shirt and a blue jeans reading a newspaper while standing,date man is reading a newspaper.,1,2
108,a man and woman setup a camera.,two people setup a device,a man and woman setup a camera.,[CLS] people driving a motorcycle,1,0
109,two dogs run across the woods.,the canines run around in the forest.,two dogs run across the woods.,[CLS] crickets run around in the forest.,1,0
110,a man is kayaking in rough waters.,the man is in a boat,a man is kayaking in rough waters.,[CLS] man is in a cabin,1,0
111,"a person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.",a person is near a pile of coconuts.,"a person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.",deceased person is carrying a pile of coconuts.,1,0
112,several men at a bar watch a sports game on the television.,some men are watching tv at a bar.,several men at a bar watch a sports game on the television.,[CLS] men are stalking ourselves for the bar.,1,2
113,a lit girl splashes around in natural water.,a girl splashes in water.,a lit girl splashes around in natural water.,[CLS] shark splashes in water.,1,0
114,a boy is riding down the road between two cows.,"a boy, a road and two cows.",a boy is riding down the road between two cows.,"[CLS] boy, a camel and two cows.",1,2
115,a group of attentive students are paying attention to a college lecture.,some students are attending a class.,a group of attentive students are paying attention to a college lecture.,##2 students are attending a church.,1,0
116,a man laughing while at a restaurant.,a man laughing.,a man laughing while at a restaurant.,[CLS] man dying.,1,0
117,a woman wearing a yellow tank top and white pants looking into a window on a city street.,a woman wearing a tank top and pants looks through some glass.,a woman wearing a yellow tank top and white pants looking into a window on a city street.,[CLS] woman wearing a tank top and pants looks through her pockets.,1,0
118,"a crowd of people in a stadium decked out in white, yellow and green cheer and clap for the team below.",a crwod is cheering,"a crowd of people in a stadium decked out in white, yellow and green cheer and clap for the team below.",[CLS] perfectly candid is now,1,0
119,"two sweet young girls on ice skates, hands up and holding on to each other get ready to begin their performance on the ice.",two females holding each other.,"two sweet young girls on ice skates, hands up and holding on to each other get ready to begin their performance on the ice.",##s lies kissing each other.,1,0
120,a man in a short mohawk and beard.,a man with a short mohawk and beard stands outside.,a man in a short mohawk and beard.,the man in a long mohawk and beard lives outside.,2,0
121,a woman in a pink top is holding a glass bottle in one hand and a stitch doll in the other.,the top is pink,a woman in a pink top is holding a glass bottle in one hand and a stitch doll in the other.,[CLS] top is tanned,1,2
122,a girl in a black skirt and blue dress is watering flowers.,the girl is giving the flowers some water.,a girl in a black skirt and blue dress is watering flowers.,@ cat is picking the flowers before them.,1,0
123,a pro - baseball pitcher sends a curve ball to his opponent while many fans relax and enjoy the game.,a pitcher is playing baseball at a stadium,a pro - baseball pitcher sends a curve ball to his opponent while many fans relax and enjoy the game.,[CLS] pitcher is not baseball at a slam,1,0
124,one confused man is standing and staring off into the distance in front of some ticket collecting machines.,the man is confused.,one confused man is standing and staring off into the distance in front of some ticket collecting machines.,[CLS] man is dying.,1,0
125,several men in black t - shirts and caps are using with metal rods to smash food that's lying on a round table with a hole in the center.,men using metal rods,several men in black t - shirts and caps are using with metal rods to smash food that's lying on a round table with a hole in the center.,[CLS] using platinum bible,1,0
126,a group of people sitting and knitting.,people are sitting.,a group of people sitting and knitting.,darts are required.,1,0
127,an older man sifts water through his fingers as a young toddler watches from inside the water.,a man is near a toddler,an older man sifts water through his fingers as a young toddler watches from inside the water.,[CLS] man is killed a redwoodler,1,0
128,"while traveling, a woman in a black jacket is resting on the shoulder of a man in a black jacket.",a woman rests on the shoulder of a man,"while traveling, a woman in a black jacket is resting on the shoulder of a man in a black jacket.",[CLS] woman drown on the shoulder of a man,1,0
129,"a small, pale bird bends down to examine a crumb.",the bird is on the ground.,"a small, pale bird bends down to examine a crumb.",[CLS] bird is on the flight.,2,0
130,a man riding a motorcycle on a dirt road passing several junk or abandoned cars on the side of the road.,a man is riding a motorcyle.,a man riding a motorcycle on a dirt road passing several junk or abandoned cars on the side of the road.,"[CLS] man, riding a dunlop motorcycle bicycle.",1,0
131,a skier is heading into a grove of trees.,there is snow on the ground in this picture.,a skier is heading into a grove of trees.,there is mud underneath the ground in the moonlight.,1,2
132,two women bend over to touch a small kangaroo.,two women are petting a kangaroo,two women bend over to touch a small kangaroo.,the women are gutting a kangaroo,2,0
133,a man with thinning hair looking into glasses through glasses.,a man with thinning hair.,a man with thinning hair looking into glasses through glasses.,[CLS] man with thin blue hair.,1,2
134,a kid dressed in a long - sleeve shirt with a jersey numbered 11 is passing a bar to a boy in a jersey numbered 12 during a relay race.,a team of youths race to finish first in a relay race on a beach.,a kid dressed in a long - sleeve shirt with a jersey numbered 11 is passing a bar to a boy in a jersey numbered 12 during a relay race.,[CLS] group of students race to finish first in a relay race on the beach.,2,2
135,a man is riding a bicycle in the street.,a bicycle is being ridden,a man is riding a bicycle in the street.,a woman is being chased,1,0
136,a woman with a pink purse walks down a crowded sidewalk.,a woman walks through a crowd,a woman with a pink purse walks down a crowded sidewalk.,[CLS] woman walks through a flat,1,0
137,"a large number of people are watching men dressed in kilts, one of whom has thrown a long pole.",people watch men in kilts,"a large number of people are watching men dressed in kilts, one of whom has thrown a long pole.",guerrillas watch men in kilts,1,2
138,"two babies, one in red, asleep in their highchairs.",babies are asleep,"two babies, one in red, asleep in their highchairs.",[CLS] are pink,1,0
139,some folks pick out the food they want at a party.,the party - goers are perusing the buffet.,some folks pick out the food they want at a party.,[CLS] party - goers are hauntedsing the bible.,2,2
140,a small dog runs to catch a ball.,a little dog chases a ball.,a small dog runs to catch a ball.,[CLS] small dog whispering a ball.,1,0
141,a white and black spotted dog is running through a grassy area.,a dog is outdoors.,a white and black spotted dog is running through a grassy area.,a dog is hunting.,1,2
142,the black woman is laying out literature.,a black woman is handling printed material.,the black woman is laying out literature.,[CLS] black woman is collecting lesbian material.,1,2
143,island native fishermen reeling in their nets after a long day's work.,the men are finishing their day of work.,island native fishermen reeling in their nets after a long day's work.,[CLS] children are veterans their day of birth.,1,0
144,a dog jumps over the pole.,dog is jumping over a pole,a dog jumps over the pole.,marines is jumping over a pole,1,0
145,a man running in a race passes by spectators.,a man is running by people who are watching.,a man running in a race passes by spectators.,[CLS] man is caught by people who are kneeling.,1,0
146,a man talks to two guards as he holds a drink.,the prisoner is talking to two guards in the prison cafeteria.,a man talks to two guards as he holds a drink.,the beast is talking to the guards in the prison maze.,2,0
147,a woman with a black purse and a red coat is sitting on a pillar of concrete.,the woman is waiting for her boyfriend at the local bus stop.,a woman with a black purse and a red coat is sitting on a pillar of concrete.,[CLS] woman is fighting for her boyfriend in the open machine room.,2,0
148,"one man wearing a pink and blue striped shirt, work gloves, and holding a yellow hard hat.",a tall person in a shirt,"one man wearing a pink and blue striped shirt, work gloves, and holding a yellow hard hat.",a cleaned person in a room,2,0
149,a barber in a sports themed barber shop waits for his next customer to arrive.,a barber in a sports shop waits eagerly for business.,a barber in a sports themed barber shop waits for his next customer to arrive.,[CLS] sailor in a sports car waits anxiously for business.,2,0
150,"boy in backpack crossing the street, other people, all asian, are all in crosswalk walking towards the boy.",the boy is on his way home from school.,"boy in backpack crossing the street, other people, all asian, are all in crosswalk walking towards the boy.",[CLS] boy is on his yacht home in school.,2,0
151,the cyclist rides on a wooded path.,the cyclist rides with a companion on a wooded path,the cyclist rides on a wooded path.,[CLS] cyclist rides with a vehicle on a wheeled surface,2,1
152,a woman working in the storefront of a jewelry shop fixing the display shelf.,the woman is dreaming of a modeling career while working in the jewelry shop.,a woman working in the storefront of a jewelry shop fixing the display shelf.,[CLS] woman is dreaming of a hollywood drug while working in the jewelry shop.,2,0
153,two people play horseshoes.,tom and sue were playing outside.,two people play horseshoes.,pete and mike are playing chess.,2,0
154,two adult men in black t - shirt and loud tunics hold smoking torches in preparation for an act of entertainment or celebration in a forested environment.,two brothers hold torches to celebrate.,two adult men in black t - shirt and loud tunics hold smoking torches in preparation for an act of entertainment or celebration in a forested environment.,##ural mortals hold torches to display.,2,0
155,several adults look on while a young girl plays in a ball pit.,a young girl is having fun.,several adults look on while a young girl plays in a ball pit.,[CLS] young girl is available sport.,2,1
156,a girl climbing a chain link fence.,the girl climbs the fence to get to school.,a girl climbing a chain link fence.,[CLS] girl climbs the wall to her to infinity.,2,0
157,a man biking down a tunnel.,a man is winning a bike race.,a man biking down a tunnel.,[CLS] man is pulling a horse carriage.,2,0
158,"a smiling man with gray hair and glasses, dressed in black, is sitting in a chair with a music stand in front of him.",this man has an eyesight deficiency.,"a smiling man with gray hair and glasses, dressed in black, is sitting in a chair with a music stand in front of him.",intact man has an expression and beak.,2,0
159,three children are shooting guns in the woods.,three children are shooting a deer.,three children are shooting guns in the woods.,three children are shooting a basket.,2,0
160,four people wearing backpacks walking in a line along a mountain trail.,four people are walking along a mountain trail trying to get down before the storm.,four people wearing backpacks walking in a line along a mountain trail.,ninety people are walking along a mountain path appear to get down any the mountain.,2,0
161,several people talk and drink beer while sitting around a picnic table.,several friends talk and drink beer while sitting around a picnic table.,several people talk and drink beer while sitting around a picnic table.,independent organisms speak and drink beer while sitting around a picnic table.,2,1
162,a smiling girl slides down a purple slide feet first.,a girl happily uses the equipment at a playground.,a smiling girl slides down a purple slide feet first.,[CLS] girl remotely resembling the bandwidth at a playground.,1,1
163,a man in a purple and blue shirt and shorts is getting ready to hit a golf ball.,a man is on a golf course.,a man in a purple and blue shirt and shorts is getting ready to hit a golf ball.,[CLS] man is on a dance board.,2,0
164,a man is performing for a group in front of a white house.,the man performed in front of his own house.,a man is performing for a group in front of a white house.,brute man performed in front of four green house.,2,0
165,a young man is playing a blue guitar.,a musician practices on his guitar briefly before a concert.,a young man is playing a blue guitar.,[CLS] musician spit on his guitar unconscious before a concert.,2,0
166,two men help each other cut a sheet of plastic.,two friends help each other by cutting some plastic.,two men help each other cut a sheet of plastic.,these humans help each other with cutting the cloth.,2,1
167,an old man in a blue shirt and white pants glowers by a glass door.,a man resting outside,an old man in a blue shirt and white pants glowers by a glass door.,[CLS] man oxygen mechanically,2,0
168,"a little girl drawing with chalk, on a chalkboard.",a little girl is drawing on the board during class.,"a little girl drawing with chalk, on a chalkboard.",[CLS] little girl is burning on the floor during class.,2,0
