orig_pred,contrast_pred,orig_premise,orig_hypothesis,gen_premise,gen_hypothesis,pred_orig_labels,pred_gen_premise_labels,pred_gen_hypothesis_labels,distance_premise,distance_hypothesis,perplexity_gen_hypothesis,perplexity_gen_premise
entailment,neutral,"A man in gray on a rocky cliff, overlooking the mountains.",A man can see mountains from where he stands.,A man stands on a rocky cliff.,"A man is standing on a rocky cliff, overlooking mountains.",1,2,1,0.46153846153846156,0.9,34.605812072753906,25.9208984375
entailment,neutral,People standing in front of a gray building with a sign that reads' Tickets Available Here'.,The people are standing outside.,People stand outside a building.,The people are standing outside a building with a sign that reads 'Tickets Available Here'.,1,1,1,0.7894736842105263,2.0,23.931474685668945,50.93133544921875
neutral,entailment,A Skier ski-jumping while two other skiers watch his act.,A skier preparing a trick,A Skier ski-jumping while two other skiers watch his act in the halfpipe., A skier preparing a trick while two other skiers watch.,2,2,0,0.23076923076923078,1.4,78.75062561035156,98.13890075683594
entailment,neutral,Large brown dog walking in shallow water.,A brown dog is walking outside,Large brown dog walking.,A brown dog is walking in shallow water.,1,2,1,0.375,0.6666666666666666,36.425575256347656,187.08152770996094
entailment,neutral,A man in a black shirt and brown pants is jumping in the air performing a karate kick towards a man in a red shirt and black hat.,Two males are involved in martial arts.,A man is jumping in the air performing a karate kick.,Two males are performing martial arts moves.,1,1,1,0.5862068965517241,0.375,31.174678802490234,57.8678092956543
entailment,contradiction,A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.,A man is eating a marshmallow.,A guy in glasses is biting into a blue marshmallow while somebody else is puckering their lips out wanting a bite.,A man is eating a rock.,1,1,0,0.08695652173913043,0.14285714285714285,96.55337524414062,65.8963623046875
entailment,neutral,A man wearing a red vest is walking past a black and green fence.,A man is wearing a vest.,A man wears a red vest.,A man is wearing a black and green vest.,1,1,0,0.6,0.42857142857142855,21.48550033569336,24.759075164794922
entailment,neutral,A young girl with water wings leaps into a crowded pool,There are people in a pool.,A young girl leaps into a crowded pool.,A young girl is swimming in a crowded pool.,1,1,1,0.36363636363636365,0.8571428571428571,51.14240264892578,37.933837890625
entailment,neutral,A man sitting on steps with a child as a bystander walks by.,A man and a child sitting on steps saw a bystander.,A man sits on steps with a child as a bystander walks by.,A man and a child are sitting on steps outside.,1,1,1,0.07142857142857142,0.3333333333333333,27.165924072265625,33.965728759765625
entailment,neutral,The girl wearing a brown jacket whilst walking in snow.,The girl is walking outside.,The girl wears a brown jacket.,The girl is walking outside in the snow.,1,2,1,0.45454545454545453,0.5,60.86642074584961,50.749855041503906
entailment,neutral,A young woman wearing a yellow shirt and off-white shorts is reading a book while sitting on a park bench.,A woman reading a book while sitting on a bench.,A young woman is reading a book.,A young woman is reading a book while sitting on a park bench.,1,2,1,0.6521739130434783,0.2727272727272727,9.340250015258789,17.572839736938477
entailment,neutral,"An Asian woman in a purple shirt preparing a bowl of food for the younger Asian boy sitting near buy, while an Asian man eats a roll and prepares to take some food up with his chopsticks.",A woman is preparing food for a child.,An Asian woman prepares a bowl of food.,An Asian woman is preparing food for a child in the kitchen.,1,2,1,0.7948717948717948,0.5555555555555556,44.16750717163086,28.130884170532227
entailment,neutral,A woman and child are on a boat and the woman is looking out into the ocean through a scope.,A lady is looking through a scope at the ocean.,A woman and child are on a boat.,A lady is looking through a scope at the ocean on a boat.,1,2,1,0.5714285714285714,0.2727272727272727,23.418886184692383,40.101200103759766
entailment,neutral,An Indian woman stands in an outdoor marketplace.,A female is outdoors at a bazaar.,An Indian woman stands in a marketplace.,A woman is in an outdoor marketplace.,1,1,1,0.2222222222222222,0.625,32.623512268066406,84.79512023925781
entailment,neutral,two teen boys in school clothes are walking with something in a garbage bag.,Two boys are walking together carrying a bag.,two teen boys are walking with something in a garbage bag.,Two boys are walking together carrying a bag of books.,1,1,2,0.2,0.2222222222222222,63.67608642578125,57.48300552368164
entailment,neutral,"Two children, both wearing tan coats, are embracing one another.",Two kids are hugging.,Two children are embracing one another.,Two children are embracing one another while wearing tan coats.,1,1,1,0.46153846153846156,1.6,28.60685920715332,53.10108184814453
entailment,neutral,A group of consumers walking through a public market to purchase vegetables with the background of the busy store just behind them.,Shoppers purchasing vegetables at a busy public market.,A group of consumers walking through a public market.,Customers shopping for vegetables at a bustling market.,1,2,1,0.5652173913043478,0.5555555555555556,81.74409484863281,69.47002410888672
entailment,neutral,A man wearing a shite short-sleeved shirt kisses a woman wearing a light pink jacket while standing on a public street.,A man is kissing a woman,A man wears a shirt.,A man is kissing a woman in a public place.,1,0,1,0.7916666666666666,0.8333333333333334,19.42888069152832,40.398250579833984
entailment,neutral,A young woman is wearing a paper crown at an outdoor event.,the woman is outdoors,A young woman wears a paper crown.,A young woman is wearing a paper crown at an outdoor festival.,1,2,2,0.46153846153846156,2.75,14.340396881103516,221.30320739746094
entailment,neutral,Two women look at a table with assorted items on it in some sort of market that others are currently browsing.,two women are looking,Two women look at some items on a table.,Two women are looking at a table with assorted items on it in some sort of market that others are currently browsing.,1,1,1,0.6818181818181818,5.0,10.133951187133789,64.96530151367188
entailment,neutral,A fat woman wearing faint blue top is blowing soap bubble.,A fat woman is wearing a shirt.,A fat woman is blowing soap bubbles.,A fat woman is blowing soap bubbles.,2,2,1,0.4166666666666667,0.375,99.33602905273438,81.92926025390625
entailment,neutral,A man in a suit driving a horse-drawn buggy down a stone street.,The man is driving a buggy.,A man in a suit drives a buggy.,The man is driving a horse-drawn buggy down a cobblestone street.,1,1,2,0.5,1.0,18.002878189086914,29.148927688598633
entailment,neutral,Expert snowboard is trying a new trick.,The person is snowboarding.,Expert snowboarder is trying a new trick.,The person is snowboarding on a mountain.,1,1,2,0.125,0.6,60.78732681274414,44.87942123413086
entailment,neutral,An Asian lady is holding a cup and sitting in front of a table covered in different foods.,There is a table next to a lady.,An Asian lady is holding a cup.,There is a table next to a lady wearing a white shirt.,1,2,2,0.5789473684210527,0.4444444444444444,32.514259338378906,66.6908950805664
entailment,neutral,An Asian young woman wearing a white shirt and black pants is holding a pink purse.,The woman is holding a purse.,An Asian young woman is holding a pink purse.,The Asian young woman is holding a pink purse.,1,1,1,0.4117647058823529,0.42857142857142855,16.02121353149414,40.29794692993164
entailment,neutral,A woman wearing a red hat and red bandanna followed by a man in a red bandanna.,The people are wearing bandanas.,A woman wearing a red hat followed by a man in a red bandanna.,The people are wearing red bandanas.,1,1,1,0.16666666666666666,0.16666666666666666,25.854158401489258,32.87446975708008
entailment,neutral,A white man taking a photo in front of water.,A man is in front of water.,A man takes a photo in front of water.,A man is taking a photo in front of water.,1,1,1,0.18181818181818182,0.375,16.86719512939453,18.679529190063477
entailment,neutral,A man touching a hanging strand of lamps.,A man is reaching out to a strand of lamps.,A man touches a hanging strand of lamps.,A man is reaching out to a strand of lamps in a store.,1,1,2,0.1111111111111111,0.2727272727272727,74.13340759277344,52.68511962890625
entailment,neutral,Dog running with a purple toy in the snowy field.,A dog is running.,Dog runs with a toy.,A dog runs in a snowy field with a purple toy.,1,1,1,0.5454545454545454,1.8,32.49506378173828,107.20391082763672
entailment,neutral,Two bearded men sit side by side.,Two men are sitting down.,Two bearded men sit.,Two men are sitting side by side.,1,1,1,0.375,0.5,16.599124908447266,71.87950134277344
entailment,neutral,Two men in karate gear using fighting sticks.,two karate men sparring with sticks,Two men in karate gear use fighting sticks.,Two karate men are sparring with sticks in a tournament.,1,1,2,0.1111111111111111,1.0,71.76404571533203,172.5264129638672
neutral,entailment,Man and woman rowing on surfboards third rower in distance.,Couples rowing on surfboards.,Man and woman rowing on surfboards in the ocean.,Couples rowing on surfboards third rower in distance.,2,2,2,0.36363636363636365,0.8,48.19121170043945,41.9013671875
entailment,neutral,A person sweeping stairs in a park.,A person outside.,A person sweeps stairs.,A person is sweeping stairs outside.,1,1,1,0.5,0.75,93.34854125976562,252.3017578125
entailment,neutral,"Four young men stare up at a basketball hoop with no net, in an outdoor, urban basketball court.",Four young men looking up at a basketball hoop.,Four young men stare up at a basketball hoop.,Four young men look up at an outdoor basketball hoop.,1,1,1,0.5238095238095238,0.3,42.99690628051758,21.672286987304688
entailment,neutral,A solo cyclist is riding down a windy road.,A cyclist rides down a road,A cyclist rides.,A solo cyclist rides down a windy road.,1,2,1,0.7,0.5,19.741559982299805,46.93879699707031
entailment,neutral,"Two hockey players on opposing teams, one in a red and white jersey and one in a blue and black jersey, are standing on the rink.",Hockey players are standing on the ice rink.,"Two hockey players, one in a red and white jersey and one in a blue and black jersey, are standing on the rink.",Two hockey players are standing on the rink.,1,1,1,0.10344827586206896,0.3333333333333333,11.031062126159668,14.93644905090332
contradiction,neutral,"A guy on Rollerblades, sliding across a rail.",The skateboarder rides the rail.,A guy on Rollerblades slides across the rail.,A skateboarder rides the rail.,0,0,0,0.3,0.16666666666666666,72.45026397705078,67.73731231689453
entailment,neutral,A woman is in the middle of hitting a tennis ball.,A woman is playing tennis.,A woman hits a tennis ball.,A woman is playing tennis on a sunny day.,1,1,2,0.5,0.6666666666666666,23.06924819946289,41.633235931396484
neutral,entailment,There are two people walking in the sand.,Two people walk across the beach.,There are two people walking in the sand on the beach.,Two people walk on the sand.,2,1,1,0.3333333333333333,0.2857142857142857,24.163530349731445,19.14773941040039
entailment,neutral,A man sitting and a woman laying in his lap kissing each other.,A man sitting and woman laying in his lap.,A man and woman sitting and kissing.,A man sitting and a woman lying in his lap.,1,0,1,0.5714285714285714,0.2,12.850118637084961,46.83433151245117
entailment,neutral,An elderly woman with a tan nun uniform on and glasses is taking a picture with her camera.,A woman is in a tan nun uniform.,An elderly woman is taking a picture with her camera.,A woman is wearing a tan nun uniform.,1,0,1,0.42105263157894735,0.1111111111111111,50.687034606933594,67.3501205444336
entailment,neutral,Four women standing around a yellow table are looking at laptops.,A group of women looking at laptops together.,Four women are looking at laptops.,Four women are looking at laptops in the same room.,1,1,2,0.4166666666666667,0.8888888888888888,35.493473052978516,61.079593658447266
neutral,entailment,Artist on street corner selling his artwork.,Someone is selling paintings.,Artist on street corner selling his paintings.,Someone is selling artwork.,2,1,1,0.125,0.2,108.99285125732422,100.40853118896484
contradiction,neutral,A boy dressed for summer in a green shirt and kahki shorts extends food to a reindeer in a petting zoo.,A boy alien dressed for summer in a green shirt and kahki shorts,A boy dressed for summer in a green shirt and kahki shorts extends food to a reindeer in a petting zoo.,A boy dressed for summer in a green shirt and khaki shorts extends food to a reindeer in a petting zoo.,0,0,2,0.0,0.9230769230769231,12.374446868896484,32.61750793457031
entailment,neutral,A man in a brown shirt and blue shorts walking in Droney Park.,A man walking in Droney Park.,A man walks in Droney Park.,A man walks in Droney Park.,1,1,1,0.5714285714285714,0.14285714285714285,27.1796817779541,22.87217140197754
entailment,neutral,A young man blew up balloons to craft into animals for the seven excited children that looked on.,The children are watching the man blow up balloons,A young man blew up balloons.,The children are watching someone blow up balloons.,1,2,1,0.631578947368421,0.3333333333333333,146.8880615234375,52.813472747802734
entailment,neutral,Three women sit together near woven walls.,Three women sit together.,Three women sit together near woven baskets.,Three women sit together in a room with woven walls.,1,1,2,0.125,1.2,61.41624450683594,134.77584838867188
neutral,entailment,"A young gymnast looks back at the audience, trying to catch a glimpse of her proud parents before starting her performance.",A gymnast scanning a crowd for familiar faces.,"A young gymnast looks back at the audience, trying to catch a glimpse of her proud parents before starting her performance in the arena.",A gymnast scans the crowd before her performance.,2,2,1,0.13043478260869565,0.5555555555555556,29.58673858642578,41.337894439697266
neutral,entailment,A fireman searching for something using a flashlight.,A fireman is in the dark.,A fireman searching for something using a flashlight in a dark room.,A fireman is searching for something.,2,1,1,0.4444444444444444,0.42857142857142855,52.68638610839844,50.1466178894043
entailment,neutral,A male with a prosthetic leg diving for a volleyball.,The male has at least one prosthetic leg.,A male dives for a volleyball.,A male is diving for a volleyball.,1,1,1,0.45454545454545453,0.7777777777777778,39.42854309082031,60.24922561645508
entailment,neutral,A man sits at a table in a room.,A man sits.,A man sits in a room.,A man sits at a table.,1,1,1,0.3,0.75,11.166796684265137,27.533828735351562
entailment,neutral,Violin soloists take the stage during the orchestra's opening show at the theater.,People are playing violin on stage.,Violinists take the stage during the orchestra's opening show.,People are taking the stage during the orchestra's opening show at the theater.,1,1,1,0.3333333333333333,1.7142857142857142,18.83263397216797,59.953643798828125
entailment,neutral,Women in costume stand on a stage.,The women are on stage.,Women stand on a stage.,The women are on a stage.,1,1,1,0.25,0.16666666666666666,53.30376434326172,48.1713981628418
entailment,neutral,"A race car, numbered 104 is rounding a bend as two people watch and take pictures.",People are taking pictures.,A race car is rounding a bend.,People are taking pictures of a race car.,1,0,1,0.5555555555555556,0.8,93.58551025390625,115.03385162353516
entailment,neutral,Two young boys are playing in a fountain in a city plaza.,Kids are are standing in a fountain.,Two young boys are playing in a fountain.,Two young boys are playing in a fountain on a sunny day.,1,1,2,0.3076923076923077,1.0,15.67098331451416,64.93876647949219
entailment,neutral,"One young boy in a yellow long-sleeved shirt and jeans sitting down, with five adults in front of him, one operating a video camera.",An adult using a video camera.,One young boy in a yellow long-sleeved shirt and jeans sits down.,An adult is filming a video.,1,0,1,0.5172413793103449,0.42857142857142855,31.34930419921875,37.17335510253906
entailment,neutral,A woman is leaning down while talking to her phone.,A woman is using a phone,A woman leans down.,A woman is using a phone outside.,1,0,2,0.6363636363636364,0.3333333333333333,53.66276550292969,76.414794921875
entailment,neutral,A skier goes down a hill with a mountain as a backdrop.,A skier going down a hill.,A skier goes down a hill.,A skier goes down a hill in the mountains.,1,1,1,0.46153846153846156,0.5714285714285714,19.849016189575195,15.280508041381836
entailment,neutral,"Women of India performing with blue streamers, in beautiful blue costumes.",indian women perform together in gorgeous costumes,"Women perform with blue streamers, in beautiful blue costumes.",Indian women perform together in beautiful costumes.,1,2,1,0.23076923076923078,0.42857142857142855,139.9503936767578,266.6355285644531
entailment,neutral,A gymnast is seen defying gravity as she performs an impressive move several feet above the parallel bars.,a gymanst performing,A gymnast is seen defying gravity.,A gymnast is performing an impressive move several feet above the parallel bars.,1,1,1,0.631578947368421,4.333333333333333,19.355262756347656,474.50537109375
entailment,neutral,Players from two opposing teams wearing colorful cleats struggle to gain control over a ball on an AstroTurf field.,The players are playing a sport.,Players from two opposing teams struggle to gain control over a ball.,Players from two opposing teams wearing colorful cleats are playing a sport on an AstroTurf field.,1,1,1,0.35,1.7142857142857142,22.066938400268555,52.326229095458984
entailment,neutral,a young girl looking down through some leaves from atop a tree.,There is a girl outdoors.,a young girl looks through some leaves from atop a tree.,A young girl is looking down from atop a tree.,1,1,1,0.15384615384615385,1.5,21.79900550842285,75.29265594482422
entailment,neutral,A man holding a baby who is petting a pony.,A man with a baby is petting a pony.,A man holds a baby who pets a pony.,A man with a baby is petting a pony outside.,1,1,2,0.2727272727272727,0.1,26.023653030395508,29.066303253173828
entailment,neutral,Man in blue shirt yells and points off-camera while a man in a blue shirt and baseball cap watches.,A man is yelling.,Man in blue shirt yells.,A man is yelling off-camera.,1,1,1,0.7272727272727273,0.6,34.39033508300781,97.6305160522461
entailment,neutral,A small child is riding in a red wagon.,A kid is in a wagon.,A small child rides in a red wagon.,A small child is in a red wagon.,1,1,1,0.2,0.42857142857142855,19.792190551757812,47.327980041503906
entailment,neutral,A man in renaissance clothing is sitting on a brick wall.,The man is in costume,A man sits on a brick wall.,The man is in costume for a renaissance festival.,1,2,2,0.4166666666666667,1.0,48.5750846862793,35.9964485168457
entailment,neutral,a big black dog jumps in the air to catch the tennis ball in his mouth.,A dog is jumping.,a dog jumps in the air.,A dog is jumping in the air.,1,1,1,0.5882352941176471,0.6,29.14238929748535,47.177581787109375
entailment,neutral,Two men are boxing in fighting arena.,TWo men are boxing.,Two men box.,Two men are boxing in a professional arena.,1,1,2,0.625,1.0,72.0850601196289,923.6351318359375
entailment,neutral,A wall hung with multicolored crosses is visible behind the group of young men as they converse.,Young men are talking,A wall hung with multicolored crosses is visible.,Young men are talking behind a wall with multicolored crosses.,1,1,1,0.5,1.75,28.90711784362793,122.7899169921875
entailment,neutral,Red-haired female answers questions while sitting at a table for craftzine.,She answers questions while sitting at a table.,Red-haired female answers questions.,She answers questions while sitting at a table in a crafting context.,1,2,1,0.5,0.4444444444444444,73.34900665283203,51.786067962646484
entailment,neutral,"Two men in costumes with fake carrot noses, top hats, sunglasses and white fur coats that contain white electrical lights.",People in costumes,Two men in costumes.,"Two men in costumes with fake carrot noses, top hats, sunglasses and white fur coats that contain white electrical lights.",1,1,1,0.782608695652174,7.0,14.662178039550781,144.14605712890625
entailment,neutral,A man has wrecked his racing bike in the dirt with five spectators behind a rope.,A man has damaged something.,A man has wrecked his racing bike.,A man has damaged his racing bike in a dirt area with five spectators watching from behind a rope.,1,1,1,0.5294117647058824,2.5,37.1113395690918,95.71016693115234
entailment,neutral,A city street with market vendors and children being pushed in strollers with a large cathedral in the background.,The strollers are moving.,A city street with market vendors and children.,The strollers are moving in a city street with market vendors and children being pushed in strollers with a large cathedral in the background.,1,2,2,0.55,4.0,16.467456817626953,222.12826538085938
entailment,neutral,Two men working on farm equipment that is being pulled by two horses.,The men are working on farm stuff.,Two men work on farm equipment.,Two men are working on farm equipment being pulled by two horses in a field.,1,1,2,0.5714285714285714,1.25,25.238309860229492,51.361019134521484
entailment,neutral,Woman running in a park while listening to music.,A woman jogging in a park.,Woman running in a park.,A woman jogging in a park while listening to music.,1,1,1,0.4,0.5714285714285714,22.257291793823242,43.53652572631836
entailment,neutral,A man in jeans and a brown shirt jumps high in the air in a living room that has a fireplace and wooden floor.,a guy in brown jumps up in a room with a  wood floor,A man in jeans jumps high in the air.,a guy in brown jumps up in a room with a wood floor and a fireplace.,1,2,1,0.6,0.35714285714285715,26.260608673095703,96.7669677734375
entailment,neutral,"The blond young man who had been splattered with paint colors of blue, orange, and green held up his camera to take a picture.",A man covered in paint takes a photo.,The young man holds up his camera.,A man takes a picture with his camera.,1,2,1,0.7407407407407407,0.6666666666666666,27.730083465576172,34.46063995361328
entailment,neutral,"One woman with jeans, gray shirt and sandals; with girl in all pink watching a white ball float in midair.",The shirt is gray.,"One woman with jeans, sandals; with girl in all pink watching a white ball float in midair.",The woman is wearing a gray shirt.,1,2,1,0.13043478260869565,0.8,88.27616882324219,177.62509155273438
entailment,neutral,3 people are shopping in a market.,There are people at a market.,3 people are shopping.,Three people are shopping at a market.,1,2,1,0.375,0.42857142857142855,34.93785095214844,143.65455627441406
entailment,neutral,A man is working in an art studio and is surrounded by art supplies.,A man is working on art.,A man is working in an art studio.,A man is working in an art studio.,1,1,1,0.4,0.42857142857142855,14.491455078125,27.352848052978516
entailment,contradiction,The man in black is flying off the full in front of a red fence.,The man is next to the fence.,The man in black is flying off the full in front of a blue fence.,The man is standing on the moon.,1,1,0,0.0625,0.375,61.40798568725586,48.90562057495117
entailment,neutral,People are hiking up a mountain with no greenery.,The mountain is bare.,People are hiking up a mountain.,The mountain has a few trees.,1,0,2,0.3,0.8,56.50757598876953,61.32470703125
entailment,neutral,"An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.",An old woman has a jean jacket.,"An old man in a baseball hat is standing outside, but is covered mostly in shadow.","An old woman is standing outside, but is covered mostly in shadow.",1,0,1,0.38461538461538464,1.25,14.650877952575684,45.52546691894531
entailment,neutral,A young male wearing a white shirt with a character outlined very darkly.,A young male in a white shirt.,A young male wears a white shirt with a character outlined very darkly.,A young male in a white shirt with a character outlined very darkly.,1,1,1,0.07142857142857142,0.75,17.43124008178711,44.36924362182617
entailment,neutral,A man wearing a white shirt and a blue jeans reading a newspaper while standing,A man is reading a newspaper.,A man wearing a white shirt reading a newspaper.,A man is reading a newspaper outside.,1,1,2,0.4,0.14285714285714285,80.9191665649414,37.29081344604492
entailment,neutral,A man is kayaking in rough waters.,The man is in a boat,A man is kayaking.,A man is in a kayak on rough waters.,1,1,1,0.375,1.0,31.395484924316406,49.757667541503906
entailment,neutral,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.",A person is near a pile of coconuts.,A person wearing a straw hat stands outside.,A person is standing outside with a pile of coconuts.,1,2,1,0.6363636363636364,0.3333333333333333,26.41067123413086,46.522605895996094
entailment,neutral,Several men at a bar watch a sports game on the television.,Some men are watching TV at a bar.,Several men watch a sports game on the television.,Several men are watching a sports game on TV at a bar.,1,2,1,0.23076923076923078,0.5555555555555556,20.334516525268555,41.13789367675781
entailment,neutral,A lit girl splashes around in natural water.,A girl splashes in water.,A girl splashes in water.,A girl splashes in a natural water body.,1,1,1,0.3333333333333333,0.5,60.32307815551758,16.362306594848633
entailment,neutral,A boy is riding down the road between two cows.,"A boy, a road and two cows.",A boy rides between two cows.,A boy is riding a bicycle between two fields.,1,2,0,0.45454545454545453,0.5555555555555556,56.94173049926758,80.89864349365234
entailment,neutral,A group of attentive students are paying attention to a college lecture.,Some students are attending a class.,A group of students are paying attention.,Some students are paying attention to a college lecture.,1,2,1,0.38461538461538464,0.7142857142857143,22.57598304748535,32.2873649597168
entailment,neutral,A man laughing while at a restaurant.,A man laughing.,A man laughing.,A man laughing at a restaurant.,1,1,1,0.5,0.75,23.340707778930664,45.87044143676758
entailment,neutral,A woman wearing a yellow tank top and white pants looking into a window on a city street.,A woman wearing a tank top and pants looks through some glass.,A woman looks into a window.,A woman wearing a yellow tank top and white pants looks through a window on a city street.,1,2,1,0.6842105263157895,0.6153846153846154,8.328848838806152,25.781307220458984
entailment,neutral,"A crowd of people in a stadium decked out in white, yellow and green cheer and clap for the team below.",a crwod is cheering,A crowd of people in a stadium cheer and clap for the team below.,A crowd is cheering in a stadium.,1,1,1,0.34782608695652173,1.5,30.21748161315918,170.40847778320312
entailment,neutral,"Two sweet young girls on ice skates, hands up and holding on to each other get ready to begin their performance on the ice.",Two females holding each other.,Two young girls on ice skates get ready to begin their performance.,"Two girls on ice skates, hands up and holding on to each other.",1,0,1,0.5,1.6666666666666667,18.0944766998291,85.71871948242188
neutral,entailment,A man in a short Mohawk and beard.,A man with a short Mohawk and beard stands outside.,A man in a short Mohawk and beard stands outside in a park.,A man stands outside.,2,1,2,0.5555555555555556,0.5454545454545454,146.3815460205078,27.283178329467773
entailment,neutral,A woman in a pink top is holding a glass bottle in one hand and a Stitch doll in the other.,The top is pink,A woman is holding a glass bottle and a Stitch doll.,The top is light blue.,1,2,0,0.45454545454545453,0.75,22.171497344970703,92.97663116455078
entailment,neutral,A girl in a black skirt and blue dress is watering flowers.,The girl is giving the flowers some water.,A girl is watering flowers.,The girl is watering flowers in the garden.,1,1,2,0.5384615384615384,0.5555555555555556,32.107295989990234,51.330718994140625
entailment,neutral,A pro-baseball pitcher sends a curve ball to his opponent while many fans relax and enjoy the game.,A pitcher is playing baseball at a stadium,A pitcher throws a curve ball.,A pitcher is playing baseball at a stadium while many fans relax and enjoy the game.,1,2,2,0.7142857142857143,1.125,21.80270767211914,48.622314453125
entailment,neutral,One confused man is standing and staring off into the distance in front of some ticket collecting machines.,The man is confused.,One man is standing and staring off into the distance in front of some ticket collecting machines.,The man is standing and staring off into the distance in front of some ticket collecting machines.,1,2,1,0.05263157894736842,2.8,12.591307640075684,42.113563537597656
entailment,neutral,Several men in black t-shirts and caps are using with metal rods to smash food that's lying on a round table with a hole in the center.,men using metal rods,Several men are using metal rods.,Men are using metal rods to smash food on a round table.,1,1,1,0.7741935483870968,2.5,27.896141052246094,202.59555053710938
entailment,neutral,An older man sifts water through his fingers as a young toddler watches from inside the water.,A man is near a toddler,An older man sifts water.,An older man is near a toddler in a water-filled pool.,1,0,2,0.6666666666666666,1.5,44.01213836669922,194.5217742919922
entailment,neutral,"While traveling, a woman in a black jacket is resting on the shoulder of a man in a black jacket.",A woman rests on the shoulder of a man,A woman is resting on the shoulder of a man.,A woman rests on the shoulder of a man while traveling.,1,1,1,0.5454545454545454,0.3333333333333333,14.908101081848145,12.563281059265137
neutral,entailment,"A small, pale bird bends down to examine a crumb.",The bird is on the ground.,"A small, pale bird bends down to examine a crumb on the ground.",A small bird is on the ground.,2,1,1,0.25,0.2857142857142857,50.97296142578125,28.283084869384766
entailment,neutral,A man riding a motorcycle on a dirt road passing several junk or abandoned cars on the side of the road.,A man is riding a motorcyle.,A man rides a motorcycle.,A man is riding a motorcycle on a dirt road.,1,1,1,0.7727272727272727,0.7142857142857143,17.9481143951416,19.525074005126953
entailment,neutral,A skier is heading into a grove of trees.,There is snow on the ground in this picture.,A skier heads into the trees.,There is snow on the ground in this winter scene.,1,1,1,0.5,0.2,41.39175033569336,35.076148986816406
neutral,entailment,Two women bend over to touch a small kangaroo.,Two women are petting a kangaroo,Two women bend over to touch a small kangaroo in a petting zoo.,Two women are petting a small kangaroo.,2,1,2,0.4,0.3333333333333333,22.751583099365234,22.343477249145508
entailment,neutral,A man with thinning hair looking into glasses through glasses.,A man with thinning hair.,A man looking into glasses.,A man with thinning hair looks into glasses.,1,2,1,0.45454545454545453,0.5,24.650501251220703,46.145912170410156
